source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5206125746641146
1,0,1.0,0,0,0,0,0,1.5206125746641146
1,2,1.0,0,0,0,4,0,1.5023435276628925
2,1,1.0,0,0,0,4,0,1.5023435276628925
2,3,2.0,0,0,2,0,0,1.3438281906514307
3,2,2.0,0,0,2,0,0,1.3438281906514307
3,4,1.0,0,0,0,3,0,1.5025249702900323
4,3,1.0,0,0,0,3,0,1.5025249702900323
4,5,1.0,0,0,0,4,0,1.5021455340836534
5,4,1.0,0,0,0,4,0,1.5021455340836534
5,6,2.0,0,0,2,0,0,1.3443534175135985
6,5,2.0,0,0,2,0,0,1.3443534175135985
6,7,1.0,0,0,0,3,0,1.5021626399616073
7,6,1.0,0,0,0,3,0,1.5021626399616073
7,8,1.0,0,0,0,4,0,1.501957075858448
8,7,1.0,0,0,0,4,0,1.501957075858448
8,9,2.0,0,0,2,0,0,1.3443524670670213
9,8,2.0,0,0,2,0,0,1.3443524670670213
9,10,1.0,0,0,0,3,0,1.5024772243136673
10,9,1.0,0,0,0,3,0,1.5024772243136673
10,11,1.0,0,0,0,4,0,1.5024947782245086
11,10,1.0,0,0,0,4,0,1.5024947782245086
11,12,2.0,0,0,2,0,0,1.3442011962941887
12,11,2.0,0,0,2,0,0,1.3442011962941887
12,13,1.0,0,0,0,3,0,1.5023026481778081
13,12,1.0,0,0,0,3,0,1.5023026481778081
13,14,1.0,0,0,0,0,0,1.530901319027667
14,13,1.0,0,0,0,0,0,1.530901319027667
14,15,1.0,0,0,0,0,0,1.5308672503756147
15,14,1.0,0,0,0,0,0,1.5308672503756147
15,16,1.0,0,0,0,0,0,1.5261923720678467
16,15,1.0,0,0,0,0,0,1.5261923720678467
16,17,1.0,0,0,0,0,0,1.5096966583806386
17,16,1.0,0,0,0,0,0,1.5096966583806386
17,18,2.0,1,0,0,0,0,1.2235780354859227
18,17,2.0,1,0,0,0,0,1.2235780354859227
17,19,1.0,1,0,0,0,0,1.360170294741742
19,17,1.0,1,0,0,0,0,1.360170294741742
19,20,1.0,0,0,0,0,0,1.439780809917468
20,19,1.0,0,0,0,0,0,1.439780809917468
20,21,1.0,0,0,0,0,0,1.5336829542637187
21,20,1.0,0,0,0,0,0,1.5336829542637187
21,22,1.0,0,0,0,0,0,1.5327423972774896
22,21,1.0,0,0,0,0,0,1.5327423972774896
22,23,1.0,0,0,0,0,0,1.4209679561062667
23,22,1.0,0,0,0,0,0,1.4209679561062667
23,24,1.0,0,0,0,0,0,1.61739563389049
24,23,1.0,0,0,0,0,0,1.61739563389049
24,25,2.0,0,0,0,0,0,1.5042758632744622
25,24,2.0,0,0,0,0,0,1.5042758632744622
24,26,1.0,0,0,0,0,0,1.503994407155448
26,24,1.0,0,0,0,0,0,1.503994407155448
24,27,1.0,0,0,0,0,0,1.6257394977639266
27,24,1.0,0,0,0,0,0,1.6257394977639266
27,28,1.0,0,0,0,0,0,1.414429241989108
28,27,1.0,0,0,0,0,0,1.414429241989108
28,29,1.0,0,0,0,0,0,1.5360098547010357
29,28,1.0,0,0,0,0,0,1.5360098547010357
29,30,1.0,0,0,0,0,0,1.552116141296615
30,29,1.0,0,0,0,0,0,1.552116141296615
30,31,1.0,0,0,0,0,0,1.5235826276384417
31,30,1.0,0,0,0,0,0,1.5235826276384417
30,32,1.0,0,0,0,0,0,1.5137786570620313
32,30,1.0,0,0,0,0,0,1.5137786570620313
30,33,1.0,0,0,0,0,0,1.525434258463543
33,30,1.0,0,0,0,0,0,1.525434258463543
21,34,1.0,0,0,0,0,0,1.450364659297478
34,21,1.0,0,0,0,0,0,1.450364659297478
34,35,1.0,1,0,0,0,0,1.3579353598799
35,34,1.0,1,0,0,0,0,1.3579353598799
35,36,2.0,1,0,0,0,0,1.2240181037845426
36,35,2.0,1,0,0,0,0,1.2240181037845426
35,37,1.0,0,0,0,0,0,1.5097720708785165
37,35,1.0,0,0,0,0,0,1.5097720708785165
37,38,1.0,0,0,0,0,0,1.5269182142396942
38,37,1.0,0,0,0,0,0,1.5269182142396942
38,39,1.0,0,0,0,0,0,1.5319733862717562
39,38,1.0,0,0,0,0,0,1.5319733862717562
39,40,1.0,0,0,0,0,0,1.5306799399346738
40,39,1.0,0,0,0,0,0,1.5306799399346738
40,41,1.0,0,0,0,0,0,1.531105217930893
41,40,1.0,0,0,0,0,0,1.531105217930893
41,42,1.0,0,0,0,0,0,1.5310531289423597
42,41,1.0,0,0,0,0,0,1.5310531289423597
42,43,1.0,0,0,0,0,0,1.5297868707609001
43,42,1.0,0,0,0,0,0,1.5297868707609001
43,44,1.0,0,0,0,0,0,1.531715906721032
44,43,1.0,0,0,0,0,0,1.531715906721032
44,45,1.0,0,0,0,0,0,1.5313139409325134
45,44,1.0,0,0,0,0,0,1.5313139409325134
45,46,1.0,0,0,0,4,0,1.5029336295081321
46,45,1.0,0,0,0,4,0,1.5029336295081321
46,47,2.0,0,0,2,0,0,1.3430968547013182
47,46,2.0,0,0,2,0,0,1.3430968547013182
47,48,1.0,0,0,0,3,0,1.502850359751649
48,47,1.0,0,0,0,3,0,1.502850359751649
48,49,1.0,0,0,0,0,0,1.5307915688988596
49,48,1.0,0,0,0,0,0,1.5307915688988596
49,50,1.0,0,0,0,0,0,1.5306666257845023
50,49,1.0,0,0,0,0,0,1.5306666257845023
50,51,1.0,0,0,0,0,0,1.5315597704416561
51,50,1.0,0,0,0,0,0,1.5315597704416561
51,52,1.0,0,0,0,0,0,1.5307181134800847
52,51,1.0,0,0,0,0,0,1.5307181134800847
52,53,1.0,0,0,0,0,0,1.53165752345163
53,52,1.0,0,0,0,0,0,1.53165752345163
53,54,1.0,0,0,0,0,0,1.530563316153533
54,53,1.0,0,0,0,0,0,1.530563316153533
54,55,1.0,0,0,0,0,0,1.520946205687147
55,54,1.0,0,0,0,0,0,1.520946205687147
