source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520388194871393
1,0,1.0,0,0,0,0,0,1.520388194871393
1,2,1.0,0,0,0,0,0,1.5292743660542614
2,1,1.0,0,0,0,0,0,1.5292743660542614
2,3,1.0,0,0,0,0,0,1.5312276148079889
3,2,1.0,0,0,0,0,0,1.5312276148079889
3,4,1.0,0,0,0,0,0,1.5320774272203808
4,3,1.0,0,0,0,0,0,1.5320774272203808
4,5,1.0,0,0,0,4,0,1.5023357345564774
5,4,1.0,0,0,0,4,0,1.5023357345564774
5,6,2.0,0,0,2,0,0,1.3438043162206093
6,5,2.0,0,0,2,0,0,1.3438043162206093
6,7,1.0,0,0,0,3,0,1.5025720838589471
7,6,1.0,0,0,0,3,0,1.5025720838589471
7,8,1.0,0,0,0,4,0,1.5013152657555242
8,7,1.0,0,0,0,4,0,1.5013152657555242
8,9,2.0,0,0,2,0,0,1.3429307602158178
9,8,2.0,0,0,2,0,0,1.3429307602158178
9,10,1.0,0,0,0,3,0,1.5034168204083012
10,9,1.0,0,0,0,3,0,1.5034168204083012
10,11,1.0,0,0,0,4,0,1.5022812262192613
11,10,1.0,0,0,0,4,0,1.5022812262192613
11,12,2.0,0,0,2,0,0,1.343126472204573
12,11,2.0,0,0,2,0,0,1.343126472204573
12,13,1.0,0,0,0,3,0,1.5041831832758694
13,12,1.0,0,0,0,3,0,1.5041831832758694
13,14,1.0,0,0,0,0,0,1.5306907779651548
14,13,1.0,0,0,0,0,0,1.5306907779651548
14,15,1.0,0,0,0,0,0,1.5305463944278188
15,14,1.0,0,0,0,0,0,1.5305463944278188
15,16,1.0,0,0,0,0,0,1.529552938154051
16,15,1.0,0,0,0,0,0,1.529552938154051
16,17,1.0,0,0,0,0,0,1.532056025266946
17,16,1.0,0,0,0,0,0,1.532056025266946
17,18,1.0,0,0,0,0,0,1.5270319679766362
18,17,1.0,0,0,0,0,0,1.5270319679766362
18,19,1.0,0,0,0,0,0,1.5084644881504377
19,18,1.0,0,0,0,0,0,1.5084644881504377
19,20,2.0,1,0,0,0,0,1.2243752773873176
20,19,2.0,1,0,0,0,0,1.2243752773873176
19,21,1.0,1,0,0,0,0,1.3591628162863565
21,19,1.0,1,0,0,0,0,1.3591628162863565
21,22,1.0,0,0,0,0,0,1.4440282829092308
22,21,1.0,0,0,0,0,0,1.4440282829092308
