source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5320772002232306
1,0,1.0,0,0,0,0,0,1.5320772002232306
1,2,1.0,0,0,0,0,0,1.4147713255719547
2,1,1.0,0,0,0,0,0,1.4147713255719547
2,3,1.0,0,0,0,0,0,1.6121536417166609
3,2,1.0,0,0,0,0,0,1.6121536417166609
3,4,2.0,0,0,0,0,0,1.5074755922897614
4,3,2.0,0,0,0,0,0,1.5074755922897614
3,5,1.0,0,0,0,0,0,1.501372424031973
5,3,1.0,0,0,0,0,0,1.501372424031973
3,6,1.0,0,0,0,0,0,1.6218187693862518
6,3,1.0,0,0,0,0,0,1.6218187693862518
6,7,1.0,0,0,0,0,0,1.4103865950755639
7,6,1.0,0,0,0,0,0,1.4103865950755639
7,8,1.0,0,0,0,0,0,1.5286399852144867
8,7,1.0,0,0,0,0,0,1.5286399852144867
8,9,1.0,0,0,0,0,0,1.5513814494883893
9,8,1.0,0,0,0,0,0,1.5513814494883893
9,10,1.0,0,0,0,0,0,1.5208261592869392
10,9,1.0,0,0,0,0,0,1.5208261592869392
9,11,1.0,0,0,0,0,0,1.532913301576519
11,9,1.0,0,0,0,0,0,1.532913301576519
9,12,1.0,0,0,0,0,0,1.515559459243665
12,9,1.0,0,0,0,0,0,1.515559459243665
0,13,1.0,0,0,0,0,0,1.44494472653779
13,0,1.0,0,0,0,0,0,1.44494472653779
13,14,1.0,1,0,0,0,0,1.361098535522518
14,13,1.0,1,0,0,0,0,1.361098535522518
14,15,1.0,0,0,0,0,0,1.5088510384281797
15,14,1.0,0,0,0,0,0,1.5088510384281797
15,16,1.0,0,0,0,0,0,1.5265374530863682
16,15,1.0,0,0,0,0,0,1.5265374530863682
16,17,1.0,0,0,0,0,0,1.5303040955962657
17,16,1.0,0,0,0,0,0,1.5303040955962657
17,18,1.0,0,0,0,0,0,1.5331930467659338
18,17,1.0,0,0,0,0,0,1.5331930467659338
18,19,1.0,0,0,0,0,0,1.5333117691292784
19,18,1.0,0,0,0,0,0,1.5333117691292784
19,20,1.0,0,0,0,0,0,1.5322331368594204
20,19,1.0,0,0,0,0,0,1.5322331368594204
20,21,1.0,0,0,0,0,0,1.5324003236841075
21,20,1.0,0,0,0,0,0,1.5324003236841075
21,22,1.0,0,0,0,0,0,1.5325477932758977
22,21,1.0,0,0,0,0,0,1.5325477932758977
22,23,1.0,0,0,0,0,0,1.5323458315924294
23,22,1.0,0,0,0,0,0,1.5323458315924294
23,24,1.0,0,0,0,4,0,1.502973437265819
24,23,1.0,0,0,0,4,0,1.502973437265819
24,25,2.0,0,0,2,0,0,1.3428376360299203
25,24,2.0,0,0,2,0,0,1.3428376360299203
25,26,1.0,0,0,0,3,0,1.502909507229566
26,25,1.0,0,0,0,3,0,1.502909507229566
26,27,1.0,0,0,0,0,0,1.5298289346595941
27,26,1.0,0,0,0,0,0,1.5298289346595941
27,28,1.0,0,0,0,0,0,1.5322565965467898
28,27,1.0,0,0,0,0,0,1.5322565965467898
28,29,1.0,0,0,0,0,0,1.5325748185675334
29,28,1.0,0,0,0,0,0,1.5325748185675334
29,30,1.0,0,0,0,0,0,1.5306712680233647
30,29,1.0,0,0,0,0,0,1.5306712680233647
30,31,1.0,0,0,0,0,0,1.532136001949065
31,30,1.0,0,0,0,0,0,1.532136001949065
31,32,1.0,0,0,0,0,0,1.5292371444757165
32,31,1.0,0,0,0,0,0,1.5292371444757165
32,33,1.0,0,0,0,0,0,1.521154399407582
33,32,1.0,0,0,0,0,0,1.521154399407582
14,34,2.0,1,0,0,0,0,1.2236177137659148
34,14,2.0,1,0,0,0,0,1.2236177137659148
0,35,1.0,0,0,0,0,0,1.5395086690141322
35,0,1.0,0,0,0,0,0,1.5395086690141322
35,36,1.0,0,0,0,0,0,1.4339281382404077
36,35,1.0,0,0,0,0,0,1.4339281382404077
36,37,1.0,1,0,0,0,0,1.3554355565876408
37,36,1.0,1,0,0,0,0,1.3554355565876408
