source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5204121205115118
1,0,1.0,0,0,0,0,0,1.5204121205115118
1,2,1.0,0,0,0,0,0,1.529565594237873
2,1,1.0,0,0,0,0,0,1.529565594237873
2,3,1.0,0,0,0,0,0,1.531983096253124
3,2,1.0,0,0,0,0,0,1.531983096253124
3,4,1.0,0,0,0,0,0,1.5317899444489844
4,3,1.0,0,0,0,0,0,1.5317899444489844
4,5,1.0,0,0,0,4,0,1.5023666441142867
5,4,1.0,0,0,0,4,0,1.5023666441142867
5,6,2.0,0,0,2,0,0,1.343665389726268
6,5,2.0,0,0,2,0,0,1.343665389726268
6,7,1.0,0,0,0,3,0,1.5021908006725262
7,6,1.0,0,0,0,3,0,1.5021908006725262
7,8,1.0,0,0,0,4,0,1.5024172083750422
8,7,1.0,0,0,0,4,0,1.5024172083750422
8,9,2.0,0,0,2,0,0,1.3444700331768369
9,8,2.0,0,0,2,0,0,1.3444700331768369
9,10,1.0,0,0,0,3,0,1.503443274194834
10,9,1.0,0,0,0,3,0,1.503443274194834
10,11,1.0,0,0,0,4,0,1.5024697097085233
11,10,1.0,0,0,0,4,0,1.5024697097085233
11,12,2.0,0,0,2,0,0,1.3440776526621243
12,11,2.0,0,0,2,0,0,1.3440776526621243
12,13,1.0,0,0,0,3,0,1.5036887441836078
13,12,1.0,0,0,0,3,0,1.5036887441836078
13,14,1.0,0,0,0,0,0,1.5323006276259232
14,13,1.0,0,0,0,0,0,1.5323006276259232
14,15,1.0,0,0,0,0,0,1.5326913325027358
15,14,1.0,0,0,0,0,0,1.5326913325027358
15,16,1.0,0,0,0,0,0,1.531214846415479
16,15,1.0,0,0,0,0,0,1.531214846415479
16,17,1.0,0,0,0,0,0,1.5323026236527677
17,16,1.0,0,0,0,0,0,1.5323026236527677
17,18,1.0,0,0,0,0,0,1.5270733174999853
18,17,1.0,0,0,0,0,0,1.5270733174999853
18,19,1.0,0,0,0,0,0,1.5085673271719557
19,18,1.0,0,0,0,0,0,1.5085673271719557
19,20,2.0,1,0,0,0,0,1.2237061938064797
20,19,2.0,1,0,0,0,0,1.2237061938064797
19,21,1.0,1,0,0,0,0,1.357720225055655
21,19,1.0,1,0,0,0,0,1.357720225055655
