source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5200590016762818
1,0,1.0,0,0,0,0,0,1.5200590016762818
1,2,1.0,0,0,0,4,0,1.5012321135721076
2,1,1.0,0,0,0,4,0,1.5012321135721076
2,3,2.0,0,0,2,0,0,1.3436169091494148
3,2,2.0,0,0,2,0,0,1.3436169091494148
3,4,1.0,0,0,0,3,0,1.5017282616400816
4,3,1.0,0,0,0,3,0,1.5017282616400816
4,5,1.0,0,0,0,4,0,1.5008547128934449
5,4,1.0,0,0,0,4,0,1.5008547128934449
5,6,2.0,0,0,2,0,0,1.3440233482593757
6,5,2.0,0,0,2,0,0,1.3440233482593757
6,7,1.0,0,0,0,3,0,1.5010510669835568
7,6,1.0,0,0,0,3,0,1.5010510669835568
7,8,1.0,0,0,0,4,0,1.5021777803489986
8,7,1.0,0,0,0,4,0,1.5021777803489986
8,9,2.0,0,0,2,0,0,1.3443300258057296
9,8,2.0,0,0,2,0,0,1.3443300258057296
9,10,1.0,0,0,0,3,0,1.5021191492424246
10,9,1.0,0,0,0,3,0,1.5021191492424246
10,11,1.0,0,0,0,4,0,1.5022949733163746
11,10,1.0,0,0,0,4,0,1.5022949733163746
11,12,2.0,0,0,2,0,0,1.3445520200611651
12,11,2.0,0,0,2,0,0,1.3445520200611651
12,13,1.0,0,0,0,3,0,1.5021212391347654
13,12,1.0,0,0,0,3,0,1.5021212391347654
13,14,1.0,0,0,0,4,0,1.5022542776901375
14,13,1.0,0,0,0,4,0,1.5022542776901375
14,15,2.0,0,0,2,0,0,1.3441326211045197
15,14,2.0,0,0,2,0,0,1.3441326211045197
15,16,1.0,0,0,0,3,0,1.5029036526930046
16,15,1.0,0,0,0,3,0,1.5029036526930046
16,17,1.0,0,0,0,4,0,1.5035165722987986
17,16,1.0,0,0,0,4,0,1.5035165722987986
17,18,2.0,0,0,2,0,0,1.3437573187213272
18,17,2.0,0,0,2,0,0,1.3437573187213272
18,19,1.0,0,0,0,3,0,1.5046597629870866
19,18,1.0,0,0,0,3,0,1.5046597629870866
19,20,1.0,0,0,0,0,0,1.5251589843944617
20,19,1.0,0,0,0,0,0,1.5251589843944617
20,21,1.0,0,0,0,0,0,1.507746946308005
21,20,1.0,0,0,0,0,0,1.507746946308005
21,22,2.0,1,0,0,0,0,1.2235372760624164
22,21,2.0,1,0,0,0,0,1.2235372760624164
21,23,1.0,1,0,0,0,0,1.3586174997741922
