source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.4344513851103002
1,0,1.0,0,0,0,0,0,1.4344513851103002
0,2,1.0,0,0,0,0,0,1.5306126257616106
2,0,1.0,0,0,0,0,0,1.5306126257616106
2,3,1.0,0,0,0,0,0,1.4304460001750108
3,2,1.0,0,0,0,0,0,1.4304460001750108
0,4,1.0,0,0,0,0,0,1.530355535347207
4,0,1.0,0,0,0,0,0,1.530355535347207
4,5,1.0,0,0,0,0,0,1.4183909292000796
5,4,1.0,0,0,0,0,0,1.4183909292000796
5,6,1.0,0,0,0,0,0,1.605475342303685
6,5,1.0,0,0,0,0,0,1.605475342303685
6,7,1.0,0,0,0,0,0,1.6039758862970763
7,6,1.0,0,0,0,0,0,1.6039758862970763
7,8,1.0,0,0,0,0,0,1.4198201626153852
8,7,1.0,0,0,0,0,0,1.4198201626153852
8,9,1.0,0,0,0,0,0,1.5312576278667016
9,8,1.0,0,0,0,0,0,1.5312576278667016
9,10,1.0,0,0,0,0,0,1.4444496163382892
10,9,1.0,0,0,0,0,0,1.4444496163382892
10,11,1.0,1,0,0,0,0,1.3609972016930545
11,10,1.0,1,0,0,0,0,1.3609972016930545
11,12,1.0,0,0,0,0,0,1.5081809945908542
12,11,1.0,0,0,0,0,0,1.5081809945908542
12,13,1.0,0,0,0,0,0,1.5254932188461312
13,12,1.0,0,0,0,0,0,1.5254932188461312
13,14,1.0,0,0,0,0,0,1.5312620810233413
14,13,1.0,0,0,0,0,0,1.5312620810233413
14,15,1.0,0,0,0,0,0,1.5314247335057698
15,14,1.0,0,0,0,0,0,1.5314247335057698
15,16,1.0,0,0,0,0,0,1.5324070301409067
16,15,1.0,0,0,0,0,0,1.5324070301409067
16,17,1.0,0,0,0,0,0,1.5324452179183907
17,16,1.0,0,0,0,0,0,1.5324452179183907
17,18,1.0,0,0,0,0,0,1.531799845580748
18,17,1.0,0,0,0,0,0,1.531799845580748
18,19,1.0,0,0,0,4,0,1.5023583905483775
19,18,1.0,0,0,0,4,0,1.5023583905483775
19,20,2.0,0,0,2,0,0,1.3430906999083279
20,19,2.0,0,0,2,0,0,1.3430906999083279
20,21,1.0,0,0,0,3,0,1.5021237969748829
21,20,1.0,0,0,0,3,0,1.5021237969748829
21,22,1.0,0,0,0,0,0,1.5329466334393382
22,21,1.0,0,0,0,0,0,1.5329466334393382
22,23,1.0,0,0,0,0,0,1.5336130825125327
23,22,1.0,0,0,0,0,0,1.5336130825125327
23,24,1.0,0,0,0,0,0,1.5316666383747133
24,23,1.0,0,0,0,0,0,1.5316666383747133
24,25,1.0,0,0,0,0,0,1.5322281995337697
25,24,1.0,0,0,0,0,0,1.5322281995337697
25,26,1.0,0,0,0,0,0,1.5291099088535198
26,25,1.0,0,0,0,0,0,1.5291099088535198
26,27,1.0,0,0,0,0,0,1.5209553681412635
27,26,1.0,0,0,0,0,0,1.5209553681412635
11,28,2.0,1,0,0,0,0,1.2230415788024251
28,11,2.0,1,0,0,0,0,1.2230415788024251
9,29,1.0,0,0,0,0,0,1.537262747231865
29,9,1.0,0,0,0,0,0,1.537262747231865
29,30,1.0,0,0,0,0,0,1.441086421514262
30,29,1.0,0,0,0,0,0,1.441086421514262
30,31,1.0,1,0,0,0,0,1.3607569599297948
31,30,1.0,1,0,0,0,0,1.3607569599297948
31,32,1.0,0,0,0,0,0,1.50899660260602
32,31,1.0,0,0,0,0,0,1.50899660260602
32,33,1.0,0,0,0,0,0,1.5265522186234588
33,32,1.0,0,0,0,0,0,1.5265522186234588
33,34,1.0,0,0,0,0,0,1.5329133659418168
34,33,1.0,0,0,0,0,0,1.5329133659418168
34,35,1.0,0,0,0,0,0,1.5321992907569182
35,34,1.0,0,0,0,0,0,1.5321992907569182
35,36,1.0,0,0,0,0,0,1.531242496261736
36,35,1.0,0,0,0,0,0,1.531242496261736
36,37,1.0,0,0,0,0,0,1.5328319546183873
37,36,1.0,0,0,0,0,0,1.5328319546183873
37,38,1.0,0,0,0,0,0,1.532810474798968
38,37,1.0,0,0,0,0,0,1.532810474798968
38,39,1.0,0,0,0,4,0,1.5023055770093043
39,38,1.0,0,0,0,4,0,1.5023055770093043
39,40,2.0,0,0,2,0,0,1.342866534047587
40,39,2.0,0,0,2,0,0,1.342866534047587
40,41,1.0,0,0,0,3,0,1.5038905557661086
41,40,1.0,0,0,0,3,0,1.5038905557661086
41,42,1.0,0,0,0,0,0,1.5312040086418086
42,41,1.0,0,0,0,0,0,1.5312040086418086
42,43,1.0,0,0,0,0,0,1.5327958486479647
43,42,1.0,0,0,0,0,0,1.5327958486479647
43,44,1.0,0,0,0,0,0,1.529383595107033
44,43,1.0,0,0,0,0,0,1.529383595107033
44,45,1.0,0,0,0,0,0,1.521090485263046
45,44,1.0,0,0,0,0,0,1.521090485263046
31,46,2.0,1,0,0,0,0,1.2225472613930326
46,31,2.0,1,0,0,0,0,1.2225472613930326
6,47,2.0,0,0,0,0,0,1.4925571929150159
47,6,2.0,0,0,0,0,0,1.4925571929150159
6,48,1.0,0,0,0,0,0,1.5993220663583512
48,6,1.0,0,0,0,0,0,1.5993220663583512
