source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5207616237738562
1,0,1.0,0,0,0,0,0,1.5207616237738562
1,2,1.0,0,0,0,0,0,1.5291609254390852
2,1,1.0,0,0,0,0,0,1.5291609254390852
2,3,1.0,0,0,0,0,0,1.5310077582733492
3,2,1.0,0,0,0,0,0,1.5310077582733492
3,4,1.0,0,0,0,0,0,1.5314469321394786
4,3,1.0,0,0,0,0,0,1.5314469321394786
4,5,1.0,0,0,0,0,0,1.5317858081281517
5,4,1.0,0,0,0,0,0,1.5317858081281517
5,6,1.0,0,0,0,0,0,1.5313043178517896
6,5,1.0,0,0,0,0,0,1.5313043178517896
6,7,1.0,0,0,0,4,0,1.5029335942162563
7,6,1.0,0,0,0,4,0,1.5029335942162563
7,8,2.0,0,0,2,0,0,1.3430070966440824
8,7,2.0,0,0,2,0,0,1.3430070966440824
8,9,1.0,0,0,0,3,0,1.5030607877544897
9,8,1.0,0,0,0,3,0,1.5030607877544897
9,10,1.0,0,0,0,0,0,1.5320451946751354
10,9,1.0,0,0,0,0,0,1.5320451946751354
10,11,1.0,0,0,0,0,0,1.5320318853105743
11,10,1.0,0,0,0,0,0,1.5320318853105743
11,12,1.0,0,0,0,0,0,1.531153725268848
12,11,1.0,0,0,0,0,0,1.531153725268848
12,13,1.0,0,0,0,0,0,1.5311774998247425
13,12,1.0,0,0,0,0,0,1.5311774998247425
13,14,1.0,0,0,0,0,0,1.5304833207794304
14,13,1.0,0,0,0,0,0,1.5304833207794304
14,15,1.0,0,0,0,0,0,1.5260237880775054
15,14,1.0,0,0,0,0,0,1.5260237880775054
15,16,1.0,0,0,0,0,0,1.5085583590921383
16,15,1.0,0,0,0,0,0,1.5085583590921383
16,17,2.0,1,0,0,0,0,1.2233269614724374
17,16,2.0,1,0,0,0,0,1.2233269614724374
16,18,1.0,1,0,0,0,0,1.3608184366120382
18,16,1.0,1,0,0,0,0,1.3608184366120382
18,19,1.0,0,0,0,0,0,1.4391386097716472
19,18,1.0,0,0,0,0,0,1.4391386097716472
19,20,1.0,0,0,0,0,0,1.53498322050058
20,19,1.0,0,0,0,0,0,1.53498322050058
20,21,1.0,0,0,0,0,0,1.532043168294492
21,20,1.0,0,0,0,0,0,1.532043168294492
21,22,1.0,0,0,0,0,0,1.4205217507069823
22,21,1.0,0,0,0,0,0,1.4205217507069823
22,23,1.0,0,0,0,0,0,1.602620807941819
23,22,1.0,0,0,0,0,0,1.602620807941819
23,24,2.0,0,0,0,0,0,1.4909199093473406
24,23,2.0,0,0,0,0,0,1.4909199093473406
23,25,1.0,0,0,0,0,0,1.6016813471937936
25,23,1.0,0,0,0,0,0,1.6016813471937936
23,26,1.0,0,0,0,0,0,1.6031266742807257
26,23,1.0,0,0,0,0,0,1.6031266742807257
26,27,1.0,0,0,0,0,0,1.4287571600927362
27,26,1.0,0,0,0,0,0,1.4287571600927362
27,28,1.0,0,1,0,0,0,1.543513647285486
28,27,1.0,0,1,0,0,0,1.543513647285486
28,29,1.0,0,0,0,0,0,1.439257384222519
29,28,1.0,0,0,0,0,0,1.439257384222519
28,30,1.0,0,1,0,0,0,1.5414261003107355
30,28,1.0,0,1,0,0,0,1.5414261003107355
30,31,1.0,0,0,0,0,0,1.436842852355332
31,30,1.0,0,0,0,0,0,1.436842852355332
30,32,1.0,0,1,0,0,0,1.5342828556213797
32,30,1.0,0,1,0,0,0,1.5342828556213797
32,33,1.0,0,0,0,0,0,1.4338703738745213
33,32,1.0,0,0,0,0,0,1.4338703738745213
32,34,1.0,0,1,0,0,0,1.5336777874147751
34,32,1.0,0,1,0,0,0,1.5336777874147751
34,35,1.0,0,0,0,0,0,1.4346806484131625
35,34,1.0,0,0,0,0,0,1.4346806484131625
34,36,1.0,0,1,0,0,0,1.5380326598766827
36,34,1.0,0,1,0,0,0,1.5380326598766827
36,37,1.0,0,0,0,0,0,1.435634135166218
37,36,1.0,0,0,0,0,0,1.435634135166218
20,38,1.0,0,0,0,0,0,1.4454660821664955
38,20,1.0,0,0,0,0,0,1.4454660821664955
38,39,1.0,1,0,0,0,0,1.3592475403987303
39,38,1.0,1,0,0,0,0,1.3592475403987303
39,40,2.0,1,0,0,0,0,1.2230502011042552
40,39,2.0,1,0,0,0,0,1.2230502011042552
39,41,1.0,0,0,0,0,0,1.510209118537248
41,39,1.0,0,0,0,0,0,1.510209118537248
41,42,1.0,0,0,0,0,0,1.5282565909036792
42,41,1.0,0,0,0,0,0,1.5282565909036792
42,43,1.0,0,0,0,0,0,1.5319275195999225
43,42,1.0,0,0,0,0,0,1.5319275195999225
43,44,1.0,0,0,0,0,0,1.530937338498568
44,43,1.0,0,0,0,0,0,1.530937338498568
44,45,1.0,0,0,0,0,0,1.5311443621231007
45,44,1.0,0,0,0,0,0,1.5311443621231007
45,46,1.0,0,0,0,0,0,1.5327044612366496
46,45,1.0,0,0,0,0,0,1.5327044612366496
46,47,1.0,0,0,0,0,0,1.531929556120538
47,46,1.0,0,0,0,0,0,1.531929556120538
47,48,1.0,0,0,0,4,0,1.5026248722375253
48,47,1.0,0,0,0,4,0,1.5026248722375253
48,49,2.0,0,0,2,0,0,1.3431830757560708
49,48,2.0,0,0,2,0,0,1.3431830757560708
49,50,1.0,0,0,0,3,0,1.5028553264743851
50,49,1.0,0,0,0,3,0,1.5028553264743851
50,51,1.0,0,0,0,0,0,1.5311769289290047
51,50,1.0,0,0,0,0,0,1.5311769289290047
51,52,1.0,0,0,0,0,0,1.5322909386761836
52,51,1.0,0,0,0,0,0,1.5322909386761836
52,53,1.0,0,0,0,0,0,1.5309836919292823
53,52,1.0,0,0,0,0,0,1.5309836919292823
53,54,1.0,0,0,0,0,0,1.5310653082136136
54,53,1.0,0,0,0,0,0,1.5310653082136136
54,55,1.0,0,0,0,0,0,1.5307744921355178
55,54,1.0,0,0,0,0,0,1.5307744921355178
55,56,1.0,0,0,0,0,0,1.5307583654094823
56,55,1.0,0,0,0,0,0,1.5307583654094823
56,57,1.0,0,0,0,0,0,1.5295515673337499
57,56,1.0,0,0,0,0,0,1.5295515673337499
57,58,1.0,0,0,0,0,0,1.52065118557128
58,57,1.0,0,0,0,0,0,1.52065118557128
36,27,1.0,0,1,0,0,0,1.5378202954943974
27,36,1.0,0,1,0,0,0,1.5378202954943974
