atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063182704,0.02857142857142857
2,6,0,2,4,0,0,0,0,2,12.011,-0.05356864271905036,0.05714285714285714
3,6,0,2,4,0,0,0,0,2,12.011,-0.053316030800072294,0.08571428571428572
4,6,0,2,4,0,0,0,0,2,12.011,-0.053305960030673456,0.11428571428571428
5,6,0,2,4,0,0,0,0,2,12.011,-0.053295025240741124,0.14285714285714285
6,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352997275,0.17142857142857143
7,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703074697,0.2
8,6,0,2,4,0,0,0,0,2,12.011,-0.03507346739037115,0.22857142857142856
9,6,0,2,3,0,0,0,0,1,12.011,-0.08853928210673455,0.2571428571428571
10,6,0,2,3,0,0,0,0,1,12.011,-0.08853926890735207,0.2857142857142857
11,6,0,2,4,0,0,0,0,2,12.011,-0.03507182488607021,0.3142857142857143
12,6,0,2,4,0,0,0,0,2,12.011,-0.04972877699663475,0.34285714285714286
13,6,0,2,4,0,0,0,0,2,12.011,-0.050470771562900384,0.37142857142857144
14,6,0,2,4,0,0,0,0,2,12.011,-0.024875643750835598,0.4
15,6,0,3,4,0,0,1,1,1,12.011,0.07643284717718501,0.42857142857142855
16,8,0,1,4,0,0,0,0,1,15.999,-0.3908977500313204,0.45714285714285713
17,6,0,3,4,0,0,2,1,1,12.011,0.07827121285147465,0.45714285714285713
18,6,0,2,4,0,0,0,0,2,12.011,0.07267400131715601,0.4857142857142857
19,8,0,2,4,0,0,0,0,0,15.999,-0.34763360283946937,0.5142857142857142
20,6,0,3,4,0,1,2,1,1,12.011,0.18623726992609194,0.5428571428571428
21,8,0,2,4,0,1,0,0,0,15.999,-0.34139729589103524,0.5714285714285714
22,6,0,3,4,0,1,2,1,1,12.011,0.11228808947926947,0.6
23,6,0,2,4,0,0,0,0,2,12.011,0.07213220226038916,0.6285714285714286
24,8,0,1,4,0,0,0,0,1,15.999,-0.393566515099624,0.6571428571428571
25,6,0,3,4,0,1,1,1,1,12.011,0.11109641054630277,0.6285714285714286
26,8,0,1,4,0,0,0,0,1,15.999,-0.3874976331817879,0.6571428571428571
27,6,0,3,4,0,1,2,1,1,12.011,0.11334314838250546,0.6
28,8,0,1,4,0,0,0,0,1,15.999,-0.3873949552483754,0.6285714285714286
29,6,0,3,4,0,1,1,1,1,12.011,0.13325241019986492,0.5714285714285714
30,8,0,1,4,0,0,0,0,1,15.999,-0.38498534395635686,0.6
31,7,0,2,3,0,0,0,0,1,14.007,-0.346176658354393,0.4857142857142857
32,6,0,3,3,0,0,0,0,0,12.011,0.24872659402439742,0.5142857142857142
33,8,0,1,3,0,0,0,0,0,15.999,-0.27209196369151295,0.5428571428571428
34,6,0,3,4,0,0,2,1,1,12.011,0.13233057310901464,0.5428571428571428
35,8,0,1,4,0,0,0,0,1,15.999,-0.3832771598195716,0.5714285714285714
36,6,0,2,4,0,0,0,0,2,12.011,-0.017869912953714557,0.5714285714285714
37,6,0,2,4,0,0,0,0,2,12.011,-0.0503230745477896,0.6
38,6,0,2,4,0,0,0,0,2,12.011,-0.05319577088524004,0.6285714285714286
39,6,0,2,4,0,0,0,0,2,12.011,-0.053304114837082556,0.6571428571428571
40,6,0,2,4,0,0,0,0,2,12.011,-0.05330595804691169,0.6857142857142857
41,6,0,2,4,0,0,0,0,2,12.011,-0.053305972733047505,0.7142857142857143
42,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278901289,0.7428571428571429
43,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911563,0.7714285714285715
44,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536,0.8
45,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.8285714285714286
46,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8571428571428571
47,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.8857142857142857
48,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9142857142857143
49,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9428571428571428
50,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9714285714285714
51,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
