source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5208382196573873
1,0,1.0,0,0,0,0,0,1.5208382196573873
1,2,1.0,0,0,0,0,0,1.5298593713652395
2,1,1.0,0,0,0,0,0,1.5298593713652395
2,3,1.0,0,0,0,0,0,1.5321529837849728
3,2,1.0,0,0,0,0,0,1.5321529837849728
3,4,1.0,0,0,0,0,0,1.5313983532425326
4,3,1.0,0,0,0,0,0,1.5313983532425326
4,5,1.0,0,0,0,4,0,1.5025194645059003
5,4,1.0,0,0,0,4,0,1.5025194645059003
5,6,2.0,0,0,2,0,0,1.3438248426189703
6,5,2.0,0,0,2,0,0,1.3438248426189703
6,7,1.0,0,0,0,3,0,1.502683104173796
7,6,1.0,0,0,0,3,0,1.502683104173796
7,8,1.0,0,0,0,4,0,1.5026127479407638
8,7,1.0,0,0,0,4,0,1.5026127479407638
8,9,2.0,0,0,2,0,0,1.3437949087337708
9,8,2.0,0,0,2,0,0,1.3437949087337708
9,10,1.0,0,0,0,3,0,1.502988125903664
10,9,1.0,0,0,0,3,0,1.502988125903664
10,11,1.0,0,0,0,0,0,1.532371144680711
11,10,1.0,0,0,0,0,0,1.532371144680711
11,12,1.0,0,0,0,0,0,1.53283290391831
12,11,1.0,0,0,0,0,0,1.53283290391831
12,13,1.0,0,0,0,0,0,1.5310525250146871
13,12,1.0,0,0,0,0,0,1.5310525250146871
13,14,1.0,0,0,0,0,0,1.5312215945104053
14,13,1.0,0,0,0,0,0,1.5312215945104053
14,15,1.0,0,0,0,0,0,1.531071425972112
15,14,1.0,0,0,0,0,0,1.531071425972112
15,16,1.0,0,0,0,0,0,1.5261602083033354
16,15,1.0,0,0,0,0,0,1.5261602083033354
16,17,1.0,0,0,0,0,0,1.5082395739845693
17,16,1.0,0,0,0,0,0,1.5082395739845693
17,18,2.0,1,0,0,0,0,1.2235129815226065
18,17,2.0,1,0,0,0,0,1.2235129815226065
17,19,1.0,1,0,0,0,0,1.3586224425201492
19,17,1.0,1,0,0,0,0,1.3586224425201492
19,20,1.0,0,0,0,0,0,1.4481886215845032
20,19,1.0,0,0,0,0,0,1.4481886215845032
20,21,1.0,0,0,0,0,0,1.533144150113179
21,20,1.0,0,0,0,0,0,1.533144150113179
21,22,1.0,0,0,0,0,0,1.4371643525786115
22,21,1.0,0,0,0,0,0,1.4371643525786115
22,23,1.0,1,0,0,0,0,1.3580670168671243
23,22,1.0,1,0,0,0,0,1.3580670168671243
23,24,2.0,1,0,0,0,0,1.2241513832214164
24,23,2.0,1,0,0,0,0,1.2241513832214164
23,25,1.0,0,0,0,0,0,1.5090983488434309
25,23,1.0,0,0,0,0,0,1.5090983488434309
25,26,1.0,0,0,0,0,0,1.5277138151801544
26,25,1.0,0,0,0,0,0,1.5277138151801544
26,27,1.0,0,0,0,0,0,1.5317346498426865
27,26,1.0,0,0,0,0,0,1.5317346498426865
27,28,1.0,0,0,0,0,0,1.5315378491149203
28,27,1.0,0,0,0,0,0,1.5315378491149203
28,29,1.0,0,0,0,0,0,1.5310862854281773
29,28,1.0,0,0,0,0,0,1.5310862854281773
29,30,1.0,0,0,0,0,0,1.530413248349364
30,29,1.0,0,0,0,0,0,1.530413248349364
30,31,1.0,0,0,0,0,0,1.5313036677541954
31,30,1.0,0,0,0,0,0,1.5313036677541954
31,32,1.0,0,0,0,0,0,1.5316679344325217
32,31,1.0,0,0,0,0,0,1.5316679344325217
32,33,1.0,0,0,0,0,0,1.5318368844747083
33,32,1.0,0,0,0,0,0,1.5318368844747083
33,34,1.0,0,0,0,0,0,1.5318736758321916
34,33,1.0,0,0,0,0,0,1.5318736758321916
34,35,1.0,0,0,0,0,0,1.5308344017161353
35,34,1.0,0,0,0,0,0,1.5308344017161353
35,36,1.0,0,0,0,0,0,1.5295686383100562
36,35,1.0,0,0,0,0,0,1.5295686383100562
36,37,1.0,0,0,0,0,0,1.5208132477745366
37,36,1.0,0,0,0,0,0,1.5208132477745366
20,38,1.0,0,0,0,0,0,1.5324128719943992
38,20,1.0,0,0,0,0,0,1.5324128719943992
38,39,1.0,0,0,0,0,0,1.4196212297476616
39,38,1.0,0,0,0,0,0,1.4196212297476616
39,40,1.0,0,0,0,0,0,1.6159700994891615
40,39,1.0,0,0,0,0,0,1.6159700994891615
40,41,2.0,0,0,0,0,0,1.504627104626701
41,40,2.0,0,0,0,0,0,1.504627104626701
40,42,1.0,0,0,0,0,0,1.5038961003534976
42,40,1.0,0,0,0,0,0,1.5038961003534976
40,43,1.0,0,0,0,0,0,1.625793195735724
43,40,1.0,0,0,0,0,0,1.625793195735724
43,44,1.0,0,0,0,0,0,1.414548554717626
44,43,1.0,0,0,0,0,0,1.414548554717626
44,45,1.0,0,0,0,0,0,1.5318011376038667
45,44,1.0,0,0,0,0,0,1.5318011376038667
45,46,1.0,0,0,0,0,0,1.5515459935492324
46,45,1.0,0,0,0,0,0,1.5515459935492324
46,47,1.0,0,0,0,0,0,1.5226111461135003
47,46,1.0,0,0,0,0,0,1.5226111461135003
46,48,1.0,0,0,0,0,0,1.5208152244737412
48,46,1.0,0,0,0,0,0,1.5208152244737412
46,49,1.0,0,0,0,0,0,1.5238514011129243
49,46,1.0,0,0,0,0,0,1.5238514011129243
