source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.52106472300445
1,0,1.0,0,0,0,0,0,1.52106472300445
1,2,1.0,0,0,0,4,0,1.5020945612634125
2,1,1.0,0,0,0,4,0,1.5020945612634125
2,3,2.0,0,0,2,0,0,1.3435824169797463
3,2,2.0,0,0,2,0,0,1.3435824169797463
3,4,1.0,0,0,0,3,0,1.5018741110213565
4,3,1.0,0,0,0,3,0,1.5018741110213565
4,5,1.0,0,0,0,4,0,1.5016638548051107
5,4,1.0,0,0,0,4,0,1.5016638548051107
5,6,2.0,0,0,2,0,0,1.3443436300491314
6,5,2.0,0,0,2,0,0,1.3443436300491314
6,7,1.0,0,0,0,3,0,1.5022278071966855
7,6,1.0,0,0,0,3,0,1.5022278071966855
7,8,1.0,0,0,0,4,0,1.5023176154515911
8,7,1.0,0,0,0,4,0,1.5023176154515911
8,9,2.0,0,0,2,0,0,1.3452081599172536
9,8,2.0,0,0,2,0,0,1.3452081599172536
9,10,1.0,0,0,0,3,0,1.5035864382262427
10,9,1.0,0,0,0,3,0,1.5035864382262427
10,11,1.0,0,0,0,4,0,1.5032767133343135
11,10,1.0,0,0,0,4,0,1.5032767133343135
11,12,2.0,0,0,2,0,0,1.345018731744146
12,11,2.0,0,0,2,0,0,1.345018731744146
12,13,1.0,0,0,0,3,0,1.5029146103869842
13,12,1.0,0,0,0,3,0,1.5029146103869842
13,14,1.0,0,0,0,4,0,1.5023169999659265
14,13,1.0,0,0,0,4,0,1.5023169999659265
14,15,2.0,0,0,2,0,0,1.3437984370553773
15,14,2.0,0,0,2,0,0,1.3437984370553773
15,16,1.0,0,0,0,3,0,1.50333052216182
16,15,1.0,0,0,0,3,0,1.50333052216182
16,17,1.0,0,0,0,0,0,1.5328876362778725
17,16,1.0,0,0,0,0,0,1.5328876362778725
17,18,1.0,0,0,0,0,0,1.5335795003936927
18,17,1.0,0,0,0,0,0,1.5335795003936927
18,19,1.0,0,0,0,0,0,1.533787060605663
19,18,1.0,0,0,0,0,0,1.533787060605663
19,20,1.0,0,0,0,0,0,1.5308012589526345
20,19,1.0,0,0,0,0,0,1.5308012589526345
20,21,1.0,0,0,0,0,0,1.5129659193587537
