atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.03125
2,6,0,2,4,0,0,0,0,2,12.011,-0.0535686427246432,0.0625
3,6,0,2,4,0,0,0,0,2,12.011,-0.0533160322698448,0.09375
4,6,0,2,4,0,0,0,0,2,12.011,-0.053306145057550984,0.125
5,6,0,2,4,0,0,0,0,2,12.011,-0.05330597269605186,0.15625
6,6,0,2,4,0,0,0,0,2,12.011,-0.05330578776180908,0.1875
7,6,0,2,4,0,0,0,0,2,12.011,-0.05329502381484455,0.21875
8,6,0,2,4,0,0,0,0,2,12.011,-0.05301105057711353,0.25
9,6,0,2,4,0,0,0,0,2,12.011,-0.04982338336895281,0.28125
10,6,0,2,4,0,0,0,0,2,12.011,-0.034976761425557966,0.3125
11,6,0,2,3,0,0,0,0,1,12.011,-0.0859073781875191,0.34375
12,6,0,2,3,0,0,0,0,1,12.011,-0.05806072155065871,0.375
13,6,0,3,4,0,0,1,1,1,12.011,0.09451755621242044,0.40625
14,8,0,1,4,0,0,0,0,1,15.999,-0.38679959333426983,0.4375
15,6,0,3,4,0,0,2,1,1,12.011,0.082160216034793,0.4375
16,6,0,2,4,0,0,0,0,2,12.011,0.07830733359967906,0.46875
17,8,0,2,4,0,0,0,0,0,15.999,-0.31614745237302944,0.5
18,15,0,4,4,0,0,0,1,0,30.974,0.267653377303556,0.53125
19,8,0,1,3,0,0,0,0,0,15.999,-0.2763283025435666,0.5625
20,8,-1,1,4,0,0,0,0,0,15.999,-0.756118003205017,0.5625
21,8,0,2,4,0,0,0,0,0,15.999,-0.31248131046161426,0.5625
22,6,0,2,4,0,0,0,0,2,12.011,0.10428432712316082,0.59375
23,6,0,2,4,0,0,0,0,2,12.011,0.10229210367960033,0.625
24,7,1,4,4,0,0,0,0,0,14.007,-0.3289927434826724,0.65625
25,6,0,1,4,0,0,0,0,3,12.011,0.067732612207178,0.6875
26,6,0,1,4,0,0,0,0,3,12.011,0.067732612207178,0.6875
27,6,0,1,4,0,0,0,0,3,12.011,0.067732612207178,0.6875
28,7,0,2,3,0,0,0,0,1,14.007,-0.34807466812225163,0.46875
29,6,0,3,3,0,0,0,0,0,12.011,0.2198922792784322,0.5
30,8,0,1,3,0,0,0,0,0,15.999,-0.2751320055713145,0.53125
31,6,0,2,4,0,0,0,0,2,12.011,0.02647655463109658,0.53125
32,6,0,2,4,0,0,0,0,2,12.011,-0.04449607792939767,0.5625
33,6,0,2,4,0,0,0,0,2,12.011,-0.052812493042946745,0.59375
34,6,0,2,4,0,0,0,0,2,12.011,-0.05329166571213523,0.625
35,6,0,2,4,0,0,0,0,2,12.011,-0.05330576107435889,0.65625
36,6,0,2,4,0,0,0,0,2,12.011,-0.05330597121778762,0.6875
37,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278333657,0.71875
38,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891053,0.75
39,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789125355,0.78125
40,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.8125
41,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.84375
42,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.875
43,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.90625
44,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9375
45,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.96875
46,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
