atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.1595303425924382
1,6,0,2,4,0,0,0,0,2,12.011,0.09906639179172233
2,8,0,2,4,0,0,0,0,0,15.999,-0.2829517819793911
3,15,0,4,4,0,0,0,1,0,30.974,0.47185923902497584
4,8,0,1,3,0,0,0,0,0,15.999,-0.22811573216615202
5,8,0,1,4,0,0,0,0,1,15.999,-0.302493280978392
6,8,0,2,4,0,0,0,0,0,15.999,-0.2856744169745546
7,6,0,2,4,0,0,0,0,2,12.011,0.0708092457307307
8,6,0,2,4,0,0,0,0,2,12.011,0.01655901295458745
9,7,0,1,4,0,0,0,0,2,14.007,-0.32823384187988364
10,8,0,2,3,0,0,0,0,0,15.999,-0.4562182843416884
11,6,0,3,3,0,0,0,0,0,12.011,0.305777379136254
12,6,0,2,4,0,0,0,0,2,12.011,0.045810165682083584
13,6,0,2,4,0,0,0,0,2,12.011,-0.039304223037204995
14,6,0,2,4,0,0,0,0,2,12.011,-0.03450404456334801
15,6,0,2,3,0,0,0,0,1,12.011,-0.08821173650594126
16,6,0,2,3,0,0,0,0,1,12.011,-0.08475223916903231
17,6,0,2,4,0,0,0,0,2,12.011,-0.016907327115851963
18,6,0,2,3,0,0,0,0,1,12.011,-0.08444087540915313
19,6,0,2,3,0,0,0,0,1,12.011,-0.0844406852340394
20,6,0,2,4,0,0,0,0,2,12.011,-0.016896067696441162
21,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523404982
22,6,0,2,3,0,0,0,0,1,12.011,-0.0844408754150933
23,6,0,2,4,0,0,0,0,2,12.011,-0.016907328725840734
24,6,0,2,3,0,0,0,0,1,12.011,-0.0847524597925529
25,6,0,2,3,0,0,0,0,1,12.011,-0.08822748279093615
26,6,0,2,4,0,0,0,0,2,12.011,-0.03506238602438802
27,6,0,2,4,0,0,0,0,2,12.011,-0.049834887801403216
28,6,0,2,4,0,0,0,0,2,12.011,-0.05327372895608925
29,6,0,2,4,0,0,0,0,2,12.011,-0.056160718138144945
30,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831714015
31,8,0,1,3,0,0,0,0,0,15.999,-0.25228411815046126
32,6,0,2,4,0,0,0,0,2,12.011,0.13055667632973203
33,8,0,2,3,0,0,0,0,0,15.999,-0.46162817343594925
34,6,0,3,3,0,0,0,0,0,12.011,0.3054155730404699
35,6,0,2,4,0,0,0,0,2,12.011,0.04550308108716672
36,6,0,2,4,0,0,0,0,2,12.011,-0.04278333797097062
37,6,0,2,4,0,0,0,0,2,12.011,-0.052748008993202346
38,6,0,2,4,0,0,0,0,2,12.011,-0.0532905709611763
39,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236085166
40,6,0,2,4,0,0,0,0,2,12.011,-0.05330597118459915
41,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278327566
42,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278910524
43,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157
44,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536
45,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694
46,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
47,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
48,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
49,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
50,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
51,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
52,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155829826
