source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5200079136420097
1,0,1.0,0,0,0,0,0,1.5200079136420097
1,2,1.0,0,0,0,4,0,1.5015597834366887
2,1,1.0,0,0,0,4,0,1.5015597834366887
2,3,2.0,0,0,2,0,0,1.3440006909562825
3,2,2.0,0,0,2,0,0,1.3440006909562825
3,4,1.0,0,0,0,3,0,1.501440138342932
4,3,1.0,0,0,0,3,0,1.501440138342932
4,5,1.0,0,0,0,4,0,1.5019509037225824
5,4,1.0,0,0,0,4,0,1.5019509037225824
5,6,2.0,0,0,2,0,0,1.344263471681203
6,5,2.0,0,0,2,0,0,1.344263471681203
6,7,1.0,0,0,0,3,0,1.5023238444697988
7,6,1.0,0,0,0,3,0,1.5023238444697988
7,8,1.0,0,0,0,4,0,1.501646541926031
8,7,1.0,0,0,0,4,0,1.501646541926031
8,9,2.0,0,0,2,0,0,1.3437217046742593
9,8,2.0,0,0,2,0,0,1.3437217046742593
9,10,1.0,0,0,0,3,0,1.5028308091597586
10,9,1.0,0,0,0,3,0,1.5028308091597586
10,11,1.0,0,0,0,0,0,1.530895370730264
11,10,1.0,0,0,0,0,0,1.530895370730264
11,12,1.0,0,0,0,0,0,1.5318016528200213
12,11,1.0,0,0,0,0,0,1.5318016528200213
12,13,1.0,0,0,0,0,0,1.5319848599363268
13,12,1.0,0,0,0,0,0,1.5319848599363268
13,14,1.0,0,0,0,0,0,1.5307886494327638
14,13,1.0,0,0,0,0,0,1.5307886494327638
14,15,1.0,0,0,0,0,0,1.531241298134209
15,14,1.0,0,0,0,0,0,1.531241298134209
15,16,1.0,0,0,0,0,0,1.5291404414762113
16,15,1.0,0,0,0,0,0,1.5291404414762113
16,17,1.0,0,0,0,0,0,1.5109602028243172
17,16,1.0,0,0,0,0,0,1.5109602028243172
17,18,2.0,1,0,0,0,0,1.223917265177999
18,17,2.0,1,0,0,0,0,1.223917265177999
17,19,1.0,1,0,0,0,0,1.3583790508818172
19,17,1.0,1,0,0,0,0,1.3583790508818172
19,20,1.0,0,0,0,0,0,1.4476087129270845
20,19,1.0,0,0,0,0,0,1.4476087129270845
20,21,1.0,0,0,0,0,0,1.5360445576801922
21,20,1.0,0,0,0,0,0,1.5360445576801922
21,22,1.0,0,0,0,0,0,1.4412442673707493
22,21,1.0,0,0,0,0,0,1.4412442673707493
22,23,1.0,1,0,0,0,0,1.3590999724143913
23,22,1.0,1,0,0,0,0,1.3590999724143913
23,24,2.0,1,0,0,0,0,1.2239905675280287
24,23,2.0,1,0,0,0,0,1.2239905675280287
23,25,1.0,0,0,0,0,0,1.5095003557572555
25,23,1.0,0,0,0,0,0,1.5095003557572555
25,26,1.0,0,0,0,0,0,1.5273804515362581
