atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,3,3,0,0,0,0,0,12.011,0.30315494186189557,0.045454545454545456
1,6,0,2,4,0,0,0,0,2,12.011,0.04876972869525365,0.09090909090909091
2,6,0,2,4,0,0,0,0,2,12.011,-0.024552251727231914,0.13636363636363635
3,6,0,2,3,0,0,0,0,1,12.011,-0.08765047015653767,0.18181818181818182
4,6,0,2,3,0,0,0,0,1,12.011,-0.08473684934111587,0.22727272727272727
5,6,0,2,4,0,0,0,0,2,12.011,-0.01690710616538266,0.2727272727272727
6,6,0,2,3,0,0,0,0,1,12.011,-0.08444087377519265,0.3181818181818182
7,6,0,2,3,0,0,0,0,1,12.011,-0.0844406852282109,0.36363636363636365
8,6,0,2,4,0,0,0,0,2,12.011,-0.016896067690784472,0.4090909090909091
9,6,0,2,3,0,0,0,0,1,12.011,-0.08444068375360139,0.45454545454545453
10,6,0,2,3,0,0,0,0,1,12.011,-0.08444068375360139,0.5
11,6,0,2,4,0,0,0,0,2,12.011,-0.01689606769079499,0.5454545454545454
12,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523403934,0.5909090909090909
13,6,0,2,3,0,0,0,0,1,12.011,-0.08444087541509329,0.6363636363636364
14,6,0,2,4,0,0,0,0,2,12.011,-0.016907328725840734,0.6818181818181818
15,6,0,2,3,0,0,0,0,1,12.011,-0.0847524597925529,0.7272727272727273
16,6,0,2,3,0,0,0,0,1,12.011,-0.08822748279093615,0.7727272727272727
17,6,0,2,4,0,0,0,0,2,12.011,-0.03506238602438802,0.8181818181818182
18,6,0,2,4,0,0,0,0,2,12.011,-0.049834887801403216,0.8636363636363636
19,6,0,2,4,0,0,0,0,2,12.011,-0.05327372895608925,0.9090909090909091
20,6,0,2,4,0,0,0,0,2,12.011,-0.056160718138144945,0.9545454545454546
21,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831714015,1.0
22,8,0,1,3,0,0,0,0,0,15.999,-0.25247260709345704,0.0
23,8,0,1,3,0,0,0,0,1,15.999,-0.4812222010153044,0.09090909090909091
