source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.6037857948083354
1,0,1.0,0,0,0,0,0,1.6037857948083354
1,2,1.0,0,0,0,0,0,1.4190819036772748
2,1,1.0,0,0,0,0,0,1.4190819036772748
2,3,1.0,0,0,0,0,0,1.532808131632239
3,2,1.0,0,0,0,0,0,1.532808131632239
3,4,1.0,0,0,0,0,0,1.4467643329954405
4,3,1.0,0,0,0,0,0,1.4467643329954405
4,5,1.0,1,0,0,0,0,1.3607912594120353
5,4,1.0,1,0,0,0,0,1.3607912594120353
5,6,1.0,0,0,0,0,0,1.5093271268637816
6,5,1.0,0,0,0,0,0,1.5093271268637816
6,7,1.0,0,0,0,0,0,1.526995157915066
7,6,1.0,0,0,0,0,0,1.526995157915066
7,8,1.0,0,0,0,0,0,1.531644384003022
8,7,1.0,0,0,0,0,0,1.531644384003022
8,9,1.0,0,0,0,0,0,1.5316471084424188
9,8,1.0,0,0,0,0,0,1.5316471084424188
9,10,1.0,0,0,0,0,0,1.5315341423414346
10,9,1.0,0,0,0,0,0,1.5315341423414346
10,11,1.0,0,0,0,0,0,1.5318229990937302
11,10,1.0,0,0,0,0,0,1.5318229990937302
11,12,1.0,0,0,0,0,0,1.5322438727488243
12,11,1.0,0,0,0,0,0,1.5322438727488243
12,13,1.0,0,0,0,4,0,1.5038407237654963
13,12,1.0,0,0,0,4,0,1.5038407237654963
13,14,2.0,0,0,2,0,0,1.3432525673279279
14,13,2.0,0,0,2,0,0,1.3432525673279279
14,15,1.0,0,0,0,3,0,1.5022531767169585
15,14,1.0,0,0,0,3,0,1.5022531767169585
15,16,1.0,0,0,0,0,0,1.5317200470059424
16,15,1.0,0,0,0,0,0,1.5317200470059424
16,17,1.0,0,0,0,0,0,1.5320909129258198
17,16,1.0,0,0,0,0,0,1.5320909129258198
17,18,1.0,0,0,0,0,0,1.531377696753982
18,17,1.0,0,0,0,0,0,1.531377696753982
18,19,1.0,0,0,0,0,0,1.5311490712305187
19,18,1.0,0,0,0,0,0,1.5311490712305187
19,20,1.0,0,0,0,0,0,1.531132577802419
20,19,1.0,0,0,0,0,0,1.531132577802419
20,21,1.0,0,0,0,0,0,1.52987135239702
21,20,1.0,0,0,0,0,0,1.52987135239702
21,22,1.0,0,0,0,0,0,1.520576997675765
22,21,1.0,0,0,0,0,0,1.520576997675765
5,23,2.0,1,0,0,0,0,1.2235056639235293
23,5,2.0,1,0,0,0,0,1.2235056639235293
3,24,1.0,0,0,0,0,0,1.5353633526507768
