source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.521061173421686
1,0,1.0,0,0,0,0,0,1.521061173421686
1,2,1.0,0,0,0,4,0,1.5009631941091093
2,1,1.0,0,0,0,4,0,1.5009631941091093
2,3,2.0,0,0,2,0,0,1.3431498446763928
3,2,2.0,0,0,2,0,0,1.3431498446763928
3,4,1.0,0,0,0,3,0,1.502209291041201
4,3,1.0,0,0,0,3,0,1.502209291041201
4,5,1.0,0,0,0,4,0,1.502599966032597
5,4,1.0,0,0,0,4,0,1.502599966032597
5,6,2.0,0,0,2,0,0,1.344554608812837
6,5,2.0,0,0,2,0,0,1.344554608812837
6,7,1.0,0,0,0,3,0,1.502518807531672
7,6,1.0,0,0,0,3,0,1.502518807531672
7,8,1.0,0,0,0,4,0,1.5022233873249742
8,7,1.0,0,0,0,4,0,1.5022233873249742
8,9,2.0,0,0,2,0,0,1.343851217800648
9,8,2.0,0,0,2,0,0,1.343851217800648
9,10,1.0,0,0,0,3,0,1.5028842902181148
10,9,1.0,0,0,0,3,0,1.5028842902181148
10,11,1.0,0,0,0,0,0,1.531354775303106
11,10,1.0,0,0,0,0,0,1.531354775303106
11,12,1.0,0,0,0,0,0,1.5324159978134362
12,11,1.0,0,0,0,0,0,1.5324159978134362
12,13,1.0,0,0,0,0,0,1.5303139024358003
13,12,1.0,0,0,0,0,0,1.5303139024358003
13,14,1.0,0,0,0,0,0,1.5309924835501845
14,13,1.0,0,0,0,0,0,1.5309924835501845
14,15,1.0,0,0,0,0,0,1.5311159218554633
15,14,1.0,0,0,0,0,0,1.5311159218554633
15,16,1.0,0,0,0,0,0,1.5279776378665564
16,15,1.0,0,0,0,0,0,1.5279776378665564
16,17,1.0,0,0,0,0,0,1.5111119129503163
17,16,1.0,0,0,0,0,0,1.5111119129503163
17,18,2.0,1,0,0,0,0,1.2228104045773107
18,17,2.0,1,0,0,0,0,1.2228104045773107
17,19,1.0,1,0,0,0,0,1.35929844362746
19,17,1.0,1,0,0,0,0,1.35929844362746
19,20,1.0,0,0,0,0,0,1.4491970398523533
20,19,1.0,0,0,0,0,0,1.4491970398523533
20,21,1.0,0,0,0,0,0,1.5366647216520903
21,20,1.0,0,0,0,0,0,1.5366647216520903
21,22,1.0,0,0,0,0,0,1.4385386905085826
22,21,1.0,0,0,0,0,0,1.4385386905085826
22,23,1.0,1,0,0,0,0,1.358720729646937
23,22,1.0,1,0,0,0,0,1.358720729646937
23,24,2.0,1,0,0,0,0,1.2240110973926528
24,23,2.0,1,0,0,0,0,1.2240110973926528
23,25,1.0,0,0,0,0,0,1.5107912763406524
25,23,1.0,0,0,0,0,0,1.5107912763406524
25,26,1.0,0,0,0,0,0,1.527658803668714
26,25,1.0,0,0,0,0,0,1.527658803668714
26,27,1.0,0,0,0,0,0,1.5338268037677414
27,26,1.0,0,0,0,0,0,1.5338268037677414
27,28,1.0,0,0,0,0,0,1.532563284625078
28,27,1.0,0,0,0,0,0,1.532563284625078
28,29,1.0,0,0,0,0,0,1.532584179116769
29,28,1.0,0,0,0,0,0,1.532584179116769
29,30,1.0,0,0,0,0,0,1.531996703334421
30,29,1.0,0,0,0,0,0,1.531996703334421
30,31,1.0,0,0,0,0,0,1.5331747457443403
31,30,1.0,0,0,0,0,0,1.5331747457443403
31,32,1.0,0,0,0,0,0,1.532765783218256
32,31,1.0,0,0,0,0,0,1.532765783218256
32,33,1.0,0,0,0,0,0,1.5333579477501411
33,32,1.0,0,0,0,0,0,1.5333579477501411
33,34,1.0,0,0,0,0,0,1.53289381036844
34,33,1.0,0,0,0,0,0,1.53289381036844
34,35,1.0,0,0,0,0,0,1.5310061317349617
35,34,1.0,0,0,0,0,0,1.5310061317349617
35,36,1.0,0,0,0,4,0,1.5030651719960182
