source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5205817885074258
1,0,1.0,0,0,0,0,0,1.5205817885074258
1,2,1.0,0,0,0,0,0,1.529774944531226
2,1,1.0,0,0,0,0,0,1.529774944531226
2,3,1.0,0,0,0,0,0,1.5318043427114891
3,2,1.0,0,0,0,0,0,1.5318043427114891
3,4,1.0,0,0,0,0,0,1.5316772538022132
4,3,1.0,0,0,0,0,0,1.5316772538022132
4,5,1.0,0,0,0,0,0,1.5323165944273571
5,4,1.0,0,0,0,0,0,1.5323165944273571
5,6,1.0,0,0,0,0,0,1.532242323352763
6,5,1.0,0,0,0,0,0,1.532242323352763
6,7,1.0,0,0,0,0,0,1.5318039977683404
7,6,1.0,0,0,0,0,0,1.5318039977683404
7,8,1.0,0,0,0,0,0,1.5314176203514533
8,7,1.0,0,0,0,0,0,1.5314176203514533
8,9,1.0,0,0,0,0,0,1.5323648693345988
9,8,1.0,0,0,0,0,0,1.5323648693345988
9,10,1.0,0,0,0,0,0,1.5313710318333937
10,9,1.0,0,0,0,0,0,1.5313710318333937
10,11,1.0,0,0,0,0,0,1.532948018027983
11,10,1.0,0,0,0,0,0,1.532948018027983
11,12,1.0,0,0,0,0,0,1.532276253405477
12,11,1.0,0,0,0,0,0,1.532276253405477
12,13,1.0,0,0,0,4,0,1.5046556799546746
13,12,1.0,0,0,0,4,0,1.5046556799546746
13,14,2.0,1,0,2,0,0,1.3426428736979976
14,13,2.0,1,0,2,0,0,1.3426428736979976
14,15,1.0,1,0,0,3,0,1.4455391611856778
15,14,1.0,1,0,0,3,0,1.4455391611856778
15,16,2.0,1,0,3,0,0,1.341730063905346
16,15,2.0,1,0,3,0,0,1.341730063905346
16,17,1.0,1,0,0,3,0,1.477961200241253
17,16,1.0,1,0,0,3,0,1.477961200241253
17,18,2.0,1,0,0,0,0,1.2218424399819954
18,17,2.0,1,0,0,0,0,1.2218424399819954
17,19,1.0,1,0,0,0,0,1.3529474148646667
19,17,1.0,1,0,0,0,0,1.3529474148646667
19,20,1.0,0,0,0,0,0,1.439129534605725
20,19,1.0,0,0,0,0,0,1.439129534605725
20,21,1.0,0,0,0,0,0,1.5339416411977023
21,20,1.0,0,0,0,0,0,1.5339416411977023
21,22,1.0,0,0,0,0,0,1.4383271896549599
22,21,1.0,0,0,0,0,0,1.4383271896549599
21,23,1.0,0,0,0,0,0,1.5300618072594803
23,21,1.0,0,0,0,0,0,1.5300618072594803
23,24,1.0,0,0,0,0,0,1.4204608468635922
24,23,1.0,0,0,0,0,0,1.4204608468635922
24,25,1.0,0,0,0,0,0,1.615586082560227
25,24,1.0,0,0,0,0,0,1.615586082560227
25,26,2.0,0,0,0,0,0,1.50474146910947
26,25,2.0,0,0,0,0,0,1.50474146910947
25,27,1.0,0,0,0,0,0,1.5033630226025512
27,25,1.0,0,0,0,0,0,1.5033630226025512
25,28,1.0,0,0,0,0,0,1.624314588358784
28,25,1.0,0,0,0,0,0,1.624314588358784
28,29,1.0,0,0,0,0,0,1.415667243268229
29,28,1.0,0,0,0,0,0,1.415667243268229
29,30,1.0,0,0,0,0,0,1.5355834238645432
30,29,1.0,0,0,0,0,0,1.5355834238645432
30,31,1.0,0,0,0,0,0,1.5540586226209667
31,30,1.0,0,0,0,0,0,1.5540586226209667
31,32,1.0,0,0,0,0,0,1.5277574423014357
32,31,1.0,0,0,0,0,0,1.5277574423014357
31,33,1.0,0,0,0,0,0,1.5179833988615157
33,31,1.0,0,0,0,0,0,1.5179833988615157
31,34,1.0,0,0,0,0,0,1.5208111660167862
34,31,1.0,0,0,0,0,0,1.5208111660167862
