source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5208951669355764
1,0,1.0,0,0,0,0,0,1.5208951669355764
1,2,1.0,0,0,0,0,0,1.5293869604910315
2,1,1.0,0,0,0,0,0,1.5293869604910315
2,3,1.0,0,0,0,0,0,1.5318957694650674
3,2,1.0,0,0,0,0,0,1.5318957694650674
3,4,1.0,0,0,0,0,0,1.5324712912934957
4,3,1.0,0,0,0,0,0,1.5324712912934957
4,5,1.0,0,0,0,4,0,1.5030117033283976
5,4,1.0,0,0,0,4,0,1.5030117033283976
5,6,2.0,0,0,2,0,0,1.343760390728716
6,5,2.0,0,0,2,0,0,1.343760390728716
6,7,1.0,0,0,0,3,0,1.5025429041596499
7,6,1.0,0,0,0,3,0,1.5025429041596499
7,8,1.0,0,0,0,4,0,1.502022248929829
8,7,1.0,0,0,0,4,0,1.502022248929829
8,9,2.0,0,0,2,0,0,1.343538578436779
9,8,2.0,0,0,2,0,0,1.343538578436779
9,10,1.0,0,0,0,3,0,1.5022895452415446
10,9,1.0,0,0,0,3,0,1.5022895452415446
10,11,1.0,0,0,0,0,0,1.5320352717423265
11,10,1.0,0,0,0,0,0,1.5320352717423265
11,12,1.0,0,0,0,0,0,1.5323794665838149
12,11,1.0,0,0,0,0,0,1.5323794665838149
12,13,1.0,0,0,0,0,0,1.531400708852001
13,12,1.0,0,0,0,0,0,1.531400708852001
13,14,1.0,0,0,0,0,0,1.531347501913808
14,13,1.0,0,0,0,0,0,1.531347501913808
14,15,1.0,0,0,0,0,0,1.5322510214838707
15,14,1.0,0,0,0,0,0,1.5322510214838707
15,16,1.0,0,0,0,0,0,1.5271638528130604
16,15,1.0,0,0,0,0,0,1.5271638528130604
16,17,1.0,0,0,0,0,0,1.508670684706405
17,16,1.0,0,0,0,0,0,1.508670684706405
17,18,2.0,1,0,0,0,0,1.2237969914848117
18,17,2.0,1,0,0,0,0,1.2237969914848117
17,19,1.0,1,0,0,0,0,1.3601783196007378
19,17,1.0,1,0,0,0,0,1.3601783196007378
19,20,1.0,0,0,0,0,0,1.4387391817407877
20,19,1.0,0,0,0,0,0,1.4387391817407877
20,21,1.0,0,0,0,0,0,1.5357874774687243
21,20,1.0,0,0,0,0,0,1.5357874774687243
21,22,1.0,0,0,0,0,0,1.5322730658953287
22,21,1.0,0,0,0,0,0,1.5322730658953287
22,23,1.0,0,0,0,0,0,1.4176342674401816
23,22,1.0,0,0,0,0,0,1.4176342674401816
23,24,1.0,0,0,0,0,0,1.6008963928899813
24,23,1.0,0,0,0,0,0,1.6008963928899813
24,25,2.0,0,0,0,0,0,1.4903954108744544
25,24,2.0,0,0,0,0,0,1.4903954108744544
24,26,1.0,0,0,0,0,0,1.6022549532761527
26,24,1.0,0,0,0,0,0,1.6022549532761527
24,27,1.0,0,0,0,0,0,1.602398082864185
27,24,1.0,0,0,0,0,0,1.602398082864185
27,28,1.0,0,0,0,0,0,1.4292189437660805
28,27,1.0,0,0,0,0,0,1.4292189437660805
28,29,1.0,0,1,0,0,0,1.538831859101916
29,28,1.0,0,1,0,0,0,1.538831859101916
29,30,1.0,0,0,0,0,0,1.4343543022443752
30,29,1.0,0,0,0,0,0,1.4343543022443752
29,31,1.0,0,1,0,0,0,1.538169228472326
31,29,1.0,0,1,0,0,0,1.538169228472326
31,32,1.0,0,0,0,0,0,1.4374522827287959
32,31,1.0,0,0,0,0,0,1.4374522827287959
31,33,1.0,0,1,0,0,0,1.535390588069625
33,31,1.0,0,1,0,0,0,1.535390588069625
33,34,1.0,0,0,0,0,0,1.4361799181198855
34,33,1.0,0,0,0,0,0,1.4361799181198855
33,35,1.0,0,1,0,0,0,1.5325933351574808
35,33,1.0,0,1,0,0,0,1.5325933351574808
35,36,1.0,0,0,0,0,0,1.436935658380946
36,35,1.0,0,0,0,0,0,1.436935658380946
35,37,1.0,0,1,0,0,0,1.5400454379295618
37,35,1.0,0,1,0,0,0,1.5400454379295618
