source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.4376624668343774
1,0,1.0,0,0,0,0,0,1.4376624668343774
1,2,1.0,1,0,0,0,0,1.3609285479376594
2,1,1.0,1,0,0,0,0,1.3609285479376594
2,3,2.0,1,0,0,0,0,1.223027916403823
3,2,2.0,1,0,0,0,0,1.223027916403823
2,4,1.0,0,0,0,0,0,1.5096273944237626
4,2,1.0,0,0,0,0,0,1.5096273944237626
4,5,1.0,0,0,0,0,0,1.527631119561533
5,4,1.0,0,0,0,0,0,1.527631119561533
5,6,1.0,0,0,0,0,0,1.5315281322077128
6,5,1.0,0,0,0,0,0,1.5315281322077128
6,7,1.0,0,0,0,0,0,1.5305695596524487
7,6,1.0,0,0,0,0,0,1.5305695596524487
7,8,1.0,0,0,0,0,0,1.5312702323969352
8,7,1.0,0,0,0,0,0,1.5312702323969352
8,9,1.0,0,0,0,0,0,1.532195968309214
9,8,1.0,0,0,0,0,0,1.532195968309214
9,10,1.0,0,0,0,0,0,1.5314953435415979
10,9,1.0,0,0,0,0,0,1.5314953435415979
10,11,1.0,0,0,0,0,0,1.5305165991530107
11,10,1.0,0,0,0,0,0,1.5305165991530107
11,12,1.0,0,0,0,0,0,1.5319476937416123
12,11,1.0,0,0,0,0,0,1.5319476937416123
12,13,1.0,0,0,0,0,0,1.532593604960421
13,12,1.0,0,0,0,0,0,1.532593604960421
13,14,1.0,0,0,0,0,0,1.5313074326030616
14,13,1.0,0,0,0,0,0,1.5313074326030616
14,15,1.0,0,0,0,4,0,1.502971488905565
15,14,1.0,0,0,0,4,0,1.502971488905565
15,16,2.0,0,0,2,0,0,1.3440371922724397
16,15,2.0,0,0,2,0,0,1.3440371922724397
16,17,1.0,0,0,0,3,0,1.503153637632907
17,16,1.0,0,0,0,3,0,1.503153637632907
17,18,1.0,0,0,0,4,0,1.5017772193780843
18,17,1.0,0,0,0,4,0,1.5017772193780843
18,19,2.0,0,0,2,0,0,1.3438261953943786
19,18,2.0,0,0,2,0,0,1.3438261953943786
19,20,1.0,0,0,0,3,0,1.502802778273318
20,19,1.0,0,0,0,3,0,1.502802778273318
20,21,1.0,0,0,0,0,0,1.5309970078049422
21,20,1.0,0,0,0,0,0,1.5309970078049422
21,22,1.0,0,0,0,0,0,1.5309943277861113
22,21,1.0,0,0,0,0,0,1.5309943277861113
22,23,1.0,0,0,0,0,0,1.5291625958903647
23,22,1.0,0,0,0,0,0,1.5291625958903647
23,24,1.0,0,0,0,0,0,1.520695753520179
24,23,1.0,0,0,0,0,0,1.520695753520179
0,25,1.0,0,0,0,0,0,1.5346096042570794
25,0,1.0,0,0,0,0,0,1.5346096042570794
25,26,1.0,0,0,0,0,0,1.446477466522071
26,25,1.0,0,0,0,0,0,1.446477466522071
26,27,1.0,1,0,0,0,0,1.3598728978592802
27,26,1.0,1,0,0,0,0,1.3598728978592802
27,28,1.0,0,0,0,0,0,1.5093520325611378
28,27,1.0,0,0,0,0,0,1.5093520325611378
28,29,1.0,0,0,0,0,0,1.526960160326457
29,28,1.0,0,0,0,0,0,1.526960160326457
29,30,1.0,0,0,0,0,0,1.531344264553858
30,29,1.0,0,0,0,0,0,1.531344264553858
30,31,1.0,0,0,0,0,0,1.5317173467550964
31,30,1.0,0,0,0,0,0,1.5317173467550964
31,32,1.0,0,0,0,0,0,1.5328310972445807
32,31,1.0,0,0,0,0,0,1.5328310972445807
32,33,1.0,0,0,0,0,0,1.5305982949383972
33,32,1.0,0,0,0,0,0,1.5305982949383972
33,34,1.0,0,0,0,0,0,1.5321398572577767
34,33,1.0,0,0,0,0,0,1.5321398572577767
34,35,1.0,0,0,0,0,0,1.5316571252971345
35,34,1.0,0,0,0,0,0,1.5316571252971345
35,36,1.0,0,0,0,0,0,1.5314102224741128
36,35,1.0,0,0,0,0,0,1.5314102224741128
36,37,1.0,0,0,0,0,0,1.5322298928140632
37,36,1.0,0,0,0,0,0,1.5322298928140632
37,38,1.0,0,0,0,0,0,1.5315569601279415
38,37,1.0,0,0,0,0,0,1.5315569601279415
38,39,1.0,0,0,0,0,0,1.530995727187474
39,38,1.0,0,0,0,0,0,1.530995727187474
39,40,1.0,0,0,0,0,0,1.5313224185844132
40,39,1.0,0,0,0,0,0,1.5313224185844132
40,41,1.0,0,0,0,0,0,1.5312924950644526
41,40,1.0,0,0,0,0,0,1.5312924950644526
41,42,1.0,0,0,0,0,0,1.5307380059788698
42,41,1.0,0,0,0,0,0,1.5307380059788698
42,43,1.0,0,0,0,0,0,1.531193327019209
43,42,1.0,0,0,0,0,0,1.531193327019209
43,44,1.0,0,0,0,0,0,1.5294741592916186
44,43,1.0,0,0,0,0,0,1.5294741592916186
44,45,1.0,0,0,0,0,0,1.5207387783073183
45,44,1.0,0,0,0,0,0,1.5207387783073183
27,46,2.0,1,0,0,0,0,1.2226621678254102
46,27,2.0,1,0,0,0,0,1.2226621678254102
25,47,1.0,0,0,0,0,0,1.5351243881752321
47,25,1.0,0,0,0,0,0,1.5351243881752321
47,48,1.0,0,0,0,0,0,1.4382087885878732
48,47,1.0,0,0,0,0,0,1.4382087885878732
