atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.15940082766407826
1,6,0,2,4,0,0,0,0,2,12.011,0.09570182344250244
2,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218
3,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134
4,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724
6,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322
7,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464
8,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672
9,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
13,8,0,2,3,0,0,0,0,0,15.999,-0.45622082289612587
14,6,0,3,3,0,0,0,0,0,12.011,0.3057658044200764
15,6,0,2,4,0,0,0,0,2,12.011,0.04551623833314574
16,6,0,2,4,0,0,0,0,2,12.011,-0.04278311760933893
17,6,0,2,4,0,0,0,0,2,12.011,-0.052747822256023764
18,6,0,2,4,0,0,0,0,2,12.011,-0.053279620552177775
19,6,0,2,4,0,0,0,0,2,12.011,-0.05301065540041219
20,6,0,2,4,0,0,0,0,2,12.011,-0.04981374038120463
21,6,0,2,4,0,0,0,0,2,12.011,-0.03476064389088315
22,6,0,2,3,0,0,0,0,1,12.011,-0.08453679669726571
23,6,0,2,3,0,0,0,0,1,12.011,-0.06627598812211977
24,6,0,2,3,0,0,0,0,1,12.011,-0.06258543294688747
25,6,0,2,3,0,0,0,0,1,12.011,-0.06227972259346914
26,6,0,2,3,0,0,0,0,1,12.011,-0.06226875344407724
27,6,0,2,3,0,0,0,0,1,12.011,-0.06226875344909726
28,6,0,2,3,0,0,0,0,1,12.011,-0.062279723936318754
29,6,0,2,3,0,0,0,0,1,12.011,-0.06258560458145442
30,6,0,2,3,0,0,0,0,1,12.011,-0.06628624910308875
31,6,0,2,3,0,0,0,0,1,12.011,-0.08481099209142028
32,6,0,2,4,0,0,0,0,2,12.011,-0.03761967360357007
33,6,0,1,4,0,0,0,0,3,12.011,-0.06187482624771514
34,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973
35,6,0,2,4,0,0,0,0,2,12.011,0.13055430787945388
36,8,0,2,3,0,0,0,0,0,15.999,-0.46162819380772513
37,6,0,3,3,0,0,0,0,0,12.011,0.30541557297049465
38,6,0,2,4,0,0,0,0,2,12.011,0.045503081087020676
39,6,0,2,4,0,0,0,0,2,12.011,-0.04278333797097075
40,6,0,2,4,0,0,0,0,2,12.011,-0.052748008993202346
41,6,0,2,4,0,0,0,0,2,12.011,-0.0532905709611763
42,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236085166
43,6,0,2,4,0,0,0,0,2,12.011,-0.05330597118459915
44,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278327566
45,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278910524
46,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157
47,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536
48,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694
49,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
50,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
51,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
52,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
53,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
54,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
55,8,0,1,3,0,0,0,0,0,15.999,-0.2522976415584404
