source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520854000341617
1,0,1.0,0,0,0,0,0,1.520854000341617
1,2,1.0,0,0,0,0,0,1.5307208081944832
2,1,1.0,0,0,0,0,0,1.5307208081944832
2,3,1.0,0,0,0,0,0,1.5317492512821937
3,2,1.0,0,0,0,0,0,1.5317492512821937
3,4,1.0,0,0,0,0,0,1.5310277570823891
4,3,1.0,0,0,0,0,0,1.5310277570823891
4,5,1.0,0,0,0,4,0,1.5025447403420513
5,4,1.0,0,0,0,4,0,1.5025447403420513
5,6,2.0,0,0,2,0,0,1.3438315931858371
6,5,2.0,0,0,2,0,0,1.3438315931858371
6,7,1.0,0,0,0,3,0,1.5020811041963238
7,6,1.0,0,0,0,3,0,1.5020811041963238
7,8,1.0,0,0,0,4,0,1.5018030346053302
8,7,1.0,0,0,0,4,0,1.5018030346053302
8,9,2.0,0,0,2,0,0,1.3437182715719576
9,8,2.0,0,0,2,0,0,1.3437182715719576
9,10,1.0,0,0,0,3,0,1.503055949547864
10,9,1.0,0,0,0,3,0,1.503055949547864
10,11,1.0,0,0,0,0,0,1.5320855641540425
11,10,1.0,0,0,0,0,0,1.5320855641540425
11,12,1.0,0,0,0,0,0,1.5334067258223107
12,11,1.0,0,0,0,0,0,1.5334067258223107
12,13,1.0,0,0,0,0,0,1.5306046056016576
13,12,1.0,0,0,0,0,0,1.5306046056016576
13,14,1.0,0,0,0,0,0,1.5331057490562647
14,13,1.0,0,0,0,0,0,1.5331057490562647
14,15,1.0,0,0,0,0,0,1.5321360274099511
15,14,1.0,0,0,0,0,0,1.5321360274099511
15,16,1.0,0,0,0,0,0,1.5325426796286068
16,15,1.0,0,0,0,0,0,1.5325426796286068
16,17,1.0,0,0,0,0,0,1.5321915070800198
17,16,1.0,0,0,0,0,0,1.5321915070800198
17,18,1.0,0,0,0,0,0,1.5315609623795032
18,17,1.0,0,0,0,0,0,1.5315609623795032
18,19,1.0,0,0,0,0,0,1.531935145191541
19,18,1.0,0,0,0,0,0,1.531935145191541
19,20,1.0,0,0,0,0,0,1.5275959711791416
20,19,1.0,0,0,0,0,0,1.5275959711791416
20,21,1.0,0,0,0,0,0,1.5086715967615645
21,20,1.0,0,0,0,0,0,1.5086715967615645
21,22,2.0,1,0,0,0,0,1.2225731944009397
22,21,2.0,1,0,0,0,0,1.2225731944009397
21,23,1.0,1,0,0,0,0,1.3616412510613058
23,21,1.0,1,0,0,0,0,1.3616412510613058
23,24,1.0,0,0,0,0,0,1.4375984235264048
24,23,1.0,0,0,0,0,0,1.4375984235264048
24,25,1.0,0,0,0,0,0,1.5350272162406495
25,24,1.0,0,0,0,0,0,1.5350272162406495
25,26,1.0,0,0,0,0,0,1.5331750260404844
26,25,1.0,0,0,0,0,0,1.5331750260404844
26,27,1.0,0,0,0,0,0,1.4219117986007415
27,26,1.0,0,0,0,0,0,1.4219117986007415
27,28,1.0,0,0,0,0,0,1.6022749829953014
28,27,1.0,0,0,0,0,0,1.6022749829953014
28,29,2.0,0,0,0,0,0,1.4919279264630338
29,28,2.0,0,0,0,0,0,1.4919279264630338
28,30,1.0,0,0,0,0,0,1.6010358322021498
30,28,1.0,0,0,0,0,0,1.6010358322021498
28,31,1.0,0,0,0,0,0,1.6044024169121451
31,28,1.0,0,0,0,0,0,1.6044024169121451
31,32,1.0,0,0,0,0,0,1.4221879628293446
32,31,1.0,0,0,0,0,0,1.4221879628293446
32,33,1.0,0,0,0,0,0,1.52994428307681
33,32,1.0,0,0,0,0,0,1.52994428307681
33,34,1.0,0,0,0,0,0,1.432801102106456
34,33,1.0,0,0,0,0,0,1.432801102106456
33,35,1.0,0,0,0,0,0,1.5320545834064232
35,33,1.0,0,0,0,0,0,1.5320545834064232
35,36,1.0,0,0,0,0,0,1.4258771175903318
36,35,1.0,0,0,0,0,0,1.4258771175903318
25,37,1.0,0,0,0,0,0,1.4466853122024668
37,25,1.0,0,0,0,0,0,1.4466853122024668
37,38,1.0,1,0,0,0,0,1.3604540891362547
38,37,1.0,1,0,0,0,0,1.3604540891362547
38,39,2.0,1,0,0,0,0,1.2228089052711255
39,38,2.0,1,0,0,0,0,1.2228089052711255
38,40,1.0,0,0,0,0,0,1.5087257568593662
40,38,1.0,0,0,0,0,0,1.5087257568593662
40,41,1.0,0,0,0,0,0,1.5270620493601035
41,40,1.0,0,0,0,0,0,1.5270620493601035
41,42,1.0,0,0,0,0,0,1.5324487834176426
42,41,1.0,0,0,0,0,0,1.5324487834176426
42,43,1.0,0,0,0,0,0,1.5320799770871762
43,42,1.0,0,0,0,0,0,1.5320799770871762
43,44,1.0,0,0,0,0,0,1.5316661901409696
44,43,1.0,0,0,0,0,0,1.5316661901409696
44,45,1.0,0,0,0,0,0,1.532031607084606
45,44,1.0,0,0,0,0,0,1.532031607084606
45,46,1.0,0,0,0,0,0,1.532099031089893
46,45,1.0,0,0,0,0,0,1.532099031089893
46,47,1.0,0,0,0,0,0,1.5314694000008626
47,46,1.0,0,0,0,0,0,1.5314694000008626
47,48,1.0,0,0,0,0,0,1.5323127583488194
48,47,1.0,0,0,0,0,0,1.5323127583488194
48,49,1.0,0,0,0,0,0,1.5318114011204254
49,48,1.0,0,0,0,0,0,1.5318114011204254
49,50,1.0,0,0,0,0,0,1.531998963045301
50,49,1.0,0,0,0,0,0,1.531998963045301
50,51,1.0,0,0,0,0,0,1.5292043919370348
51,50,1.0,0,0,0,0,0,1.5292043919370348
51,52,1.0,0,0,0,0,0,1.5210529333834448
52,51,1.0,0,0,0,0,0,1.5210529333834448
