source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5225546150376554
1,0,1.0,0,0,0,0,0,1.5225546150376554
1,2,1.0,0,0,0,0,0,1.530261344601278
2,1,1.0,0,0,0,0,0,1.530261344601278
2,3,1.0,0,0,0,4,0,1.5029896664125455
3,2,1.0,0,0,0,4,0,1.5029896664125455
3,4,2.0,0,0,2,0,0,1.3429225225742372
4,3,2.0,0,0,2,0,0,1.3429225225742372
4,5,1.0,0,0,0,3,0,1.502464366377281
5,4,1.0,0,0,0,3,0,1.502464366377281
5,6,1.0,0,0,0,0,0,1.5310451244226524
6,5,1.0,0,0,0,0,0,1.5310451244226524
6,7,1.0,0,0,0,0,0,1.5313946393292537
7,6,1.0,0,0,0,0,0,1.5313946393292537
7,8,1.0,0,0,0,0,0,1.5320702747637078
8,7,1.0,0,0,0,0,0,1.5320702747637078
8,9,1.0,0,0,0,0,0,1.5322535407378717
9,8,1.0,0,0,0,0,0,1.5322535407378717
9,10,1.0,0,0,0,0,0,1.5312313587479323
10,9,1.0,0,0,0,0,0,1.5312313587479323
10,11,1.0,0,0,0,0,0,1.5335526176013075
11,10,1.0,0,0,0,0,0,1.5335526176013075
11,12,1.0,0,0,0,0,0,1.5324840032354976
12,11,1.0,0,0,0,0,0,1.5324840032354976
12,13,1.0,0,0,0,4,0,1.5032520297097132
13,12,1.0,0,0,0,4,0,1.5032520297097132
13,14,2.0,0,0,3,0,0,1.343852649791799
14,13,2.0,0,0,3,0,0,1.343852649791799
14,15,1.0,0,0,0,4,0,1.5084995338477107
15,14,1.0,0,0,0,4,0,1.5084995338477107
15,16,1.0,0,0,0,0,0,1.4346702577498291
16,15,1.0,0,0,0,0,0,1.4346702577498291
15,17,1.0,0,0,0,0,0,1.5553752794990032
17,15,1.0,0,0,0,0,0,1.5553752794990032
17,18,1.0,0,0,0,0,0,1.5405703046479111
18,17,1.0,0,0,0,0,0,1.5405703046479111
18,19,1.0,0,0,0,0,0,1.419921783081884
19,18,1.0,0,0,0,0,0,1.419921783081884
19,20,1.0,0,0,0,0,0,1.61209508280679
20,19,1.0,0,0,0,0,0,1.61209508280679
20,21,2.0,0,0,0,0,0,1.50603125889025
21,20,2.0,0,0,0,0,0,1.50603125889025
20,22,1.0,0,0,0,0,0,1.5044794770356356
22,20,1.0,0,0,0,0,0,1.5044794770356356
20,23,1.0,0,0,0,0,0,1.6275794850920537
23,20,1.0,0,0,0,0,0,1.6275794850920537
23,24,1.0,0,0,0,0,0,1.4158684076244805
24,23,1.0,0,0,0,0,0,1.4158684076244805
24,25,1.0,0,0,0,0,0,1.538860840197014
25,24,1.0,0,0,0,0,0,1.538860840197014
25,26,1.0,0,0,0,0,0,1.5590277097928094
26,25,1.0,0,0,0,0,0,1.5590277097928094
26,27,1.0,0,0,0,0,0,1.5140681490103418
27,26,1.0,0,0,0,0,0,1.5140681490103418
26,28,1.0,0,0,0,0,0,1.5335625191869204
28,26,1.0,0,0,0,0,0,1.5335625191869204
26,29,1.0,0,0,0,0,0,1.5145559855306656
29,26,1.0,0,0,0,0,0,1.5145559855306656
17,30,1.0,0,0,0,0,0,1.473160667434852
30,17,1.0,0,0,0,0,0,1.473160667434852
30,31,1.0,1,0,0,0,0,1.376019787483715
31,30,1.0,1,0,0,0,0,1.376019787483715
31,32,2.0,1,0,0,0,0,1.22513618756907
32,31,2.0,1,0,0,0,0,1.22513618756907
31,33,1.0,0,0,0,0,0,1.5189233657049463
33,31,1.0,0,0,0,0,0,1.5189233657049463
33,34,1.0,0,0,0,0,0,1.5268718306279554
34,33,1.0,0,0,0,0,0,1.5268718306279554
34,35,1.0,0,0,0,0,0,1.532147960652317
35,34,1.0,0,0,0,0,0,1.532147960652317
35,36,1.0,0,0,0,0,0,1.5323448819717662
36,35,1.0,0,0,0,0,0,1.5323448819717662
36,37,1.0,0,0,0,0,0,1.5329419417895918
37,36,1.0,0,0,0,0,0,1.5329419417895918
37,38,1.0,0,0,0,0,0,1.5330135584445168
38,37,1.0,0,0,0,0,0,1.5330135584445168
38,39,1.0,0,0,0,0,0,1.5315678599645461
39,38,1.0,0,0,0,0,0,1.5315678599645461
39,40,1.0,0,0,0,0,0,1.5307804254320807
40,39,1.0,0,0,0,0,0,1.5307804254320807
40,41,1.0,0,0,0,0,0,1.532026689043344
41,40,1.0,0,0,0,0,0,1.532026689043344
41,42,1.0,0,0,0,0,0,1.5326450344840157
42,41,1.0,0,0,0,0,0,1.5326450344840157
42,43,1.0,0,0,0,0,0,1.531699287748232
43,42,1.0,0,0,0,0,0,1.531699287748232
43,44,1.0,0,0,0,0,0,1.5327425036424716
44,43,1.0,0,0,0,0,0,1.5327425036424716
44,45,1.0,0,0,0,0,0,1.531536715196806
45,44,1.0,0,0,0,0,0,1.531536715196806
45,46,1.0,0,0,0,4,0,1.5027076011357043
46,45,1.0,0,0,0,4,0,1.5027076011357043
46,47,2.0,0,0,2,0,0,1.3428943458740696
47,46,2.0,0,0,2,0,0,1.3428943458740696
