source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5207904106484555
1,0,1.0,0,0,0,0,0,1.5207904106484555
1,2,1.0,0,0,0,0,0,1.5294825472974563
2,1,1.0,0,0,0,0,0,1.5294825472974563
2,3,1.0,0,0,0,0,0,1.5316931196048293
3,2,1.0,0,0,0,0,0,1.5316931196048293
3,4,1.0,0,0,0,0,0,1.530873587672216
4,3,1.0,0,0,0,0,0,1.530873587672216
4,5,1.0,0,0,0,4,0,1.502714068652097
5,4,1.0,0,0,0,4,0,1.502714068652097
5,6,2.0,0,0,2,0,0,1.343524368109078
6,5,2.0,0,0,2,0,0,1.343524368109078
6,7,1.0,0,0,0,3,0,1.5020213196733605
7,6,1.0,0,0,0,3,0,1.5020213196733605
7,8,1.0,0,0,0,4,0,1.5019445986794167
8,7,1.0,0,0,0,4,0,1.5019445986794167
8,9,2.0,0,0,2,0,0,1.3443424608158743
9,8,2.0,0,0,2,0,0,1.3443424608158743
9,10,1.0,0,0,0,3,0,1.501464755191399
10,9,1.0,0,0,0,3,0,1.501464755191399
10,11,1.0,0,0,0,4,0,1.5022463529399606
11,10,1.0,0,0,0,4,0,1.5022463529399606
11,12,2.0,0,0,2,0,0,1.3445017915817818
12,11,2.0,0,0,2,0,0,1.3445017915817818
12,13,1.0,0,0,0,3,0,1.5016833740029252
13,12,1.0,0,0,0,3,0,1.5016833740029252
13,14,1.0,0,0,0,4,0,1.502647788062776
14,13,1.0,0,0,0,4,0,1.502647788062776
14,15,2.0,0,0,2,0,0,1.3437893183339082
15,14,2.0,0,0,2,0,0,1.3437893183339082
15,16,1.0,0,0,0,3,0,1.5024695842383387
16,15,1.0,0,0,0,3,0,1.5024695842383387
16,17,1.0,0,0,0,0,0,1.531973738782122
17,16,1.0,0,0,0,0,0,1.531973738782122
17,18,1.0,0,0,0,0,0,1.5274890589459793
18,17,1.0,0,0,0,0,0,1.5274890589459793
18,19,1.0,0,0,0,0,0,1.5084977465250688
19,18,1.0,0,0,0,0,0,1.5084977465250688
19,20,2.0,1,0,0,0,0,1.222558425424528
20,19,2.0,1,0,0,0,0,1.222558425424528
19,21,1.0,1,0,0,0,0,1.3606956902575198
21,19,1.0,1,0,0,0,0,1.3606956902575198
21,22,1.0,0,0,0,0,0,1.4475969382936003
22,21,1.0,0,0,0,0,0,1.4475969382936003
22,23,1.0,0,0,0,0,0,1.5355159188840308
23,22,1.0,0,0,0,0,0,1.5355159188840308
23,24,1.0,0,0,0,0,0,1.439204783878316
24,23,1.0,0,0,0,0,0,1.439204783878316
24,25,1.0,1,0,0,0,0,1.3598350920707403
25,24,1.0,1,0,0,0,0,1.3598350920707403
25,26,2.0,1,0,0,0,0,1.22356473203553
26,25,2.0,1,0,0,0,0,1.22356473203553
25,27,1.0,0,0,0,0,0,1.509571438778743
27,25,1.0,0,0,0,0,0,1.509571438778743
27,28,1.0,0,0,0,0,0,1.5279214323908916
28,27,1.0,0,0,0,0,0,1.5279214323908916
28,29,1.0,0,0,0,0,0,1.5320147468299274
29,28,1.0,0,0,0,0,0,1.5320147468299274
29,30,1.0,0,0,0,0,0,1.5303929391154845
30,29,1.0,0,0,0,0,0,1.5303929391154845
30,31,1.0,0,0,0,0,0,1.5317151711758827
31,30,1.0,0,0,0,0,0,1.5317151711758827
31,32,1.0,0,0,0,0,0,1.5314059689944357
32,31,1.0,0,0,0,0,0,1.5314059689944357
32,33,1.0,0,0,0,0,0,1.5307195526364847
33,32,1.0,0,0,0,0,0,1.5307195526364847
33,34,1.0,0,0,0,0,0,1.5312228006047408
34,33,1.0,0,0,0,0,0,1.5312228006047408
34,35,1.0,0,0,0,0,0,1.5310865718280484
35,34,1.0,0,0,0,0,0,1.5310865718280484
35,36,1.0,0,0,0,0,0,1.5313392323450448
36,35,1.0,0,0,0,0,0,1.5313392323450448
36,37,1.0,0,0,0,0,0,1.5309944443075647
37,36,1.0,0,0,0,0,0,1.5309944443075647
37,38,1.0,0,0,0,0,0,1.5311647665445396
38,37,1.0,0,0,0,0,0,1.5311647665445396
38,39,1.0,0,0,0,0,0,1.5314214185811057
39,38,1.0,0,0,0,0,0,1.5314214185811057
39,40,1.0,0,0,0,0,0,1.529419955170567
40,39,1.0,0,0,0,0,0,1.529419955170567
40,41,1.0,0,0,0,0,0,1.520561522707919
41,40,1.0,0,0,0,0,0,1.520561522707919
22,42,1.0,0,0,0,0,0,1.5336251652412125
42,22,1.0,0,0,0,0,0,1.5336251652412125
42,43,1.0,0,0,0,0,0,1.4191826526773421
43,42,1.0,0,0,0,0,0,1.4191826526773421
43,44,1.0,0,0,0,0,0,1.6037185607668067
44,43,1.0,0,0,0,0,0,1.6037185607668067
44,45,2.0,0,0,0,0,0,1.4919517320528002
45,44,2.0,0,0,0,0,0,1.4919517320528002
44,46,1.0,0,0,0,0,0,1.6005919957302734
46,44,1.0,0,0,0,0,0,1.6005919957302734
44,47,1.0,0,0,0,0,0,1.6035241581959627
47,44,1.0,0,0,0,0,0,1.6035241581959627
47,48,1.0,0,0,0,0,0,1.421891918876304
48,47,1.0,0,0,0,0,0,1.421891918876304
48,49,1.0,0,0,0,0,0,1.5302248622299173
49,48,1.0,0,0,0,0,0,1.5302248622299173
49,50,1.0,0,0,0,0,0,1.4356185523553344
50,49,1.0,0,0,0,0,0,1.4356185523553344
49,51,1.0,0,0,0,0,0,1.5295389847040002
51,49,1.0,0,0,0,0,0,1.5295389847040002
51,52,1.0,0,0,0,0,0,1.421190881870668
52,51,1.0,0,0,0,0,0,1.421190881870668
52,53,1.0,0,0,0,0,0,1.6038172022176862
53,52,1.0,0,0,0,0,0,1.6038172022176862
53,54,2.0,0,0,0,0,0,1.4916147786379566
54,53,2.0,0,0,0,0,0,1.4916147786379566
53,55,1.0,0,0,0,0,0,1.6004607952186887
55,53,1.0,0,0,0,0,0,1.6004607952186887
53,56,1.0,0,0,0,0,0,1.6033759599840167
56,53,1.0,0,0,0,0,0,1.6033759599840167
56,57,1.0,0,0,0,0,0,1.4198905829153907
57,56,1.0,0,0,0,0,0,1.4198905829153907
57,58,1.0,0,0,0,0,0,1.5352728264163873
58,57,1.0,0,0,0,0,0,1.5352728264163873
58,59,1.0,0,0,0,0,0,1.5360063966886277
59,58,1.0,0,0,0,0,0,1.5360063966886277
59,60,1.0,0,0,0,0,0,1.4377465397526152
60,59,1.0,0,0,0,0,0,1.4377465397526152
60,61,1.0,1,0,0,0,0,1.359391908900442
61,60,1.0,1,0,0,0,0,1.359391908900442
61,62,2.0,1,0,0,0,0,1.22365555191722
62,61,2.0,1,0,0,0,0,1.22365555191722
61,63,1.0,0,0,0,0,0,1.5098063367770047
63,61,1.0,0,0,0,0,0,1.5098063367770047
63,64,1.0,0,0,0,0,0,1.526725277135847
