source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5439964480309643
1,0,1.0,0,0,0,0,0,1.5439964480309643
1,2,1.0,0,0,0,0,0,1.4312347648989843
2,1,1.0,0,0,0,0,0,1.4312347648989843
2,3,1.0,0,0,0,0,0,1.4330183020656786
3,2,1.0,0,0,0,0,0,1.4330183020656786
3,4,1.0,0,1,0,0,0,1.429852476971331
4,3,1.0,0,1,0,0,0,1.429852476971331
4,5,1.0,0,1,0,0,0,1.4347637263975976
5,4,1.0,0,1,0,0,0,1.4347637263975976
5,6,1.0,0,0,0,0,0,1.5343225439157742
6,5,1.0,0,0,0,0,0,1.5343225439157742
6,7,1.0,0,0,0,0,0,1.4276188417954836
7,6,1.0,0,0,0,0,0,1.4276188417954836
5,8,1.0,0,1,0,0,0,1.5456447939599627
8,5,1.0,0,1,0,0,0,1.5456447939599627
8,9,1.0,0,0,0,0,0,1.436996412394815
9,8,1.0,0,0,0,0,0,1.436996412394815
8,10,1.0,0,1,0,0,0,1.5382294323937782
10,8,1.0,0,1,0,0,0,1.5382294323937782
10,11,1.0,0,0,0,0,0,1.4388083207140023
11,10,1.0,0,0,0,0,0,1.4388083207140023
10,12,1.0,0,1,0,0,0,1.5329176619666134
12,10,1.0,0,1,0,0,0,1.5329176619666134
12,13,1.0,0,0,0,0,0,1.4367771138744632
13,12,1.0,0,0,0,0,0,1.4367771138744632
0,14,1.0,0,0,0,0,0,1.4737917485581256
14,0,1.0,0,0,0,0,0,1.4737917485581256
14,15,1.0,1,0,0,0,0,1.3746732618753934
15,14,1.0,1,0,0,0,0,1.3746732618753934
15,16,1.0,0,0,0,0,0,1.5159425695530173
16,15,1.0,0,0,0,0,0,1.5159425695530173
16,17,1.0,0,0,0,0,0,1.5282723356100507
17,16,1.0,0,0,0,0,0,1.5282723356100507
17,18,1.0,0,0,0,0,0,1.532960684219066
18,17,1.0,0,0,0,0,0,1.532960684219066
18,19,1.0,0,0,0,0,0,1.5315081542588032
19,18,1.0,0,0,0,0,0,1.5315081542588032
19,20,1.0,0,0,0,0,0,1.5311315130373322
20,19,1.0,0,0,0,0,0,1.5311315130373322
20,21,1.0,0,0,0,0,0,1.5320549623545123
21,20,1.0,0,0,0,0,0,1.5320549623545123
21,22,1.0,0,0,0,0,0,1.5317147299765577
22,21,1.0,0,0,0,0,0,1.5317147299765577
22,23,1.0,0,0,0,0,0,1.53179393275859
23,22,1.0,0,0,0,0,0,1.53179393275859
23,24,1.0,0,0,0,0,0,1.532119777055204
24,23,1.0,0,0,0,0,0,1.532119777055204
24,25,1.0,0,0,0,0,0,1.5312870452503016
25,24,1.0,0,0,0,0,0,1.5312870452503016
25,26,1.0,0,0,0,0,0,1.5321684298746097
26,25,1.0,0,0,0,0,0,1.5321684298746097
26,27,1.0,0,0,0,0,0,1.5316387694646376
27,26,1.0,0,0,0,0,0,1.5316387694646376
27,28,1.0,0,0,0,0,0,1.5301441487182734
28,27,1.0,0,0,0,0,0,1.5301441487182734
28,29,1.0,0,0,0,0,0,1.5331851242512116
29,28,1.0,0,0,0,0,0,1.5331851242512116
29,30,1.0,0,0,0,0,0,1.533241663263302
30,29,1.0,0,0,0,0,0,1.533241663263302
30,31,1.0,0,0,0,4,0,1.5024254609872432
31,30,1.0,0,0,0,4,0,1.5024254609872432
31,32,2.0,0,0,2,0,0,1.3431609934103554
32,31,2.0,0,0,2,0,0,1.3431609934103554
32,33,1.0,0,0,0,3,0,1.5029111331863498
33,32,1.0,0,0,0,3,0,1.5029111331863498
33,34,1.0,0,0,0,0,0,1.5321255683755415
34,33,1.0,0,0,0,0,0,1.5321255683755415
34,35,1.0,0,0,0,0,0,1.5324889975004294
35,34,1.0,0,0,0,0,0,1.5324889975004294
35,36,1.0,0,0,0,0,0,1.530798992681842
36,35,1.0,0,0,0,0,0,1.530798992681842
36,37,1.0,0,0,0,0,0,1.5310474739410591
37,36,1.0,0,0,0,0,0,1.5310474739410591
37,38,1.0,0,0,0,0,0,1.5309660576792432
38,37,1.0,0,0,0,0,0,1.5309660576792432
38,39,1.0,0,0,0,0,0,1.52979783268898
39,38,1.0,0,0,0,0,0,1.52979783268898
39,40,1.0,0,0,0,0,0,1.5206277411756606
40,39,1.0,0,0,0,0,0,1.5206277411756606
15,41,2.0,1,0,0,0,0,1.2265236798389414
41,15,2.0,1,0,0,0,0,1.2265236798389414
0,42,1.0,0,0,0,0,0,1.5577252264241803
42,0,1.0,0,0,0,0,0,1.5577252264241803
42,43,1.0,0,0,0,0,0,1.4313924293885019
