atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278243,1.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057600655,0.9473684210526315
2,6,0,2,4,0,0,0,0,2,12.011,-0.05356864125486327,0.8947368421052632
3,6,0,2,4,0,0,0,0,2,12.011,-0.053315847237370526,0.8421052631578947
4,6,0,2,4,0,0,0,0,2,12.011,-0.053295196138035676,0.7894736842105263
5,6,0,2,4,0,0,0,0,2,12.011,-0.053011064901440766,0.7368421052631579
6,6,0,2,4,0,0,0,0,2,12.011,-0.049825017035991674,0.6842105263157895
7,6,0,2,4,0,0,0,0,2,12.011,-0.0350734673904721,0.631578947368421
8,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.5789473684210527
9,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.5263157894736842
10,6,0,2,4,0,0,0,0,2,12.011,-0.03507346739045195,0.47368421052631576
11,6,0,2,4,0,0,0,0,2,12.011,-0.0498250170248967,0.42105263157894735
12,6,0,2,4,0,0,0,0,2,12.011,-0.05301106192020358,0.3684210526315789
13,6,0,2,4,0,0,0,0,2,12.011,-0.05329480343824167,0.3157894736842105
14,6,0,2,4,0,0,0,0,2,12.011,-0.053290386593727083,0.2631578947368421
15,6,0,2,4,0,0,0,0,2,12.011,-0.05274809556864257,0.21052631578947367
16,6,0,2,4,0,0,0,0,2,12.011,-0.04278907208814712,0.15789473684210525
17,6,0,2,4,0,0,0,0,2,12.011,0.04532375591773425,0.10526315789473684
18,6,0,3,3,0,0,0,0,0,12.011,0.3028395565321837,0.05263157894736842
19,8,0,1,3,0,0,0,0,0,15.999,-0.25248586920066685,0.0
20,8,0,1,3,0,0,0,0,1,15.999,-0.481230389785217,0.10526315789473684
