atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,2,4,0,0,0,0,2,12.011,0.13164834359098515
1,8,0,2,3,0,0,0,0,0,15.999,-0.46157989624349244
2,6,0,3,3,0,0,0,0,0,12.011,0.3054163295116133
3,8,0,1,3,0,0,0,0,0,15.999,-0.25229763481472695
4,6,0,2,4,0,0,0,0,2,12.011,0.04550308796250133
5,6,0,2,4,0,0,0,0,2,12.011,-0.04278333932055997
6,6,0,2,4,0,0,0,0,2,12.011,-0.05274818126673011
7,6,0,2,4,0,0,0,0,2,12.011,-0.05330063043983017
8,6,0,2,4,0,0,0,0,2,12.011,-0.05356842229637436
9,6,0,2,4,0,0,0,0,2,12.011,-0.05617166545881768
10,6,0,1,4,0,0,0,0,3,12.011,-0.06538238321695945
11,6,0,3,4,0,0,2,1,1,12.011,0.16958373846482047
12,8,0,2,3,0,0,0,0,0,15.999,-0.4550472351525009
13,6,0,3,3,0,0,0,0,0,12.011,0.3058071716549481
14,6,0,2,4,0,0,0,0,2,12.011,0.04551703973712223
15,6,0,2,4,0,0,0,0,2,12.011,-0.04278311242928985
16,6,0,2,4,0,0,0,0,2,12.011,-0.05274800726817674
17,6,0,2,4,0,0,0,0,2,12.011,-0.05329057095474578
18,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236083999
19,6,0,2,4,0,0,0,0,2,12.011,-0.053305971184599135
20,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278327566
21,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278910524
22,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157
23,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157
24,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911572
25,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536
26,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694
27,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
28,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
29,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
30,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
31,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
32,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
33,8,0,1,3,0,0,0,0,0,15.999,-0.2522835430972595
34,6,0,2,4,0,0,0,0,2,12.011,0.13164834359098515
35,8,0,2,3,0,0,0,0,0,15.999,-0.46157989624349244
36,6,0,3,3,0,0,0,0,0,12.011,0.30541632951162345
37,6,0,2,4,0,0,0,0,2,12.011,0.045503087967776974
38,6,0,2,4,0,0,0,0,2,12.011,-0.04278333794364372
39,6,0,2,4,0,0,0,0,2,12.011,-0.052748008993151956
40,6,0,2,4,0,0,0,0,2,12.011,-0.05329057096118591
41,6,0,2,4,0,0,0,0,2,12.011,-0.053305752366105345
42,6,0,2,4,0,0,0,0,2,12.011,-0.053305972561318096
43,6,0,2,4,0,0,0,0,2,12.011,-0.0533061450573038
44,6,0,2,4,0,0,0,0,2,12.011,-0.053316032269844583
45,6,0,2,4,0,0,0,0,2,12.011,-0.0535686427246432
46,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
47,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
48,8,0,1,3,0,0,0,0,0,15.999,-0.2522976348147269
