source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5298428986648542
1,0,1.0,0,0,0,0,0,1.5298428986648542
1,2,1.0,0,0,0,0,0,1.4232422305579653
2,1,1.0,0,0,0,0,0,1.4232422305579653
2,3,1.0,0,0,0,0,0,1.6034468518835925
3,2,1.0,0,0,0,0,0,1.6034468518835925
3,4,2.0,0,0,0,0,0,1.4924410640571646
4,3,2.0,0,0,0,0,0,1.4924410640571646
3,5,1.0,0,0,0,0,0,1.6018264161647
5,3,1.0,0,0,0,0,0,1.6018264161647
3,6,1.0,0,0,0,0,0,1.6031502029080837
6,3,1.0,0,0,0,0,0,1.6031502029080837
6,7,1.0,0,0,0,0,0,1.4195236863374585
7,6,1.0,0,0,0,0,0,1.4195236863374585
7,8,1.0,0,0,0,0,0,1.530715475000711
8,7,1.0,0,0,0,0,0,1.530715475000711
8,9,1.0,0,0,0,0,0,1.4659618094729525
9,8,1.0,0,0,0,0,0,1.4659618094729525
0,10,1.0,0,0,0,0,0,1.4357734014996792
10,0,1.0,0,0,0,0,0,1.4357734014996792
0,11,1.0,0,0,0,0,0,1.5344114725670839
11,0,1.0,0,0,0,0,0,1.5344114725670839
11,12,1.0,0,0,0,0,0,1.4307894732384165
12,11,1.0,0,0,0,0,0,1.4307894732384165
12,13,1.0,0,0,0,0,0,1.426683086065269
13,12,1.0,0,0,0,0,0,1.426683086065269
13,14,1.0,0,0,0,0,0,1.5275660925036598
14,13,1.0,0,0,0,0,0,1.5275660925036598
14,15,1.0,0,0,0,0,0,1.532182921759009
15,14,1.0,0,0,0,0,0,1.532182921759009
15,16,1.0,0,0,0,0,0,1.5311675387490962
16,15,1.0,0,0,0,0,0,1.5311675387490962
16,17,1.0,0,0,0,0,0,1.5312788403333601
17,16,1.0,0,0,0,0,0,1.5312788403333601
17,18,1.0,0,0,0,0,0,1.5315465166663857
18,17,1.0,0,0,0,0,0,1.5315465166663857
18,19,1.0,0,0,0,0,0,1.5335050291969465
19,18,1.0,0,0,0,0,0,1.5335050291969465
19,20,1.0,0,0,0,0,0,1.531847511718466
20,19,1.0,0,0,0,0,0,1.531847511718466
20,21,1.0,0,0,0,4,0,1.503250433091943
21,20,1.0,0,0,0,4,0,1.503250433091943
21,22,2.0,0,0,2,0,0,1.342972313280177
22,21,2.0,0,0,2,0,0,1.342972313280177
22,23,1.0,0,0,0,3,0,1.5028799294348818
23,22,1.0,0,0,0,3,0,1.5028799294348818
23,24,1.0,0,0,0,0,0,1.5323963618716419
24,23,1.0,0,0,0,0,0,1.5323963618716419
24,25,1.0,0,0,0,0,0,1.5331815802759974
25,24,1.0,0,0,0,0,0,1.5331815802759974
25,26,1.0,0,0,0,0,0,1.5313831151528552
26,25,1.0,0,0,0,0,0,1.5313831151528552
26,27,1.0,0,0,0,0,0,1.5310327108416804
27,26,1.0,0,0,0,0,0,1.5310327108416804
27,28,1.0,0,0,0,0,0,1.53235413458105
28,27,1.0,0,0,0,0,0,1.53235413458105
28,29,1.0,0,0,0,0,0,1.5301754442032527
29,28,1.0,0,0,0,0,0,1.5301754442032527
29,30,1.0,0,0,0,0,0,1.52069891636302
30,29,1.0,0,0,0,0,0,1.52069891636302
