source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5203990049465999
1,0,1.0,0,0,0,0,0,1.5203990049465999
1,2,1.0,0,0,0,0,0,1.5298814830312277
2,1,1.0,0,0,0,0,0,1.5298814830312277
2,3,1.0,0,0,0,0,0,1.5317311040020791
3,2,1.0,0,0,0,0,0,1.5317311040020791
3,4,1.0,0,0,0,0,0,1.5311730635673906
4,3,1.0,0,0,0,0,0,1.5311730635673906
4,5,1.0,0,0,0,0,0,1.5313735628342515
5,4,1.0,0,0,0,0,0,1.5313735628342515
5,6,1.0,0,0,0,0,0,1.5310785382793377
6,5,1.0,0,0,0,0,0,1.5310785382793377
6,7,1.0,0,0,0,0,0,1.531644400203382
7,6,1.0,0,0,0,0,0,1.531644400203382
7,8,1.0,0,0,0,0,0,1.531065283513522
8,7,1.0,0,0,0,0,0,1.531065283513522
8,9,1.0,0,0,0,0,0,1.5307024917786936
9,8,1.0,0,0,0,0,0,1.5307024917786936
9,10,1.0,0,0,0,0,0,1.5313806580187506
10,9,1.0,0,0,0,0,0,1.5313806580187506
10,11,1.0,0,0,0,0,0,1.5316618335568668
11,10,1.0,0,0,0,0,0,1.5316618335568668
11,12,1.0,0,0,0,0,0,1.531234511434479
12,11,1.0,0,0,0,0,0,1.531234511434479
12,13,1.0,0,0,0,0,0,1.5315881445541746
13,12,1.0,0,0,0,0,0,1.5315881445541746
13,14,1.0,0,0,0,0,0,1.531663458989259
14,13,1.0,0,0,0,0,0,1.531663458989259
14,15,1.0,0,0,0,0,0,1.5317030959707298
15,14,1.0,0,0,0,0,0,1.5317030959707298
15,16,1.0,0,0,0,0,0,1.5282311018377996
16,15,1.0,0,0,0,0,0,1.5282311018377996
16,17,1.0,0,0,0,0,0,1.5108949786861374
17,16,1.0,0,0,0,0,0,1.5108949786861374
17,18,2.0,1,0,0,0,0,1.2239938786941997
18,17,2.0,1,0,0,0,0,1.2239938786941997
17,19,1.0,1,0,0,0,0,1.358067576786847
19,17,1.0,1,0,0,0,0,1.358067576786847
19,20,1.0,0,0,0,0,0,1.4468250700804195
20,19,1.0,0,0,0,0,0,1.4468250700804195
20,21,1.0,0,0,0,0,0,1.5350157968478437
21,20,1.0,0,0,0,0,0,1.5350157968478437
21,22,1.0,0,0,0,0,0,1.4393980971802531
22,21,1.0,0,0,0,0,0,1.4393980971802531
22,23,1.0,1,0,0,0,0,1.3590716770944007
23,22,1.0,1,0,0,0,0,1.3590716770944007
23,24,2.0,1,0,0,0,0,1.2244259293815019
24,23,2.0,1,0,0,0,0,1.2244259293815019
23,25,1.0,0,0,0,0,0,1.509856374862415
25,23,1.0,0,0,0,0,0,1.509856374862415
25,26,1.0,0,0,0,0,0,1.5267816150510796
26,25,1.0,0,0,0,0,0,1.5267816150510796
26,27,1.0,0,0,0,0,0,1.5315660097530437
27,26,1.0,0,0,0,0,0,1.5315660097530437
27,28,1.0,0,0,0,0,0,1.5311205844158633
28,27,1.0,0,0,0,0,0,1.5311205844158633
28,29,1.0,0,0,0,0,0,1.531910890687469
29,28,1.0,0,0,0,0,0,1.531910890687469
29,30,1.0,0,0,0,0,0,1.5319425942899272
30,29,1.0,0,0,0,0,0,1.5319425942899272
30,31,1.0,0,0,0,0,0,1.5318566725521547
31,30,1.0,0,0,0,0,0,1.5318566725521547
31,32,1.0,0,0,0,0,0,1.5318041099846986
32,31,1.0,0,0,0,0,0,1.5318041099846986
32,33,1.0,0,0,0,0,0,1.5313834769659669
33,32,1.0,0,0,0,0,0,1.5313834769659669
33,34,1.0,0,0,0,0,0,1.5318561317430544
34,33,1.0,0,0,0,0,0,1.5318561317430544
34,35,1.0,0,0,0,0,0,1.5310854355087704
35,34,1.0,0,0,0,0,0,1.5310854355087704
35,36,1.0,0,0,0,0,0,1.5319626062250769
36,35,1.0,0,0,0,0,0,1.5319626062250769
36,37,1.0,0,0,0,0,0,1.530892934520279
37,36,1.0,0,0,0,0,0,1.530892934520279
37,38,1.0,0,0,0,0,0,1.5295230192423652
38,37,1.0,0,0,0,0,0,1.5295230192423652
38,39,1.0,0,0,0,0,0,1.5203205838393083
39,38,1.0,0,0,0,0,0,1.5203205838393083
20,40,1.0,0,0,0,0,0,1.5323143235029335
40,20,1.0,0,0,0,0,0,1.5323143235029335
40,41,1.0,0,0,0,0,0,1.4177387359974825
41,40,1.0,0,0,0,0,0,1.4177387359974825
41,42,1.0,0,0,0,0,0,1.6173889558820687
42,41,1.0,0,0,0,0,0,1.6173889558820687
42,43,2.0,0,0,0,0,0,1.5051326698550025
43,42,2.0,0,0,0,0,0,1.5051326698550025
42,44,1.0,0,0,0,0,0,1.5037106545746919
44,42,1.0,0,0,0,0,0,1.5037106545746919
42,45,1.0,0,0,0,0,0,1.6260652096907844
45,42,1.0,0,0,0,0,0,1.6260652096907844
45,46,1.0,0,0,0,0,0,1.4152344973197013
46,45,1.0,0,0,0,0,0,1.4152344973197013
46,47,1.0,0,0,0,0,0,1.5327565894024937
47,46,1.0,0,0,0,0,0,1.5327565894024937
47,48,1.0,0,0,0,0,0,1.5512920480631376
48,47,1.0,0,0,0,0,0,1.5512920480631376
48,49,1.0,0,0,0,0,0,1.5181489353240418
49,48,1.0,0,0,0,0,0,1.5181489353240418
48,50,1.0,0,0,0,0,0,1.5214650123144946
50,48,1.0,0,0,0,0,0,1.5214650123144946
48,51,1.0,0,0,0,0,0,1.5240891622220771
51,48,1.0,0,0,0,0,0,1.5240891622220771
