source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5199777417989617
1,0,1.0,0,0,0,0,0,1.5199777417989617
1,2,1.0,0,0,0,0,0,1.5303709172618498
2,1,1.0,0,0,0,0,0,1.5303709172618498
2,3,1.0,0,0,0,0,0,1.5320776364110407
3,2,1.0,0,0,0,0,0,1.5320776364110407
3,4,1.0,0,0,0,0,0,1.5310636917905192
4,3,1.0,0,0,0,0,0,1.5310636917905192
4,5,1.0,0,0,0,4,0,1.50284894352024
5,4,1.0,0,0,0,4,0,1.50284894352024
5,6,2.0,0,0,2,0,0,1.3435431071554418
6,5,2.0,0,0,2,0,0,1.3435431071554418
6,7,1.0,0,0,0,3,0,1.5027989535721944
7,6,1.0,0,0,0,3,0,1.5027989535721944
7,8,1.0,0,0,0,4,0,1.5023206410315753
8,7,1.0,0,0,0,4,0,1.5023206410315753
8,9,2.0,0,0,2,0,0,1.3437789416890489
9,8,2.0,0,0,2,0,0,1.3437789416890489
9,10,1.0,0,0,0,3,0,1.5029798575647115
10,9,1.0,0,0,0,3,0,1.5029798575647115
10,11,1.0,0,0,0,0,0,1.5314442490884563
11,10,1.0,0,0,0,0,0,1.5314442490884563
11,12,1.0,0,0,0,0,0,1.5310661335364313
12,11,1.0,0,0,0,0,0,1.5310661335364313
12,13,1.0,0,0,0,0,0,1.5307670979965295
13,12,1.0,0,0,0,0,0,1.5307670979965295
13,14,1.0,0,0,0,0,0,1.5304895424008005
14,13,1.0,0,0,0,0,0,1.5304895424008005
14,15,1.0,0,0,0,0,0,1.530463934777463
15,14,1.0,0,0,0,0,0,1.530463934777463
15,16,1.0,0,0,0,0,0,1.5276873842126046
16,15,1.0,0,0,0,0,0,1.5276873842126046
16,17,1.0,0,0,0,0,0,1.5099443571314044
17,16,1.0,0,0,0,0,0,1.5099443571314044
17,18,2.0,1,0,0,0,0,1.2230970062308304
18,17,2.0,1,0,0,0,0,1.2230970062308304
17,19,1.0,1,0,0,0,0,1.3608505694147937
19,17,1.0,1,0,0,0,0,1.3608505694147937
19,20,1.0,0,0,0,0,0,1.4378832309925265
20,19,1.0,0,0,0,0,0,1.4378832309925265
20,21,1.0,0,0,0,0,0,1.5347270026930389
21,20,1.0,0,0,0,0,0,1.5347270026930389
21,22,1.0,0,0,0,0,0,1.5328468276307314
22,21,1.0,0,0,0,0,0,1.5328468276307314
22,23,1.0,0,0,0,0,0,1.420630909000232
23,22,1.0,0,0,0,0,0,1.420630909000232
23,24,1.0,0,0,0,0,0,1.6026999134466817
24,23,1.0,0,0,0,0,0,1.6026999134466817
24,25,2.0,0,0,0,0,0,1.4931493368654116
25,24,2.0,0,0,0,0,0,1.4931493368654116
24,26,1.0,0,0,0,0,0,1.6017484622892488
26,24,1.0,0,0,0,0,0,1.6017484622892488
24,27,1.0,0,0,0,0,0,1.6024098930361834
27,24,1.0,0,0,0,0,0,1.6024098930361834
27,28,1.0,0,0,0,0,0,1.4210178315330064
28,27,1.0,0,0,0,0,0,1.4210178315330064
28,29,1.0,0,0,0,0,0,1.5316009407421916
29,28,1.0,0,0,0,0,0,1.5316009407421916
29,30,1.0,0,0,0,0,0,1.4337563263128323
30,29,1.0,0,0,0,0,0,1.4337563263128323
29,31,1.0,0,0,0,0,0,1.531928158402043
31,29,1.0,0,0,0,0,0,1.531928158402043
31,32,1.0,0,0,0,0,0,1.4217362521356651
32,31,1.0,0,0,0,0,0,1.4217362521356651
32,33,1.0,0,0,0,0,0,1.604046848433826
33,32,1.0,0,0,0,0,0,1.604046848433826
33,34,2.0,0,0,0,0,0,1.492242474993996
34,33,2.0,0,0,0,0,0,1.492242474993996
33,35,1.0,0,0,0,0,0,1.6000063701873528
35,33,1.0,0,0,0,0,0,1.6000063701873528
33,36,1.0,0,0,0,0,0,1.602910362762404
36,33,1.0,0,0,0,0,0,1.602910362762404
36,37,1.0,0,0,0,0,0,1.420523894891355
37,36,1.0,0,0,0,0,0,1.420523894891355
37,38,1.0,0,0,0,0,0,1.5344036274574158
38,37,1.0,0,0,0,0,0,1.5344036274574158
38,39,1.0,0,0,0,0,0,1.5335756470292436
39,38,1.0,0,0,0,0,0,1.5335756470292436
39,40,1.0,0,0,0,0,0,1.436171205204206
40,39,1.0,0,0,0,0,0,1.436171205204206
40,41,1.0,1,0,0,0,0,1.3629565235947978
41,40,1.0,1,0,0,0,0,1.3629565235947978
41,42,2.0,1,0,0,0,0,1.2244560572596364
42,41,2.0,1,0,0,0,0,1.2244560572596364
41,43,1.0,0,0,0,0,0,1.509739616625326
43,41,1.0,0,0,0,0,0,1.509739616625326
43,44,1.0,0,0,0,0,0,1.527552500967433
44,43,1.0,0,0,0,0,0,1.527552500967433
44,45,1.0,0,0,0,0,0,1.5310245083145917
45,44,1.0,0,0,0,0,0,1.5310245083145917
45,46,1.0,0,0,0,0,0,1.5312125367636082
46,45,1.0,0,0,0,0,0,1.5312125367636082
46,47,1.0,0,0,0,0,0,1.5320000843964778
47,46,1.0,0,0,0,0,0,1.5320000843964778
47,48,1.0,0,0,0,0,0,1.5309368702396084
48,47,1.0,0,0,0,0,0,1.5309368702396084
48,49,1.0,0,0,0,0,0,1.5316280078337037
49,48,1.0,0,0,0,0,0,1.5316280078337037
49,50,1.0,0,0,0,0,0,1.5311054366084642
50,49,1.0,0,0,0,0,0,1.5311054366084642
50,51,1.0,0,0,0,0,0,1.5311952704019425
51,50,1.0,0,0,0,0,0,1.5311952704019425
51,52,1.0,0,0,0,0,0,1.5309196718548077
52,51,1.0,0,0,0,0,0,1.5309196718548077
52,53,1.0,0,0,0,0,0,1.5312465330388794
53,52,1.0,0,0,0,0,0,1.5312465330388794
53,54,1.0,0,0,0,0,0,1.53099344640035
54,53,1.0,0,0,0,0,0,1.53099344640035
54,55,1.0,0,0,0,0,0,1.5318115506020153
55,54,1.0,0,0,0,0,0,1.5318115506020153
55,56,1.0,0,0,0,0,0,1.5299415512911154
56,55,1.0,0,0,0,0,0,1.5299415512911154
56,57,1.0,0,0,0,0,0,1.5207469707253531
57,56,1.0,0,0,0,0,0,1.5207469707253531
38,58,1.0,0,0,0,0,0,1.4476331494485923
58,38,1.0,0,0,0,0,0,1.4476331494485923
58,59,1.0,1,0,0,0,0,1.3610253471865055
59,58,1.0,1,0,0,0,0,1.3610253471865055
59,60,2.0,1,0,0,0,0,1.2229034978297861
60,59,2.0,1,0,0,0,0,1.2229034978297861
59,61,1.0,0,0,0,0,0,1.5079576389951546
61,59,1.0,0,0,0,0,0,1.5079576389951546
61,62,1.0,0,0,0,0,0,1.5257674669556138
62,61,1.0,0,0,0,0,0,1.5257674669556138
62,63,1.0,0,0,0,0,0,1.5297267777746608
63,62,1.0,0,0,0,0,0,1.5297267777746608
63,64,1.0,0,0,0,0,0,1.5305448435075582
64,63,1.0,0,0,0,0,0,1.5305448435075582
64,65,1.0,0,0,0,0,0,1.530682557753131
65,64,1.0,0,0,0,0,0,1.530682557753131
65,66,1.0,0,0,0,0,0,1.5312178317624328
66,65,1.0,0,0,0,0,0,1.5312178317624328
66,67,1.0,0,0,0,0,0,1.5315043958824868
67,66,1.0,0,0,0,0,0,1.5315043958824868
67,68,1.0,0,0,0,4,0,1.5031141289369447
68,67,1.0,0,0,0,4,0,1.5031141289369447
68,69,2.0,0,0,2,0,0,1.3426495054546188
69,68,2.0,0,0,2,0,0,1.3426495054546188
69,70,1.0,0,0,0,3,0,1.5027135263012668
70,69,1.0,0,0,0,3,0,1.5027135263012668
70,71,1.0,0,0,0,0,0,1.532042705613309
71,70,1.0,0,0,0,0,0,1.532042705613309
71,72,1.0,0,0,0,0,0,1.5318977393797648
72,71,1.0,0,0,0,0,0,1.5318977393797648
72,73,1.0,0,0,0,0,0,1.5307487957697767
73,72,1.0,0,0,0,0,0,1.5307487957697767
73,74,1.0,0,0,0,0,0,1.5317294257854228
74,73,1.0,0,0,0,0,0,1.5317294257854228
74,75,1.0,0,0,0,0,0,1.530895564334092
75,74,1.0,0,0,0,0,0,1.530895564334092
75,76,1.0,0,0,0,0,0,1.5291606417256118
76,75,1.0,0,0,0,0,0,1.5291606417256118
76,77,1.0,0,0,0,0,0,1.5208415082879758
77,76,1.0,0,0,0,0,0,1.5208415082879758
21,78,1.0,0,0,0,0,0,1.447649231282272
78,21,1.0,0,0,0,0,0,1.447649231282272
78,79,1.0,1,0,0,0,0,1.359442219770941
79,78,1.0,1,0,0,0,0,1.359442219770941
79,80,2.0,1,0,0,0,0,1.2238936477604927
80,79,2.0,1,0,0,0,0,1.2238936477604927
79,81,1.0,0,0,0,0,0,1.5088045294339163
81,79,1.0,0,0,0,0,0,1.5088045294339163
81,82,1.0,0,0,0,0,0,1.5272738401844976
82,81,1.0,0,0,0,0,0,1.5272738401844976
82,83,1.0,0,0,0,0,0,1.53222726402573
83,82,1.0,0,0,0,0,0,1.53222726402573
83,84,1.0,0,0,0,0,0,1.5316137634741092
84,83,1.0,0,0,0,0,0,1.5316137634741092
84,85,1.0,0,0,0,0,0,1.5314350712647937
85,84,1.0,0,0,0,0,0,1.5314350712647937
