atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,3,4,0,0,2,1,1,12.011,0.07777386466638816,0.5428571428571428
1,6,0,2,4,0,0,0,0,2,12.011,0.06587386173264383,0.5714285714285714
2,8,0,1,4,0,0,0,0,1,15.999,-0.39413687437299194,0.6
3,7,0,2,3,0,0,0,0,1,14.007,-0.34843899548574775,0.5142857142857142
4,6,0,3,3,0,0,0,0,0,12.011,0.21988049968353282,0.4857142857142857
5,6,0,2,4,0,0,0,0,2,12.011,0.0264763392177445,0.45714285714285713
6,6,0,2,4,0,0,0,0,2,12.011,-0.04449607820750143,0.42857142857142855
7,6,0,2,4,0,0,0,0,2,12.011,-0.05281230801749908,0.4
8,6,0,2,4,0,0,0,0,2,12.011,-0.05328071678920621,0.37142857142857144
9,6,0,2,4,0,0,0,0,2,12.011,-0.053010851810008204,0.34285714285714286
10,6,0,2,4,0,0,0,0,2,12.011,-0.049825015459258125,0.3142857142857143
11,6,0,2,4,0,0,0,0,2,12.011,-0.035073467384674636,0.2857142857142857
12,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613832,0.2571428571428571
13,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.22857142857142856
14,6,0,2,4,0,0,0,0,2,12.011,-0.0350734673904721,0.2
15,6,0,2,4,0,0,0,0,2,12.011,-0.049825017035991674,0.17142857142857143
16,6,0,2,4,0,0,0,0,2,12.011,-0.053011064901440766,0.14285714285714285
17,6,0,2,4,0,0,0,0,2,12.011,-0.053295196138035676,0.11428571428571428
18,6,0,2,4,0,0,0,0,2,12.011,-0.053315847237370526,0.08571428571428572
19,6,0,2,4,0,0,0,0,2,12.011,-0.05356864125486327,0.05714285714285714
20,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057600655,0.02857142857142857
21,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278243,0.0
22,8,0,1,3,0,0,0,0,0,15.999,-0.2751322188650832,0.5142857142857142
23,6,0,3,4,0,0,2,1,1,12.011,0.07641872943949189,0.5714285714285714
24,8,0,1,4,0,0,0,0,1,15.999,-0.39089795850732423,0.6
25,6,0,2,4,0,0,0,0,2,12.011,-0.02488679739166418,0.6
26,6,0,2,4,0,0,0,0,2,12.011,-0.05076565347671336,0.6285714285714286
27,6,0,2,4,0,0,0,0,2,12.011,-0.05320973198257844,0.6571428571428571
28,6,0,2,4,0,0,0,0,2,12.011,-0.053304332270740565,0.6857142857142857
29,6,0,2,4,0,0,0,0,2,12.011,-0.05330595970631273,0.7142857142857143
30,6,0,2,4,0,0,0,0,2,12.011,-0.05330597273923926,0.7428571428571429
31,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278902414,0.7714285714285715
32,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789125286,0.8
33,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.8285714285714286
34,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8571428571428571
35,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.8857142857142857
36,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9142857142857143
37,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9428571428571428
38,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9714285714285714
39,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
