source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.521029971513348
1,0,1.0,0,0,0,0,0,1.521029971513348
1,2,1.0,0,0,0,0,0,1.5305700768412274
2,1,1.0,0,0,0,0,0,1.5305700768412274
2,3,1.0,0,0,0,0,0,1.5320483806298515
3,2,1.0,0,0,0,0,0,1.5320483806298515
3,4,1.0,0,0,0,4,0,1.5066450773127336
4,3,1.0,0,0,0,4,0,1.5066450773127336
4,5,2.0,0,0,2,0,0,1.3442735422436436
5,4,2.0,0,0,2,0,0,1.3442735422436436
5,6,1.0,0,0,0,3,0,1.5046956997914513
6,5,1.0,0,0,0,3,0,1.5046956997914513
6,7,1.0,0,0,0,4,0,1.5026264402809457
7,6,1.0,0,0,0,4,0,1.5026264402809457
7,8,2.0,0,0,2,0,0,1.3429874653135632
8,7,2.0,0,0,2,0,0,1.3429874653135632
8,9,1.0,0,0,0,3,0,1.4996759557443395
9,8,1.0,0,0,0,3,0,1.4996759557443395
9,10,1.0,0,0,0,0,0,1.5345233924991983
10,9,1.0,0,0,0,0,0,1.5345233924991983
10,11,1.0,0,0,0,0,0,1.535882775949426
11,10,1.0,0,0,0,0,0,1.535882775949426
11,12,1.0,0,0,0,0,0,1.5342957497286078
12,11,1.0,0,0,0,0,0,1.5342957497286078
12,13,1.0,0,0,0,0,0,1.5333476435975215
13,12,1.0,0,0,0,0,0,1.5333476435975215
13,14,1.0,0,0,0,0,0,1.5336042042761746
14,13,1.0,0,0,0,0,0,1.5336042042761746
14,15,1.0,0,0,0,0,0,1.527262491270395
15,14,1.0,0,0,0,0,0,1.527262491270395
15,16,1.0,0,0,0,0,0,1.5076609147047209
16,15,1.0,0,0,0,0,0,1.5076609147047209
16,17,2.0,1,0,0,0,0,1.2227305390218361
17,16,2.0,1,0,0,0,0,1.2227305390218361
16,18,1.0,1,0,0,0,0,1.359803893886865
18,16,1.0,1,0,0,0,0,1.359803893886865
18,19,1.0,0,0,0,0,0,1.4474621081868826
19,18,1.0,0,0,0,0,0,1.4474621081868826
19,20,1.0,0,0,0,0,0,1.534114111076336
20,19,1.0,0,0,0,0,0,1.534114111076336
20,21,1.0,0,0,0,0,0,1.4370593227000126
21,20,1.0,0,0,0,0,0,1.4370593227000126
21,22,1.0,1,0,0,0,0,1.359063965448327
22,21,1.0,1,0,0,0,0,1.359063965448327
22,23,2.0,1,0,0,0,0,1.223616637973964
23,22,2.0,1,0,0,0,0,1.223616637973964
22,24,1.0,0,0,0,0,0,1.5076061391847677
24,22,1.0,0,0,0,0,0,1.5076061391847677
24,25,1.0,0,0,0,0,0,1.5268867569763616
25,24,1.0,0,0,0,0,0,1.5268867569763616
25,26,1.0,0,0,0,0,0,1.5317680551115695
26,25,1.0,0,0,0,0,0,1.5317680551115695
26,27,1.0,0,0,0,0,0,1.5316959375282304
27,26,1.0,0,0,0,0,0,1.5316959375282304
27,28,1.0,0,0,0,0,0,1.5327072316083985
28,27,1.0,0,0,0,0,0,1.5327072316083985
28,29,1.0,0,0,0,0,0,1.5307864636818755
29,28,1.0,0,0,0,0,0,1.5307864636818755
29,30,1.0,0,0,0,0,0,1.532775425987269
30,29,1.0,0,0,0,0,0,1.532775425987269
30,31,1.0,0,0,0,0,0,1.5328699421846208
31,30,1.0,0,0,0,0,0,1.5328699421846208
31,32,1.0,0,0,0,0,0,1.5323321907389298
32,31,1.0,0,0,0,0,0,1.5323321907389298
32,33,1.0,0,0,0,4,0,1.5027752502685523
33,32,1.0,0,0,0,4,0,1.5027752502685523
33,34,2.0,0,0,2,0,0,1.3434844585158308
