source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520925356717283
1,0,1.0,0,0,0,0,0,1.520925356717283
1,2,1.0,0,0,0,0,0,1.5307085504080515
2,1,1.0,0,0,0,0,0,1.5307085504080515
2,3,1.0,0,0,0,0,0,1.532053257250253
3,2,1.0,0,0,0,0,0,1.532053257250253
3,4,1.0,0,0,0,0,0,1.5317702186230693
4,3,1.0,0,0,0,0,0,1.5317702186230693
4,5,1.0,0,0,0,0,0,1.5317919148200918
5,4,1.0,0,0,0,0,0,1.5317919148200918
5,6,1.0,0,0,0,4,0,1.5026568366601745
6,5,1.0,0,0,0,4,0,1.5026568366601745
6,7,2.0,0,0,2,0,0,1.342960496996783
7,6,2.0,0,0,2,0,0,1.342960496996783
7,8,1.0,0,0,0,3,0,1.5028954048900056
8,7,1.0,0,0,0,3,0,1.5028954048900056
8,9,1.0,0,0,0,0,0,1.5316670314628253
9,8,1.0,0,0,0,0,0,1.5316670314628253
9,10,1.0,0,0,0,0,0,1.53212585784119
10,9,1.0,0,0,0,0,0,1.53212585784119
10,11,1.0,0,0,0,0,0,1.5326871258781243
11,10,1.0,0,0,0,0,0,1.5326871258781243
11,12,1.0,0,0,0,0,0,1.5321192077601637
12,11,1.0,0,0,0,0,0,1.5321192077601637
12,13,1.0,0,0,0,0,0,1.5322450463650417
13,12,1.0,0,0,0,0,0,1.5322450463650417
13,14,1.0,0,0,0,0,0,1.5325647640055464
14,13,1.0,0,0,0,0,0,1.5325647640055464
14,15,1.0,0,0,0,0,0,1.5328453933537685
15,14,1.0,0,0,0,0,0,1.5328453933537685
15,16,1.0,0,0,0,0,0,1.5263072221310108
16,15,1.0,0,0,0,0,0,1.5263072221310108
16,17,1.0,0,0,0,0,0,1.5083394605805878
17,16,1.0,0,0,0,0,0,1.5083394605805878
17,18,2.0,1,0,0,0,0,1.2232257442606964
18,17,2.0,1,0,0,0,0,1.2232257442606964
17,19,1.0,1,0,0,0,0,1.359834340267081
19,17,1.0,1,0,0,0,0,1.359834340267081
19,20,1.0,0,0,0,0,0,1.4468563067688311
20,19,1.0,0,0,0,0,0,1.4468563067688311
20,21,1.0,0,0,0,0,0,1.5351465046434218
21,20,1.0,0,0,0,0,0,1.5351465046434218
21,22,1.0,0,0,0,0,0,1.4351045263250128
22,21,1.0,0,0,0,0,0,1.4351045263250128
22,23,1.0,1,0,0,0,0,1.3610915392392875
23,22,1.0,1,0,0,0,0,1.3610915392392875
23,24,2.0,1,0,0,0,0,1.2226307000151895
24,23,2.0,1,0,0,0,0,1.2226307000151895
23,25,1.0,0,0,0,0,0,1.508186565722112
25,23,1.0,0,0,0,0,0,1.508186565722112
25,26,1.0,0,0,0,0,0,1.5271611897930328
26,25,1.0,0,0,0,0,0,1.5271611897930328
26,27,1.0,0,0,0,0,0,1.5325503408796692
27,26,1.0,0,0,0,0,0,1.5325503408796692
27,28,1.0,0,0,0,0,0,1.531691309839769
28,27,1.0,0,0,0,0,0,1.531691309839769
28,29,1.0,0,0,0,0,0,1.5313458045434036
29,28,1.0,0,0,0,0,0,1.5313458045434036
29,30,1.0,0,0,0,0,0,1.5323030742222081
30,29,1.0,0,0,0,0,0,1.5323030742222081
30,31,1.0,0,0,0,0,0,1.5319583350946915
31,30,1.0,0,0,0,0,0,1.5319583350946915
31,32,1.0,0,0,0,0,0,1.531352958919293
32,31,1.0,0,0,0,0,0,1.531352958919293
32,33,1.0,0,0,0,0,0,1.5321938429637871
33,32,1.0,0,0,0,0,0,1.5321938429637871
33,34,1.0,0,0,0,0,0,1.5319954108013076
34,33,1.0,0,0,0,0,0,1.5319954108013076
34,35,1.0,0,0,0,0,0,1.5318994359270084
35,34,1.0,0,0,0,0,0,1.5318994359270084
35,36,1.0,0,0,0,0,0,1.5324580074405982
36,35,1.0,0,0,0,0,0,1.5324580074405982
36,37,1.0,0,0,0,0,0,1.5315019093299524
37,36,1.0,0,0,0,0,0,1.5315019093299524
37,38,1.0,0,0,0,0,0,1.5299916803755553
38,37,1.0,0,0,0,0,0,1.5299916803755553
38,39,1.0,0,0,0,0,0,1.5211940645058284
39,38,1.0,0,0,0,0,0,1.5211940645058284
20,40,1.0,0,0,0,0,0,1.535944286697515
40,20,1.0,0,0,0,0,0,1.535944286697515
40,41,1.0,0,0,0,0,0,1.4212351753275674
41,40,1.0,0,0,0,0,0,1.4212351753275674
41,42,1.0,0,0,0,0,0,1.5966590607506297
42,41,1.0,0,0,0,0,0,1.5966590607506297
42,43,2.0,0,0,0,0,0,1.4880295227772167
43,42,2.0,0,0,0,0,0,1.4880295227772167
42,44,1.0,0,0,0,0,0,1.5955999399048617
44,42,1.0,0,0,0,0,0,1.5955999399048617
42,45,1.0,0,0,0,0,0,1.5948953826081838
45,42,1.0,0,0,0,0,0,1.5948953826081838
