source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5287120543455266
1,0,1.0,0,0,0,0,0,1.5287120543455266
1,2,1.0,0,0,0,0,0,1.4217497168995992
2,1,1.0,0,0,0,0,0,1.4217497168995992
2,3,1.0,0,0,0,0,0,1.613021825931283
3,2,1.0,0,0,0,0,0,1.613021825931283
3,4,2.0,0,0,0,0,0,1.5043455066165734
4,3,2.0,0,0,0,0,0,1.5043455066165734
3,5,1.0,0,0,0,0,0,1.5068640294615285
5,3,1.0,0,0,0,0,0,1.5068640294615285
3,6,1.0,0,0,0,0,0,1.6242091496373008
6,3,1.0,0,0,0,0,0,1.6242091496373008
6,7,1.0,0,0,0,0,0,1.4184240212673507
7,6,1.0,0,0,0,0,0,1.4184240212673507
7,8,1.0,0,0,0,0,0,1.537560397652312
8,7,1.0,0,0,0,0,0,1.537560397652312
8,9,1.0,0,0,0,0,0,1.5536444651083396
9,8,1.0,0,0,0,0,0,1.5536444651083396
9,10,1.0,0,0,0,0,0,1.5102712676661068
10,9,1.0,0,0,0,0,0,1.5102712676661068
9,11,1.0,0,0,0,0,0,1.5209870199357065
11,9,1.0,0,0,0,0,0,1.5209870199357065
9,12,1.0,0,0,0,0,0,1.5333780573242428
12,9,1.0,0,0,0,0,0,1.5333780573242428
0,13,1.0,0,0,0,0,0,1.4484237643462792
13,0,1.0,0,0,0,0,0,1.4484237643462792
13,14,1.0,1,0,0,0,0,1.3591057883732527
14,13,1.0,1,0,0,0,0,1.3591057883732527
14,15,1.0,0,0,0,0,0,1.5099330379236173
15,14,1.0,0,0,0,0,0,1.5099330379236173
15,16,1.0,0,0,0,0,0,1.5262290707946613
16,15,1.0,0,0,0,0,0,1.5262290707946613
16,17,1.0,0,0,0,0,0,1.5350875219553028
17,16,1.0,0,0,0,0,0,1.5350875219553028
17,18,1.0,0,0,0,0,0,1.533915682475553
18,17,1.0,0,0,0,0,0,1.533915682475553
18,19,1.0,0,0,0,0,0,1.530259360318934
19,18,1.0,0,0,0,0,0,1.530259360318934
19,20,1.0,0,0,0,0,0,1.5330624509973783
20,19,1.0,0,0,0,0,0,1.5330624509973783
20,21,1.0,0,0,0,0,0,1.5320799829571035
21,20,1.0,0,0,0,0,0,1.5320799829571035
21,22,1.0,0,0,0,0,0,1.5322507213094894
22,21,1.0,0,0,0,0,0,1.5322507213094894
22,23,1.0,0,0,0,0,0,1.5313667857643816
23,22,1.0,0,0,0,0,0,1.5313667857643816
23,24,1.0,0,0,0,0,0,1.532255473373855
24,23,1.0,0,0,0,0,0,1.532255473373855
24,25,1.0,0,0,0,0,0,1.530977934706069
25,24,1.0,0,0,0,0,0,1.530977934706069
25,26,1.0,0,0,0,0,0,1.5315384773898058
26,25,1.0,0,0,0,0,0,1.5315384773898058
26,27,1.0,0,0,0,0,0,1.5292259504927883
27,26,1.0,0,0,0,0,0,1.5292259504927883
27,28,1.0,0,0,0,0,0,1.5208001282833976
28,27,1.0,0,0,0,0,0,1.5208001282833976
14,29,2.0,1,0,0,0,0,1.2230650541809667
29,14,2.0,1,0,0,0,0,1.2230650541809667
0,30,1.0,0,0,0,0,0,1.5348634463388842
30,0,1.0,0,0,0,0,0,1.5348634463388842
30,31,1.0,0,0,0,0,0,1.4423582463316837
31,30,1.0,0,0,0,0,0,1.4423582463316837
31,32,1.0,1,0,0,0,0,1.359751421442854
32,31,1.0,1,0,0,0,0,1.359751421442854
32,33,1.0,0,0,0,0,0,1.5064363747130756
33,32,1.0,0,0,0,0,0,1.5064363747130756
33,34,1.0,0,0,0,0,0,1.5246710290725287
34,33,1.0,0,0,0,0,0,1.5246710290725287
34,35,1.0,0,0,0,0,0,1.530884049638276
35,34,1.0,0,0,0,0,0,1.530884049638276
35,36,1.0,0,0,0,0,0,1.5326637116876052
36,35,1.0,0,0,0,0,0,1.5326637116876052
36,37,1.0,0,0,0,0,0,1.5326852841521474
37,36,1.0,0,0,0,0,0,1.5326852841521474
37,38,1.0,0,0,0,4,0,1.5031008394898968
38,37,1.0,0,0,0,4,0,1.5031008394898968
38,39,2.0,0,0,2,0,0,1.343407252958358
39,38,2.0,0,0,2,0,0,1.343407252958358
39,40,1.0,0,0,0,3,0,1.5029948626454246
40,39,1.0,0,0,0,3,0,1.5029948626454246
40,41,1.0,0,0,0,4,0,1.5028221935091688
41,40,1.0,0,0,0,4,0,1.5028221935091688
41,42,2.0,0,0,2,0,0,1.3445615824467392
42,41,2.0,0,0,2,0,0,1.3445615824467392
42,43,1.0,0,0,0,3,0,1.501153617460018
43,42,1.0,0,0,0,3,0,1.501153617460018
43,44,1.0,0,0,0,4,0,1.500699967728131
44,43,1.0,0,0,0,4,0,1.500699967728131
44,45,2.0,0,0,2,0,0,1.3443562339122268
45,44,2.0,0,0,2,0,0,1.3443562339122268
45,46,1.0,0,0,0,3,0,1.5022131253480213
46,45,1.0,0,0,0,3,0,1.5022131253480213
46,47,1.0,0,0,0,4,0,1.5019960069344853
47,46,1.0,0,0,0,4,0,1.5019960069344853
47,48,2.0,0,0,2,0,0,1.3441849769703085
48,47,2.0,0,0,2,0,0,1.3441849769703085
48,49,1.0,0,0,0,3,0,1.503794071200705
49,48,1.0,0,0,0,3,0,1.503794071200705
49,50,1.0,0,0,0,0,0,1.5307201619872066
50,49,1.0,0,0,0,0,0,1.5307201619872066
50,51,1.0,0,0,0,0,0,1.5313581701595473
51,50,1.0,0,0,0,0,0,1.5313581701595473
51,52,1.0,0,0,0,0,0,1.53017682953238
52,51,1.0,0,0,0,0,0,1.53017682953238
52,53,1.0,0,0,0,0,0,1.5207171532809276
53,52,1.0,0,0,0,0,0,1.5207171532809276
32,54,2.0,1,0,0,0,0,1.2235408381965422
54,32,2.0,1,0,0,0,0,1.2235408381965422
