source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5205703482724562
1,0,1.0,0,0,0,0,0,1.5205703482724562
1,2,1.0,0,0,0,0,0,1.5294761727909587
2,1,1.0,0,0,0,0,0,1.5294761727909587
2,3,1.0,0,0,0,0,0,1.533051913911012
3,2,1.0,0,0,0,0,0,1.533051913911012
3,4,1.0,0,0,0,0,0,1.5328185680264677
4,3,1.0,0,0,0,0,0,1.5328185680264677
4,5,1.0,0,0,0,4,0,1.503211805543384
5,4,1.0,0,0,0,4,0,1.503211805543384
5,6,2.0,0,0,2,0,0,1.3435059870003654
6,5,2.0,0,0,2,0,0,1.3435059870003654
6,7,1.0,0,0,0,3,0,1.5026931645182258
7,6,1.0,0,0,0,3,0,1.5026931645182258
7,8,1.0,0,0,0,4,0,1.5028584257134998
8,7,1.0,0,0,0,4,0,1.5028584257134998
8,9,2.0,0,0,2,0,0,1.3442589976237316
9,8,2.0,0,0,2,0,0,1.3442589976237316
9,10,1.0,0,0,0,3,0,1.5030386537512102
10,9,1.0,0,0,0,3,0,1.5030386537512102
10,11,1.0,0,0,0,4,0,1.503731445844756
11,10,1.0,0,0,0,4,0,1.503731445844756
11,12,2.0,0,0,2,0,0,1.344805128037762
12,11,2.0,0,0,2,0,0,1.344805128037762
12,13,1.0,0,0,0,3,0,1.503199305606906
13,12,1.0,0,0,0,3,0,1.503199305606906
13,14,1.0,0,0,0,4,0,1.5030867911063188
14,13,1.0,0,0,0,4,0,1.5030867911063188
14,15,2.0,0,0,2,0,0,1.3436149650006493
15,14,2.0,0,0,2,0,0,1.3436149650006493
15,16,1.0,0,0,0,3,0,1.5023035467447143
16,15,1.0,0,0,0,3,0,1.5023035467447143
16,17,1.0,0,0,0,0,0,1.5324099839951235
17,16,1.0,0,0,0,0,0,1.5324099839951235
17,18,1.0,0,0,0,0,0,1.5280457526770221
18,17,1.0,0,0,0,0,0,1.5280457526770221
18,19,1.0,0,0,0,0,0,1.5090250122749533
19,18,1.0,0,0,0,0,0,1.5090250122749533
19,20,2.0,1,0,0,0,0,1.2236652832187698
20,19,2.0,1,0,0,0,0,1.2236652832187698
19,21,1.0,1,0,0,0,0,1.3593047338811828
21,19,1.0,1,0,0,0,0,1.3593047338811828
21,22,1.0,0,0,0,0,0,1.4482518568397422
22,21,1.0,0,0,0,0,0,1.4482518568397422
22,23,1.0,0,0,0,0,0,1.53571310968975
23,22,1.0,0,0,0,0,0,1.53571310968975
23,24,1.0,0,0,0,0,0,1.4395885884673165
