source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5210524597836017
1,0,1.0,0,0,0,0,0,1.5210524597836017
1,2,1.0,0,0,0,0,0,1.5305872551877697
2,1,1.0,0,0,0,0,0,1.5305872551877697
2,3,1.0,0,0,0,0,0,1.5314815201677758
3,2,1.0,0,0,0,0,0,1.5314815201677758
3,4,1.0,0,0,0,0,0,1.533030872362148
4,3,1.0,0,0,0,0,0,1.533030872362148
4,5,1.0,0,0,0,0,0,1.5326593351595867
5,4,1.0,0,0,0,0,0,1.5326593351595867
5,6,1.0,0,0,0,4,0,1.5022291906603844
6,5,1.0,0,0,0,4,0,1.5022291906603844
6,7,2.0,0,0,2,0,0,1.3431237339271607
7,6,2.0,0,0,2,0,0,1.3431237339271607
7,8,1.0,0,0,0,3,0,1.503366087451316
8,7,1.0,0,0,0,3,0,1.503366087451316
8,9,1.0,0,0,0,0,0,1.530396615423088
9,8,1.0,0,0,0,0,0,1.530396615423088
9,10,1.0,0,0,0,0,0,1.5333402315736995
10,9,1.0,0,0,0,0,0,1.5333402315736995
10,11,1.0,0,0,0,0,0,1.531522542424295
11,10,1.0,0,0,0,0,0,1.531522542424295
11,12,1.0,0,0,0,0,0,1.532220096059885
12,11,1.0,0,0,0,0,0,1.532220096059885
12,13,1.0,0,0,0,0,0,1.5334344545516627
13,12,1.0,0,0,0,0,0,1.5334344545516627
13,14,1.0,0,0,0,0,0,1.5270119805214648
14,13,1.0,0,0,0,0,0,1.5270119805214648
14,15,1.0,0,0,0,0,0,1.5093453817828686
15,14,1.0,0,0,0,0,0,1.5093453817828686
15,16,2.0,1,0,0,0,0,1.2223673075097574
16,15,2.0,1,0,0,0,0,1.2223673075097574
15,17,1.0,1,0,0,0,0,1.3615565528299705
17,15,1.0,1,0,0,0,0,1.3615565528299705
17,18,1.0,0,0,0,0,0,1.4381962025686421
18,17,1.0,0,0,0,0,0,1.4381962025686421
18,19,1.0,0,0,0,0,0,1.534896642120563
19,18,1.0,0,0,0,0,0,1.534896642120563
19,20,1.0,0,0,0,0,0,1.5328074342742248
20,19,1.0,0,0,0,0,0,1.5328074342742248
20,21,1.0,0,0,0,0,0,1.422446595520473
21,20,1.0,0,0,0,0,0,1.422446595520473
21,22,1.0,0,0,0,0,0,1.6047027802240819
22,21,1.0,0,0,0,0,0,1.6047027802240819
22,23,2.0,0,0,0,0,0,1.4927680178067144
23,22,2.0,0,0,0,0,0,1.4927680178067144
22,24,1.0,0,0,0,0,0,1.6010678908160776
24,22,1.0,0,0,0,0,0,1.6010678908160776
22,25,1.0,0,0,0,0,0,1.603285175553772
25,22,1.0,0,0,0,0,0,1.603285175553772
25,26,1.0,0,0,0,0,0,1.4198576356744002
26,25,1.0,0,0,0,0,0,1.4198576356744002
26,27,1.0,0,0,0,0,0,1.5314960258673314
27,26,1.0,0,0,0,0,0,1.5314960258673314
27,28,1.0,0,0,0,0,0,1.4650366013878322
28,27,1.0,0,0,0,0,0,1.4650366013878322
19,29,1.0,0,0,0,0,0,1.4480959081945746
29,19,1.0,0,0,0,0,0,1.4480959081945746
29,30,1.0,1,0,0,0,0,1.3596028313899344
30,29,1.0,1,0,0,0,0,1.3596028313899344
30,31,2.0,1,0,0,0,0,1.2232080885324919
31,30,2.0,1,0,0,0,0,1.2232080885324919
30,32,1.0,0,0,0,0,0,1.5093115485795134
32,30,1.0,0,0,0,0,0,1.5093115485795134
32,33,1.0,0,0,0,0,0,1.5277830841390412
33,32,1.0,0,0,0,0,0,1.5277830841390412
33,34,1.0,0,0,0,0,0,1.5327100589340377
34,33,1.0,0,0,0,0,0,1.5327100589340377
34,35,1.0,0,0,0,0,0,1.5317026543248553
35,34,1.0,0,0,0,0,0,1.5317026543248553
35,36,1.0,0,0,0,0,0,1.5321128345210608
36,35,1.0,0,0,0,0,0,1.5321128345210608
36,37,1.0,0,0,0,0,0,1.5323424716102467
37,36,1.0,0,0,0,0,0,1.5323424716102467
37,38,1.0,0,0,0,0,0,1.5321960548329148
38,37,1.0,0,0,0,0,0,1.5321960548329148
38,39,1.0,0,0,0,4,0,1.5022264676149917
39,38,1.0,0,0,0,4,0,1.5022264676149917
39,40,2.0,0,0,2,0,0,1.3429904306043086
40,39,2.0,0,0,2,0,0,1.3429904306043086
40,41,1.0,0,0,0,3,0,1.5032200612731128
41,40,1.0,0,0,0,3,0,1.5032200612731128
41,42,1.0,0,0,0,0,0,1.532034362985736
42,41,1.0,0,0,0,0,0,1.532034362985736
42,43,1.0,0,0,0,0,0,1.5324887515934835
43,42,1.0,0,0,0,0,0,1.5324887515934835
43,44,1.0,0,0,0,0,0,1.532238395643575
44,43,1.0,0,0,0,0,0,1.532238395643575
44,45,1.0,0,0,0,0,0,1.5303993467543142
45,44,1.0,0,0,0,0,0,1.5303993467543142
45,46,1.0,0,0,0,0,0,1.5205706548237796
46,45,1.0,0,0,0,0,0,1.5205706548237796
