source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5209039051366542
1,0,1.0,0,0,0,0,0,1.5209039051366542
1,2,1.0,0,0,0,0,0,1.5292988685228424
2,1,1.0,0,0,0,0,0,1.5292988685228424
2,3,1.0,0,0,0,0,0,1.533019887116816
3,2,1.0,0,0,0,0,0,1.533019887116816
3,4,1.0,0,0,0,0,0,1.5320513780025782
4,3,1.0,0,0,0,0,0,1.5320513780025782
4,5,1.0,0,0,0,4,0,1.503176464760125
5,4,1.0,0,0,0,4,0,1.503176464760125
5,6,2.0,0,0,2,0,0,1.344177041405243
6,5,2.0,0,0,2,0,0,1.344177041405243
6,7,1.0,0,0,0,3,0,1.501863742943422
7,6,1.0,0,0,0,3,0,1.501863742943422
7,8,1.0,0,0,0,4,0,1.502751540644458
8,7,1.0,0,0,0,4,0,1.502751540644458
8,9,2.0,0,0,2,0,0,1.344915205739121
9,8,2.0,0,0,2,0,0,1.344915205739121
9,10,1.0,0,0,0,3,0,1.5024759784183468
10,9,1.0,0,0,0,3,0,1.5024759784183468
10,11,1.0,0,0,0,4,0,1.5027204315008216
11,10,1.0,0,0,0,4,0,1.5027204315008216
11,12,2.0,0,0,2,0,0,1.3437373909491286
12,11,2.0,0,0,2,0,0,1.3437373909491286
12,13,1.0,0,0,0,3,0,1.5019526979440834
13,12,1.0,0,0,0,3,0,1.5019526979440834
13,14,1.0,0,0,0,0,0,1.5339412412948212
14,13,1.0,0,0,0,0,0,1.5339412412948212
14,15,1.0,0,0,0,0,0,1.5345155224362366
15,14,1.0,0,0,0,0,0,1.5345155224362366
15,16,1.0,0,0,0,0,0,1.5322145787045285
16,15,1.0,0,0,0,0,0,1.5322145787045285
16,17,1.0,0,0,0,0,0,1.5322000957910997
17,16,1.0,0,0,0,0,0,1.5322000957910997
17,18,1.0,0,0,0,0,0,1.5268445675303517
18,17,1.0,0,0,0,0,0,1.5268445675303517
18,19,1.0,0,0,0,0,0,1.5089699090312378
19,18,1.0,0,0,0,0,0,1.5089699090312378
19,20,2.0,1,0,0,0,0,1.2233525297702674
20,19,2.0,1,0,0,0,0,1.2233525297702674
19,21,1.0,1,0,0,0,0,1.3592591356588835
21,19,1.0,1,0,0,0,0,1.3592591356588835
21,22,1.0,0,0,0,0,0,1.4430232734300947
22,21,1.0,0,0,0,0,0,1.4430232734300947
22,23,1.0,0,0,0,0,0,1.5351684187731967
23,22,1.0,0,0,0,0,0,1.5351684187731967
23,24,1.0,0,0,0,0,0,1.5302329224643785
24,23,1.0,0,0,0,0,0,1.5302329224643785
24,25,1.0,0,0,0,0,0,1.4214616790998233
25,24,1.0,0,0,0,0,0,1.4214616790998233
25,26,1.0,0,0,0,0,0,1.6139986818994838
26,25,1.0,0,0,0,0,0,1.6139986818994838
26,27,2.0,0,0,0,0,0,1.5031030582483769
27,26,2.0,0,0,0,0,0,1.5031030582483769
26,28,1.0,0,0,0,0,0,1.5057988922104015
28,26,1.0,0,0,0,0,0,1.5057988922104015
26,29,1.0,0,0,0,0,0,1.6257911565674734
29,26,1.0,0,0,0,0,0,1.6257911565674734
29,30,1.0,0,0,0,0,0,1.4149196387597418
30,29,1.0,0,0,0,0,0,1.4149196387597418
30,31,1.0,0,0,0,0,0,1.5349281376849109
31,30,1.0,0,0,0,0,0,1.5349281376849109
31,32,1.0,0,0,0,0,0,1.551244889666215
32,31,1.0,0,0,0,0,0,1.551244889666215
32,33,1.0,0,0,0,0,0,1.5284153577310242
33,32,1.0,0,0,0,0,0,1.5284153577310242
32,34,1.0,0,0,0,0,0,1.51323079204043
34,32,1.0,0,0,0,0,0,1.51323079204043
32,35,1.0,0,0,0,0,0,1.5287838639365479
35,32,1.0,0,0,0,0,0,1.5287838639365479
23,36,1.0,0,0,0,0,0,1.448627877170189
36,23,1.0,0,0,0,0,0,1.448627877170189
36,37,1.0,1,0,0,0,0,1.3609164033477787
37,36,1.0,1,0,0,0,0,1.3609164033477787
37,38,2.0,1,0,0,0,0,1.2230597391680642
38,37,2.0,1,0,0,0,0,1.2230597391680642
37,39,1.0,0,0,0,0,0,1.5092140476073
39,37,1.0,0,0,0,0,0,1.5092140476073
39,40,1.0,0,0,0,0,0,1.5279738457388263
40,39,1.0,0,0,0,0,0,1.5279738457388263
40,41,1.0,0,0,0,0,0,1.5320672969585345
41,40,1.0,0,0,0,0,0,1.5320672969585345
41,42,1.0,0,0,0,0,0,1.5326828401136248
42,41,1.0,0,0,0,0,0,1.5326828401136248
42,43,1.0,0,0,0,0,0,1.5331656915401997
43,42,1.0,0,0,0,0,0,1.5331656915401997
43,44,1.0,0,0,0,0,0,1.5308229490712217
44,43,1.0,0,0,0,0,0,1.5308229490712217
44,45,1.0,0,0,0,0,0,1.5321877603146445
45,44,1.0,0,0,0,0,0,1.5321877603146445
45,46,1.0,0,0,0,0,0,1.5309080938219295
46,45,1.0,0,0,0,0,0,1.5309080938219295
46,47,1.0,0,0,0,0,0,1.5312495313765053
47,46,1.0,0,0,0,0,0,1.5312495313765053
47,48,1.0,0,0,0,0,0,1.5310200271706962
48,47,1.0,0,0,0,0,0,1.5310200271706962
48,49,1.0,0,0,0,0,0,1.530541430263475
49,48,1.0,0,0,0,0,0,1.530541430263475
49,50,1.0,0,0,0,0,0,1.5295630311580366
50,49,1.0,0,0,0,0,0,1.5295630311580366
50,51,1.0,0,0,0,0,0,1.521034058686126
51,50,1.0,0,0,0,0,0,1.521034058686126
