atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,8,0,2,4,0,0,0,0,0,15.999,-0.3124813104616143
1,15,0,4,4,0,0,0,1,0,30.974,0.2676533773035559
2,8,0,1,3,0,0,0,0,0,15.999,-0.27632830254356666
3,8,0,2,4,0,0,0,0,0,15.999,-0.31614745237302944
4,6,0,2,4,0,0,0,0,2,12.011,0.07830733359967906
5,6,0,3,4,0,0,2,1,1,12.011,0.082160216034793
6,7,0,2,3,0,0,0,0,1,14.007,-0.34807466812225163
7,6,0,3,3,0,0,0,0,0,12.011,0.2198922792784322
8,8,0,1,3,0,0,0,0,0,15.999,-0.2751320055713145
9,6,0,2,4,0,0,0,0,2,12.011,0.02647655463109658
10,6,0,2,4,0,0,0,0,2,12.011,-0.04449607792939767
11,6,0,2,4,0,0,0,0,2,12.011,-0.052812493042946745
12,6,0,2,4,0,0,0,0,2,12.011,-0.05329166571213523
13,6,0,2,4,0,0,0,0,2,12.011,-0.05330576107435889
14,6,0,2,4,0,0,0,0,2,12.011,-0.05330597121778762
15,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278333657
16,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789105295
17,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157
18,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536
19,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694
20,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
21,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
22,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
23,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
24,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
25,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
26,6,0,3,4,0,0,2,1,1,12.011,0.09451755621242044
27,8,0,1,4,0,0,0,0,1,15.999,-0.38679959333426983
28,6,0,2,3,0,0,0,0,1,12.011,-0.05806072155065871
29,6,0,2,3,0,0,0,0,1,12.011,-0.0859073781875191
30,6,0,2,4,0,0,0,0,2,12.011,-0.034976761425557966
31,6,0,2,4,0,0,0,0,2,12.011,-0.04982338336895281
32,6,0,2,4,0,0,0,0,2,12.011,-0.0530110505771135
33,6,0,2,4,0,0,0,0,2,12.011,-0.053295023814834905
34,6,0,2,4,0,0,0,0,2,12.011,-0.0533057877565554
35,6,0,2,4,0,0,0,0,2,12.011,-0.05330597131934254
36,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278877653
37,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416582441
38,6,0,2,4,0,0,0,0,2,12.011,-0.05330614506314383
39,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
40,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
41,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
42,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
43,8,-1,1,4,0,0,0,0,0,15.999,-0.756118003205017
44,6,0,2,4,0,0,0,0,2,12.011,0.10428432712316082
45,6,0,2,4,0,0,0,0,2,12.011,0.10229210367960033
46,7,1,4,4,0,0,0,0,0,14.007,-0.3289927434826724
47,6,0,1,4,0,0,0,0,3,12.011,0.067732612207178
48,6,0,1,4,0,0,0,0,3,12.011,0.067732612207178
49,6,0,1,4,0,0,0,0,3,12.011,0.067732612207178
