source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5212670635875134
1,0,1.0,0,0,0,0,0,1.5212670635875134
1,2,1.0,0,0,0,0,0,1.5303763839515772
2,1,1.0,0,0,0,0,0,1.5303763839515772
2,3,1.0,0,0,0,0,0,1.5306781165148915
3,2,1.0,0,0,0,0,0,1.5306781165148915
3,4,1.0,0,0,0,0,0,1.5316824423157809
4,3,1.0,0,0,0,0,0,1.5316824423157809
4,5,1.0,0,0,0,0,0,1.5316772976295276
5,4,1.0,0,0,0,0,0,1.5316772976295276
5,6,1.0,0,0,0,0,0,1.532257995002318
6,5,1.0,0,0,0,0,0,1.532257995002318
6,7,1.0,0,0,0,0,0,1.531663275833508
7,6,1.0,0,0,0,0,0,1.531663275833508
7,8,1.0,0,0,0,4,0,1.5031566717124993
8,7,1.0,0,0,0,4,0,1.5031566717124993
8,9,2.0,0,0,2,0,0,1.343018792025245
9,8,2.0,0,0,2,0,0,1.343018792025245
9,10,1.0,0,0,0,3,0,1.5025904830207435
10,9,1.0,0,0,0,3,0,1.5025904830207435
10,11,1.0,0,0,0,0,0,1.531297708859634
11,10,1.0,0,0,0,0,0,1.531297708859634
11,12,1.0,0,0,0,0,0,1.531022093316749
12,11,1.0,0,0,0,0,0,1.531022093316749
12,13,1.0,0,0,0,0,0,1.5305329602057205
13,12,1.0,0,0,0,0,0,1.5305329602057205
13,14,1.0,0,0,0,0,0,1.5307922276582164
14,13,1.0,0,0,0,0,0,1.5307922276582164
14,15,1.0,0,0,0,0,0,1.5300865023760377
15,14,1.0,0,0,0,0,0,1.5300865023760377
15,16,1.0,0,0,0,0,0,1.5313153925588132
16,15,1.0,0,0,0,0,0,1.5313153925588132
16,17,1.0,0,0,0,0,0,1.531897657337808
17,16,1.0,0,0,0,0,0,1.531897657337808
17,18,1.0,0,0,0,0,0,1.5321510812061845
18,17,1.0,0,0,0,0,0,1.5321510812061845
18,19,1.0,0,0,0,0,0,1.5312640522212448
19,18,1.0,0,0,0,0,0,1.5312640522212448
19,20,1.0,0,0,0,0,0,1.5316285637047236
20,19,1.0,0,0,0,0,0,1.5316285637047236
20,21,1.0,0,0,0,0,0,1.5338802062704633
21,20,1.0,0,0,0,0,0,1.5338802062704633
21,22,1.0,0,0,0,0,0,1.5294158813098746
22,21,1.0,0,0,0,0,0,1.5294158813098746
22,23,1.0,0,0,0,0,0,1.5168291124068876
23,22,1.0,0,0,0,0,0,1.5168291124068876
