source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.52115489505439
1,0,1.0,0,0,0,0,0,1.52115489505439
1,2,1.0,0,0,0,0,0,1.5296001089278113
2,1,1.0,0,0,0,0,0,1.5296001089278113
2,3,1.0,0,0,0,0,0,1.5321131932302037
3,2,1.0,0,0,0,0,0,1.5321131932302037
3,4,1.0,0,0,0,0,0,1.5316536443726514
4,3,1.0,0,0,0,0,0,1.5316536443726514
4,5,1.0,0,0,0,0,0,1.5310910321761455
5,4,1.0,0,0,0,0,0,1.5310910321761455
5,6,1.0,0,0,0,0,0,1.531354789741636
6,5,1.0,0,0,0,0,0,1.531354789741636
6,7,1.0,0,0,0,0,0,1.5312359485434262
7,6,1.0,0,0,0,0,0,1.5312359485434262
7,8,1.0,0,0,0,0,0,1.531511617160807
8,7,1.0,0,0,0,0,0,1.531511617160807
8,9,1.0,0,0,0,0,0,1.5309708383672624
9,8,1.0,0,0,0,0,0,1.5309708383672624
9,10,1.0,0,0,0,0,0,1.5311884211885274
10,9,1.0,0,0,0,0,0,1.5311884211885274
10,11,1.0,0,0,0,0,0,1.5316325332434386
11,10,1.0,0,0,0,0,0,1.5316325332434386
11,12,1.0,0,0,0,0,0,1.5312886791187423
12,11,1.0,0,0,0,0,0,1.5312886791187423
12,13,1.0,0,0,0,0,0,1.5315424222905467
13,12,1.0,0,0,0,0,0,1.5315424222905467
13,14,1.0,0,0,0,0,0,1.530451561275627
14,13,1.0,0,0,0,0,0,1.530451561275627
14,15,1.0,0,0,0,0,0,1.5317535141701168
15,14,1.0,0,0,0,0,0,1.5317535141701168
15,16,1.0,0,0,0,0,0,1.533118892673539
16,15,1.0,0,0,0,0,0,1.533118892673539
16,17,1.0,0,0,0,0,0,1.5317433507610712
17,16,1.0,0,0,0,0,0,1.5317433507610712
17,18,1.0,0,0,0,4,0,1.5039224628815142
18,17,1.0,0,0,0,4,0,1.5039224628815142
18,19,2.0,1,0,2,0,0,1.33778699042869
19,18,2.0,1,0,2,0,0,1.33778699042869
19,20,1.0,1,0,0,3,0,1.366232231662353
20,19,1.0,1,0,0,3,0,1.366232231662353
20,21,1.0,0,0,0,0,0,1.4349568118391134
21,20,1.0,0,0,0,0,0,1.4349568118391134
21,22,1.0,0,0,0,0,0,1.5330866108157524
22,21,1.0,0,0,0,0,0,1.5330866108157524
22,23,1.0,0,0,0,0,0,1.5313796857224387
23,22,1.0,0,0,0,0,0,1.5313796857224387
23,24,1.0,0,0,0,0,0,1.4208343764853584
24,23,1.0,0,0,0,0,0,1.4208343764853584
24,25,1.0,0,0,0,0,0,1.6157492419744017
25,24,1.0,0,0,0,0,0,1.6157492419744017
25,26,2.0,0,0,0,0,0,1.505549810156034
26,25,2.0,0,0,0,0,0,1.505549810156034
25,27,1.0,0,0,0,0,0,1.5036318242288818
27,25,1.0,0,0,0,0,0,1.5036318242288818
25,28,1.0,0,0,0,0,0,1.6244542537694635
28,25,1.0,0,0,0,0,0,1.6244542537694635
28,29,1.0,0,0,0,0,0,1.4135690531662486
29,28,1.0,0,0,0,0,0,1.4135690531662486
29,30,1.0,0,0,0,0,0,1.5322302942759087
30,29,1.0,0,0,0,0,0,1.5322302942759087
30,31,1.0,0,0,0,0,0,1.5505861461088368
31,30,1.0,0,0,0,0,0,1.5505861461088368
31,32,1.0,0,0,0,0,0,1.5273447779243503
32,31,1.0,0,0,0,0,0,1.5273447779243503
31,33,1.0,0,0,0,0,0,1.5195288695904998
33,31,1.0,0,0,0,0,0,1.5195288695904998
31,34,1.0,0,0,0,0,0,1.521262695803515
34,31,1.0,0,0,0,0,0,1.521262695803515
22,35,1.0,0,0,0,0,0,1.4482094719620855
35,22,1.0,0,0,0,0,0,1.4482094719620855
35,36,1.0,1,0,0,0,0,1.3560615653801977
36,35,1.0,1,0,0,0,0,1.3560615653801977
36,37,2.0,1,0,0,0,0,1.2235390684699992
37,36,2.0,1,0,0,0,0,1.2235390684699992
36,38,1.0,0,0,0,0,0,1.509318296154192
38,36,1.0,0,0,0,0,0,1.509318296154192
38,39,1.0,0,0,0,0,0,1.5265701850653404
39,38,1.0,0,0,0,0,0,1.5265701850653404
39,40,1.0,0,0,0,0,0,1.5302793501660321
40,39,1.0,0,0,0,0,0,1.5302793501660321
40,41,1.0,0,0,0,0,0,1.5303866166073594
41,40,1.0,0,0,0,0,0,1.5303866166073594
41,42,1.0,0,0,0,0,0,1.5310163440872997
42,41,1.0,0,0,0,0,0,1.5310163440872997
42,43,1.0,0,0,0,0,0,1.53181350257493
43,42,1.0,0,0,0,0,0,1.53181350257493
43,44,1.0,0,0,0,0,0,1.5311983220492045
44,43,1.0,0,0,0,0,0,1.5311983220492045
44,45,1.0,0,0,0,0,0,1.5315579621171298
45,44,1.0,0,0,0,0,0,1.5315579621171298
45,46,1.0,0,0,0,0,0,1.531497042676257
46,45,1.0,0,0,0,0,0,1.531497042676257
46,47,1.0,0,0,0,0,0,1.531111068191052
47,46,1.0,0,0,0,0,0,1.531111068191052
47,48,1.0,0,0,0,0,0,1.5317391554228919
48,47,1.0,0,0,0,0,0,1.5317391554228919
48,49,1.0,0,0,0,0,0,1.5310653031190151
49,48,1.0,0,0,0,0,0,1.5310653031190151
49,50,1.0,0,0,0,0,0,1.5304859393652204
50,49,1.0,0,0,0,0,0,1.5304859393652204
50,51,1.0,0,0,0,0,0,1.5301332219211565
51,50,1.0,0,0,0,0,0,1.5301332219211565
51,52,1.0,0,0,0,0,0,1.5211197340422609
52,51,1.0,0,0,0,0,0,1.5211197340422609
