atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.02564102564102564
2,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.05128205128205128
3,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.07692307692307693
4,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.10256410256410256
5,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.1282051282051282
6,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.15384615384615385
7,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536,0.1794871794871795
8,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911572,0.20512820512820512
9,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.23076923076923078
10,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278910546,0.2564102564102564
11,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278352274,0.28205128205128205
12,6,0,2,4,0,0,0,0,2,12.011,-0.05330597131921655,0.3076923076923077
13,6,0,2,4,0,0,0,0,2,12.011,-0.05330578769317132,0.3333333333333333
14,6,0,2,4,0,0,0,0,2,12.011,-0.05329500718219151,0.358974358974359
15,6,0,2,4,0,0,0,0,2,12.011,-0.053008963417219064,0.38461538461538464
16,6,0,2,4,0,0,0,0,2,12.011,-0.04970090258298738,0.41025641025641024
17,6,0,2,4,0,0,0,0,2,12.011,-0.031756500316899916,0.4358974358974359
18,6,0,2,3,0,0,0,0,1,12.011,-0.04984101624423636,0.46153846153846156
19,6,0,2,3,0,0,0,0,1,12.011,0.0790670855372199,0.48717948717948717
20,8,0,2,3,0,0,0,0,0,15.999,-0.4975682003264012,0.5128205128205128
21,6,0,2,4,0,0,0,0,2,12.011,0.12655687064350438,0.5384615384615384
22,6,0,3,4,0,0,2,1,1,12.011,0.1592489388377235,0.5641025641025641
23,6,0,2,4,0,0,0,0,2,12.011,0.09569907683484018,0.5897435897435898
24,8,0,2,4,0,0,0,0,0,15.999,-0.3143765936084576,0.6153846153846154
25,15,0,4,4,0,0,0,1,0,30.974,0.267712870347557,0.6410256410256411
26,8,0,1,3,0,0,0,0,0,15.999,-0.2763272628193479,0.6666666666666666
27,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385700664,0.6666666666666666
28,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532908261,0.6666666666666666
29,6,0,2,4,0,0,0,0,2,12.011,0.10428433404346389,0.6923076923076923
30,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.717948717948718
31,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.7435897435897436
32,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7692307692307693
33,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7692307692307693
34,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7692307692307693
35,8,0,2,3,0,0,0,0,0,15.999,-0.45622360756917085,0.5897435897435898
36,6,0,3,3,0,0,0,0,0,12.011,0.3057657846138977,0.6153846153846154
37,8,0,1,3,0,0,0,0,0,15.999,-0.2522843370963475,0.6410256410256411
38,6,0,2,4,0,0,0,0,2,12.011,0.04551623824227481,0.6410256410256411
39,6,0,2,4,0,0,0,0,2,12.011,-0.04278311907950519,0.6666666666666666
40,6,0,2,4,0,0,0,0,2,12.011,-0.052748007293630376,0.6923076923076923
41,6,0,2,4,0,0,0,0,2,12.011,-0.05329057095479251,0.717948717948718
42,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236084003,0.7435897435897436
43,6,0,2,4,0,0,0,0,2,12.011,-0.053305971184599135,0.7692307692307693
44,6,0,2,4,0,0,0,0,2,12.011,-0.053305972783275674,0.7948717948717948
45,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789114885,0.8205128205128205
46,6,0,2,4,0,0,0,0,2,12.011,-0.05330597279436938,0.8461538461538461
47,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8717948717948718
48,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.8974358974358975
49,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9230769230769231
50,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9487179487179487
51,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9743589743589743
52,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
