atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238175449311,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171482041511185,0.02857142857142857
2,6,0,2,4,0,0,0,0,2,12.011,-0.05355769374956196,0.05714285714285714
3,6,0,2,4,0,0,0,0,2,12.011,-0.05302112295305338,0.08571428571428572
4,6,0,2,4,0,0,0,0,2,12.011,-0.04982518931521081,0.11428571428571428
5,6,0,2,4,0,0,0,0,2,12.011,-0.03507346876911375,0.14285714285714285
6,6,0,2,3,0,0,0,0,1,12.011,-0.08853928216145976,0.17142857142857143
7,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614781,0.2
8,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461365,0.22857142857142856
9,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592,0.2571428571428571
10,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096471874,0.2857142857142857
11,6,0,2,4,0,0,0,0,2,12.011,-0.0532796220319439,0.3142857142857143
12,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226163418,0.34285714285714286
13,6,0,2,4,0,0,0,0,2,12.011,-0.0427831176093492,0.37142857142857144
14,6,0,2,4,0,0,0,0,2,12.011,0.04551623833314572,0.4
15,6,0,3,3,0,0,0,0,0,12.011,0.3057658044200764,0.42857142857142855
16,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973,0.45714285714285713
17,8,0,2,3,0,0,0,0,0,15.999,-0.45622082289612587,0.45714285714285713
18,6,0,3,4,0,0,2,1,1,12.011,0.15940082766407826,0.4857142857142857
19,6,0,2,4,0,0,0,0,2,12.011,0.13055430787945388,0.5142857142857142
20,8,0,2,3,0,0,0,0,0,15.999,-0.46162819380772513,0.5428571428571428
21,6,0,3,3,0,0,0,0,0,12.011,0.30541557297049465,0.5714285714285714
22,8,0,1,3,0,0,0,0,0,15.999,-0.2522976415584404,0.6
23,6,0,2,4,0,0,0,0,2,12.011,0.045503081087020676,0.6
24,6,0,2,4,0,0,0,0,2,12.011,-0.04278333797097075,0.6285714285714286
25,6,0,2,4,0,0,0,0,2,12.011,-0.052748008993202346,0.6571428571428571
26,6,0,2,4,0,0,0,0,2,12.011,-0.0532905709611763,0.6857142857142857
27,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236085166,0.7142857142857143
28,6,0,2,4,0,0,0,0,2,12.011,-0.05330597118459915,0.7428571428571429
29,6,0,2,4,0,0,0,0,2,12.011,-0.053305972783275674,0.7714285714285715
30,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789114885,0.8
31,6,0,2,4,0,0,0,0,2,12.011,-0.05330597279436938,0.8285714285714286
32,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8571428571428571
33,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.8857142857142857
34,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9142857142857143
35,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9428571428571428
36,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9714285714285714
37,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
38,6,0,2,4,0,0,0,0,2,12.011,0.09570182344250244,0.5142857142857142
39,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218,0.5428571428571428
40,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134,0.5714285714285714
41,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995,0.6
42,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724,0.6
43,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322,0.6
44,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464,0.6285714285714286
45,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.6571428571428571
46,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.6857142857142857
47,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7142857142857143
48,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7142857142857143
49,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7142857142857143
