atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.15940082766407826
1,6,0,2,4,0,0,0,0,2,12.011,0.09570182344250244
2,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218
3,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134
4,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724
6,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322
7,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464
8,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672
9,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
13,8,0,2,3,0,0,0,0,0,15.999,-0.45622082289612587
14,6,0,3,3,0,0,0,0,0,12.011,0.3057658044200657
15,6,0,2,4,0,0,0,0,2,12.011,0.0455162383275398
16,6,0,2,4,0,0,0,0,2,12.011,-0.04278311907374904
17,6,0,2,4,0,0,0,0,2,12.011,-0.05274800582384497
18,6,0,2,4,0,0,0,0,2,12.011,-0.05329038592234366
19,6,0,2,4,0,0,0,0,2,12.011,-0.05329480343576252
20,6,0,2,4,0,0,0,0,2,12.011,-0.05301106192019908
21,6,0,2,4,0,0,0,0,2,12.011,-0.049825017024896695
22,6,0,2,4,0,0,0,0,2,12.011,-0.03507346739045196
23,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215615837
24,6,0,2,3,0,0,0,0,1,12.011,-0.08853928216145977
25,6,0,2,4,0,0,0,0,2,12.011,-0.03507346876911375
26,6,0,2,4,0,0,0,0,2,12.011,-0.04982518931521081
27,6,0,2,4,0,0,0,0,2,12.011,-0.05302112295305338
28,6,0,2,4,0,0,0,0,2,12.011,-0.05355769374956196
29,6,0,2,4,0,0,0,0,2,12.011,-0.056171482041511185
30,6,0,1,4,0,0,0,0,3,12.011,-0.06538238175449311
31,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973
32,6,0,2,4,0,0,0,0,2,12.011,0.13055430787945388
33,8,0,2,3,0,0,0,0,0,15.999,-0.46162819380772513
34,6,0,3,3,0,0,0,0,0,12.011,0.30541557297049465
35,6,0,2,4,0,0,0,0,2,12.011,0.04550308108703098
36,6,0,2,4,0,0,0,0,2,12.011,-0.042783337965376825
37,6,0,2,4,0,0,0,0,2,12.011,-0.0527480075234171
38,6,0,2,4,0,0,0,0,2,12.011,-0.05329038592872746
39,6,0,2,4,0,0,0,0,2,12.011,-0.05329480343577415
40,6,0,2,4,0,0,0,0,2,12.011,-0.053011061920199096
41,6,0,2,4,0,0,0,0,2,12.011,-0.049825017024896695
42,6,0,2,4,0,0,0,0,2,12.011,-0.03507346739045196
43,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215615837
44,6,0,2,3,0,0,0,0,1,12.011,-0.08853928216145977
45,6,0,2,4,0,0,0,0,2,12.011,-0.03507346876911375
46,6,0,2,4,0,0,0,0,2,12.011,-0.04982518931521081
47,6,0,2,4,0,0,0,0,2,12.011,-0.05302112295305338
48,6,0,2,4,0,0,0,0,2,12.011,-0.05355769374956196
49,6,0,2,4,0,0,0,0,2,12.011,-0.056171482041511185
50,6,0,1,4,0,0,0,0,3,12.011,-0.06538238175449311
51,8,0,1,3,0,0,0,0,0,15.999,-0.2522976415584404
