source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5202771487072086
1,0,1.0,0,0,0,0,0,1.5202771487072086
1,2,1.0,0,0,0,0,0,1.5297400744627012
2,1,1.0,0,0,0,0,0,1.5297400744627012
2,3,1.0,0,0,0,0,0,1.532213780019489
3,2,1.0,0,0,0,0,0,1.532213780019489
3,4,1.0,0,0,0,0,0,1.5311047569335905
4,3,1.0,0,0,0,0,0,1.5311047569335905
4,5,1.0,0,0,0,4,0,1.5021962214408124
5,4,1.0,0,0,0,4,0,1.5021962214408124
5,6,2.0,0,0,2,0,0,1.3435828689775164
6,5,2.0,0,0,2,0,0,1.3435828689775164
6,7,1.0,0,0,0,3,0,1.50217561953052
7,6,1.0,0,0,0,3,0,1.50217561953052
7,8,1.0,0,0,0,4,0,1.5024904769363332
8,7,1.0,0,0,0,4,0,1.5024904769363332
8,9,2.0,0,0,2,0,0,1.3439196653211174
9,8,2.0,0,0,2,0,0,1.3439196653211174
9,10,1.0,0,0,0,3,0,1.5027434932226138
10,9,1.0,0,0,0,3,0,1.5027434932226138
10,11,1.0,0,0,0,0,0,1.5321785731649802
11,10,1.0,0,0,0,0,0,1.5321785731649802
11,12,1.0,0,0,0,0,0,1.5324357388410903
12,11,1.0,0,0,0,0,0,1.5324357388410903
12,13,1.0,0,0,0,0,0,1.5315742002082586
13,12,1.0,0,0,0,0,0,1.5315742002082586
13,14,1.0,0,0,0,0,0,1.530652941156273
14,13,1.0,0,0,0,0,0,1.530652941156273
14,15,1.0,0,0,0,0,0,1.532166996367841
15,14,1.0,0,0,0,0,0,1.532166996367841
15,16,1.0,0,0,0,0,0,1.5317933548509273
16,15,1.0,0,0,0,0,0,1.5317933548509273
16,17,1.0,0,0,0,0,0,1.530894566274452
17,16,1.0,0,0,0,0,0,1.530894566274452
17,18,1.0,0,0,0,0,0,1.530908453660442
18,17,1.0,0,0,0,0,0,1.530908453660442
18,19,1.0,0,0,0,0,0,1.5317176297165833
19,18,1.0,0,0,0,0,0,1.5317176297165833
19,20,1.0,0,0,0,0,0,1.5256993819528173
20,19,1.0,0,0,0,0,0,1.5256993819528173
20,21,1.0,0,0,0,0,0,1.509054770879503
21,20,1.0,0,0,0,0,0,1.509054770879503
21,22,2.0,1,0,0,0,0,1.2232770119062355
22,21,2.0,1,0,0,0,0,1.2232770119062355
21,23,1.0,1,0,0,0,0,1.3604766170730582
23,21,1.0,1,0,0,0,0,1.3604766170730582
23,24,1.0,0,0,0,0,0,1.4371915384381189
24,23,1.0,0,0,0,0,0,1.4371915384381189
24,25,1.0,0,0,0,0,0,1.534978614299289
25,24,1.0,0,0,0,0,0,1.534978614299289
25,26,1.0,0,0,0,0,0,1.5341490293104816
26,25,1.0,0,0,0,0,0,1.5341490293104816
26,27,1.0,0,0,0,0,0,1.4359449791564631
27,26,1.0,0,0,0,0,0,1.4359449791564631
27,28,1.0,1,0,0,0,0,1.3599995141874226
28,27,1.0,1,0,0,0,0,1.3599995141874226
28,29,2.0,1,0,0,0,0,1.2233456377854202
29,28,2.0,1,0,0,0,0,1.2233456377854202
28,30,1.0,0,0,0,0,0,1.5081951994716591
30,28,1.0,0,0,0,0,0,1.5081951994716591
30,31,1.0,0,0,0,0,0,1.5259351886136248
31,30,1.0,0,0,0,0,0,1.5259351886136248
31,32,1.0,0,0,0,0,0,1.5318292148774146
32,31,1.0,0,0,0,0,0,1.5318292148774146
32,33,1.0,0,0,0,0,0,1.5316846831305544
33,32,1.0,0,0,0,0,0,1.5316846831305544
33,34,1.0,0,0,0,0,0,1.5308897086926387
34,33,1.0,0,0,0,0,0,1.5308897086926387
34,35,1.0,0,0,0,0,0,1.5322393702709198
35,34,1.0,0,0,0,0,0,1.5322393702709198
35,36,1.0,0,0,0,0,0,1.5311212526313993
36,35,1.0,0,0,0,0,0,1.5311212526313993
36,37,1.0,0,0,0,0,0,1.531028411561484
37,36,1.0,0,0,0,0,0,1.531028411561484
37,38,1.0,0,0,0,0,0,1.5312322890099501
38,37,1.0,0,0,0,0,0,1.5312322890099501
38,39,1.0,0,0,0,0,0,1.5293300242256784
39,38,1.0,0,0,0,0,0,1.5293300242256784
39,40,1.0,0,0,0,0,0,1.5202486911074917
40,39,1.0,0,0,0,0,0,1.5202486911074917
25,41,1.0,0,0,0,0,0,1.4470307793747006
41,25,1.0,0,0,0,0,0,1.4470307793747006
41,42,1.0,1,0,0,0,0,1.360249646754614
42,41,1.0,1,0,0,0,0,1.360249646754614
42,43,2.0,1,0,0,0,0,1.222686233488411
43,42,2.0,1,0,0,0,0,1.222686233488411
42,44,1.0,0,0,0,0,0,1.509484160736062
44,42,1.0,0,0,0,0,0,1.509484160736062
44,45,1.0,0,0,0,0,0,1.5268712253315058
45,44,1.0,0,0,0,0,0,1.5268712253315058
45,46,1.0,0,0,0,0,0,1.5321941001046417
46,45,1.0,0,0,0,0,0,1.5321941001046417
46,47,1.0,0,0,0,0,0,1.5311039130864004
47,46,1.0,0,0,0,0,0,1.5311039130864004
47,48,1.0,0,0,0,0,0,1.5312702032299084
48,47,1.0,0,0,0,0,0,1.5312702032299084
48,49,1.0,0,0,0,0,0,1.5313778065788077
49,48,1.0,0,0,0,0,0,1.5313778065788077
49,50,1.0,0,0,0,0,0,1.5313477067528791
50,49,1.0,0,0,0,0,0,1.5313477067528791
50,51,1.0,0,0,0,0,0,1.5311981700197017
51,50,1.0,0,0,0,0,0,1.5311981700197017
51,52,1.0,0,0,0,0,0,1.5314269792589073
52,51,1.0,0,0,0,0,0,1.5314269792589073
52,53,1.0,0,0,0,0,0,1.5320155672822278
53,52,1.0,0,0,0,0,0,1.5320155672822278
53,54,1.0,0,0,0,0,0,1.530216416005694
54,53,1.0,0,0,0,0,0,1.530216416005694
54,55,1.0,0,0,0,0,0,1.520338834237743
55,54,1.0,0,0,0,0,0,1.520338834237743
