source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5209079628845532
1,0,1.0,0,0,0,0,0,1.5209079628845532
1,2,1.0,0,0,0,0,0,1.5302451594764528
2,1,1.0,0,0,0,0,0,1.5302451594764528
2,3,1.0,0,0,0,0,0,1.5316730211963163
3,2,1.0,0,0,0,0,0,1.5316730211963163
3,4,1.0,0,0,0,0,0,1.5319594662576859
4,3,1.0,0,0,0,0,0,1.5319594662576859
4,5,1.0,0,0,0,0,0,1.531193407616691
5,4,1.0,0,0,0,0,0,1.531193407616691
5,6,1.0,0,0,0,0,0,1.5318791024907232
6,5,1.0,0,0,0,0,0,1.5318791024907232
6,7,1.0,0,0,0,0,0,1.5311117991002365
7,6,1.0,0,0,0,0,0,1.5311117991002365
7,8,1.0,0,0,0,0,0,1.5311152898197
8,7,1.0,0,0,0,0,0,1.5311152898197
8,9,1.0,0,0,0,0,0,1.5316457787015985
9,8,1.0,0,0,0,0,0,1.5316457787015985
9,10,1.0,0,0,0,0,0,1.5303756075550876
10,9,1.0,0,0,0,0,0,1.5303756075550876
10,11,1.0,0,0,0,0,0,1.5316455420610193
11,10,1.0,0,0,0,0,0,1.5316455420610193
11,12,1.0,0,0,0,0,0,1.5312233784123213
12,11,1.0,0,0,0,0,0,1.5312233784123213
12,13,1.0,0,0,0,0,0,1.532217590526675
13,12,1.0,0,0,0,0,0,1.532217590526675
13,14,1.0,0,0,0,0,0,1.5310831641527893
14,13,1.0,0,0,0,0,0,1.5310831641527893
14,15,1.0,0,0,0,0,0,1.5318440700744145
15,14,1.0,0,0,0,0,0,1.5318440700744145
15,16,1.0,0,0,0,0,0,1.5280015048977558
16,15,1.0,0,0,0,0,0,1.5280015048977558
16,17,1.0,0,0,0,0,0,1.5122083760446583
17,16,1.0,0,0,0,0,0,1.5122083760446583
17,18,2.0,1,0,0,0,0,1.2248754709281937
18,17,2.0,1,0,0,0,0,1.2248754709281937
17,19,1.0,1,0,0,0,0,1.358667660524275
19,17,1.0,1,0,0,0,0,1.358667660524275
19,20,1.0,0,0,0,0,0,1.4403173544591308
20,19,1.0,0,0,0,0,0,1.4403173544591308
20,21,1.0,0,0,0,0,0,1.5339924086655836
21,20,1.0,0,0,0,0,0,1.5339924086655836
21,22,1.0,0,0,0,0,0,1.5315461362077842
22,21,1.0,0,0,0,0,0,1.5315461362077842
22,23,1.0,0,0,0,0,0,1.419605163364136
23,22,1.0,0,0,0,0,0,1.419605163364136
23,24,1.0,0,0,0,0,0,1.6203531652849699
24,23,1.0,0,0,0,0,0,1.6203531652849699
24,25,2.0,0,0,0,0,0,1.504188319719727
25,24,2.0,0,0,0,0,0,1.504188319719727
24,26,1.0,0,0,0,0,0,1.502179606819854
26,24,1.0,0,0,0,0,0,1.502179606819854
24,27,1.0,0,0,0,0,0,1.6260277697618424
27,24,1.0,0,0,0,0,0,1.6260277697618424
27,28,1.0,0,0,0,0,0,1.4140580811936834
28,27,1.0,0,0,0,0,0,1.4140580811936834
28,29,1.0,0,0,0,0,0,1.5288697154628599
29,28,1.0,0,0,0,0,0,1.5288697154628599
29,30,1.0,0,0,0,0,0,1.5534921990985076
30,29,1.0,0,0,0,0,0,1.5534921990985076
30,31,1.0,0,0,0,0,0,1.5243433254177006
31,30,1.0,0,0,0,0,0,1.5243433254177006
30,32,1.0,0,0,0,0,0,1.520152696508342
32,30,1.0,0,0,0,0,0,1.520152696508342
30,33,1.0,0,0,0,0,0,1.5213881453344125
33,30,1.0,0,0,0,0,0,1.5213881453344125
21,34,1.0,0,0,0,0,0,1.4474112988881522
34,21,1.0,0,0,0,0,0,1.4474112988881522
34,35,1.0,1,0,0,0,0,1.3583066329772526
35,34,1.0,1,0,0,0,0,1.3583066329772526
35,36,2.0,1,0,0,0,0,1.2250729061312822
36,35,2.0,1,0,0,0,0,1.2250729061312822
35,37,1.0,0,0,0,0,0,1.5102674529251943
37,35,1.0,0,0,0,0,0,1.5102674529251943
37,38,1.0,0,0,0,0,0,1.5271736969560181
38,37,1.0,0,0,0,0,0,1.5271736969560181
38,39,1.0,0,0,0,0,0,1.532768179815836
39,38,1.0,0,0,0,0,0,1.532768179815836
39,40,1.0,0,0,0,0,0,1.5314423976333196
40,39,1.0,0,0,0,0,0,1.5314423976333196
40,41,1.0,0,0,0,0,0,1.5317465768922152
41,40,1.0,0,0,0,0,0,1.5317465768922152
41,42,1.0,0,0,0,0,0,1.5310352942300336
42,41,1.0,0,0,0,0,0,1.5310352942300336
42,43,1.0,0,0,0,0,0,1.5311823287754254
43,42,1.0,0,0,0,0,0,1.5311823287754254
43,44,1.0,0,0,0,0,0,1.5312831388547274
44,43,1.0,0,0,0,0,0,1.5312831388547274
44,45,1.0,0,0,0,0,0,1.530536652888457
45,44,1.0,0,0,0,0,0,1.530536652888457
45,46,1.0,0,0,0,0,0,1.5311833366359355
46,45,1.0,0,0,0,0,0,1.5311833366359355
46,47,1.0,0,0,0,0,0,1.5298002051811144
47,46,1.0,0,0,0,0,0,1.5298002051811144
47,48,1.0,0,0,0,0,0,1.5205475092274994
48,47,1.0,0,0,0,0,0,1.5205475092274994
