source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520804085948149
1,0,1.0,0,0,0,0,0,1.520804085948149
1,2,1.0,0,0,0,4,0,1.501641036511077
2,1,1.0,0,0,0,4,0,1.501641036511077
2,3,2.0,0,0,2,0,0,1.3437714159341003
3,2,2.0,0,0,2,0,0,1.3437714159341003
3,4,1.0,0,0,0,3,0,1.501427517692845
4,3,1.0,0,0,0,3,0,1.501427517692845
4,5,1.0,0,0,0,4,0,1.5011541018768861
5,4,1.0,0,0,0,4,0,1.5011541018768861
5,6,2.0,0,0,2,0,0,1.3439390478214774
6,5,2.0,0,0,2,0,0,1.3439390478214774
6,7,1.0,0,0,0,3,0,1.5009939936624568
7,6,1.0,0,0,0,3,0,1.5009939936624568
7,8,1.0,0,0,0,4,0,1.501534251540774
8,7,1.0,0,0,0,4,0,1.501534251540774
8,9,2.0,0,0,2,0,0,1.344337608957851
9,8,2.0,0,0,2,0,0,1.344337608957851
9,10,1.0,0,0,0,3,0,1.5008598558592778
10,9,1.0,0,0,0,3,0,1.5008598558592778
10,11,1.0,0,0,0,4,0,1.501127834872572
11,10,1.0,0,0,0,4,0,1.501127834872572
11,12,2.0,0,0,2,0,0,1.3440241981806156
12,11,2.0,0,0,2,0,0,1.3440241981806156
12,13,1.0,0,0,0,3,0,1.5012500224614747
13,12,1.0,0,0,0,3,0,1.5012500224614747
13,14,1.0,0,0,0,4,0,1.502167326523867
14,13,1.0,0,0,0,4,0,1.502167326523867
14,15,2.0,0,0,2,0,0,1.3445098500896713
15,14,2.0,0,0,2,0,0,1.3445098500896713
15,16,1.0,0,0,0,3,0,1.5027467979604712
16,15,1.0,0,0,0,3,0,1.5027467979604712
16,17,1.0,0,0,0,4,0,1.502755071918407
17,16,1.0,0,0,0,4,0,1.502755071918407
17,18,2.0,0,0,2,0,0,1.343849004277783
18,17,2.0,0,0,2,0,0,1.343849004277783
18,19,1.0,0,0,0,3,0,1.5043572957380906
19,18,1.0,0,0,0,3,0,1.5043572957380906
19,20,1.0,0,0,0,0,0,1.525265294094543
20,19,1.0,0,0,0,0,0,1.525265294094543
20,21,1.0,0,0,0,0,0,1.5078583988072427
21,20,1.0,0,0,0,0,0,1.5078583988072427
21,22,2.0,1,0,0,0,0,1.2239068050964441
22,21,2.0,1,0,0,0,0,1.2239068050964441
21,23,1.0,1,0,0,0,0,1.358899829051479
23,21,1.0,1,0,0,0,0,1.358899829051479
23,24,1.0,0,0,0,0,0,1.44085514238797
24,23,1.0,0,0,0,0,0,1.44085514238797
24,25,1.0,0,0,0,0,0,1.5363421614551238
25,24,1.0,0,0,0,0,0,1.5363421614551238
25,26,1.0,0,0,0,0,0,1.5309062482205171
26,25,1.0,0,0,0,0,0,1.5309062482205171
26,27,1.0,0,0,0,0,0,1.4173960271712054
27,26,1.0,0,0,0,0,0,1.4173960271712054
27,28,1.0,0,0,0,0,0,1.6169729872349454
28,27,1.0,0,0,0,0,0,1.6169729872349454
28,29,2.0,0,0,0,0,0,1.5053935470810278
29,28,2.0,0,0,0,0,0,1.5053935470810278
28,30,1.0,0,0,0,0,0,1.5026425120266502
30,28,1.0,0,0,0,0,0,1.5026425120266502
28,31,1.0,0,0,0,0,0,1.626109042762789
31,28,1.0,0,0,0,0,0,1.626109042762789
31,32,1.0,0,0,0,0,0,1.4135796127394222
32,31,1.0,0,0,0,0,0,1.4135796127394222
32,33,1.0,0,0,0,0,0,1.5310686441490517
33,32,1.0,0,0,0,0,0,1.5310686441490517
33,34,1.0,0,0,0,0,0,1.552729751297763
34,33,1.0,0,0,0,0,0,1.552729751297763
34,35,1.0,0,0,0,0,0,1.5207831183653366
35,34,1.0,0,0,0,0,0,1.5207831183653366
34,36,1.0,0,0,0,0,0,1.5227776165466795
36,34,1.0,0,0,0,0,0,1.5227776165466795
