atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.15940082767013244
1,6,0,2,4,0,0,0,0,2,12.011,0.09570182344251449
2,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218
3,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134
4,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724
6,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322
7,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464
8,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672
9,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
13,8,0,2,3,0,0,0,0,0,15.999,-0.4562208218232508
14,6,0,3,3,0,0,0,0,0,12.011,0.30576599878905203
15,6,0,2,4,0,0,0,0,2,12.011,0.04552719488139171
16,6,0,2,4,0,0,0,0,2,12.011,-0.04248833085559598
17,6,0,2,4,0,0,0,0,2,12.011,-0.04926709579389136
18,6,0,2,4,0,0,0,0,2,12.011,-0.035058051378483855
19,6,0,2,3,0,0,0,0,1,12.011,-0.08853905823788917
20,6,0,2,3,0,0,0,0,1,12.011,-0.08853928056118657
21,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738462989
22,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703072688
23,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352471906
24,6,0,2,4,0,0,0,0,2,12.011,-0.05329502386403185
25,6,0,2,4,0,0,0,0,2,12.011,-0.05330578776189923
26,6,0,2,4,0,0,0,0,2,12.011,-0.05330597269605193
27,6,0,2,4,0,0,0,0,2,12.011,-0.053306145057550984
28,6,0,2,4,0,0,0,0,2,12.011,-0.0533160322698448
29,6,0,2,4,0,0,0,0,2,12.011,-0.0535686427246432
30,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
31,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
32,8,0,1,3,0,0,0,0,0,15.999,-0.25228433529398364
33,6,0,2,4,0,0,0,0,2,12.011,0.1305543078855065
34,8,0,2,3,0,0,0,0,0,15.999,-0.46162819273494965
35,6,0,3,3,0,0,0,0,0,12.011,0.30541576733926395
36,6,0,2,4,0,0,0,0,2,12.011,0.0455140376430642
37,6,0,2,4,0,0,0,0,2,12.011,-0.0424885497471091
38,6,0,2,4,0,0,0,0,2,12.011,-0.04926709749362482
39,6,0,2,4,0,0,0,0,2,12.011,-0.0350580513848772
40,6,0,2,3,0,0,0,0,1,12.011,-0.08853905823790092
41,6,0,2,3,0,0,0,0,1,12.011,-0.0885392805611866
42,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738462989
43,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703072688
44,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352471906
45,6,0,2,4,0,0,0,0,2,12.011,-0.05329502386403185
46,6,0,2,4,0,0,0,0,2,12.011,-0.05330578776189923
47,6,0,2,4,0,0,0,0,2,12.011,-0.05330597269605193
48,6,0,2,4,0,0,0,0,2,12.011,-0.053306145057550984
49,6,0,2,4,0,0,0,0,2,12.011,-0.0533160322698448
50,6,0,2,4,0,0,0,0,2,12.011,-0.0535686427246432
51,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
52,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
53,8,0,1,3,0,0,0,0,0,15.999,-0.2522976398393695
