source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5203867504764552
1,0,1.0,0,0,0,0,0,1.5203867504764552
1,2,1.0,0,0,0,0,0,1.5309920173910176
2,1,1.0,0,0,0,0,0,1.5309920173910176
2,3,1.0,0,0,0,0,0,1.531734831530617
3,2,1.0,0,0,0,0,0,1.531734831530617
3,4,1.0,0,0,0,4,0,1.5025684513203668
4,3,1.0,0,0,0,4,0,1.5025684513203668
4,5,2.0,0,0,2,0,0,1.3430410064013156
5,4,2.0,0,0,2,0,0,1.3430410064013156
5,6,1.0,0,0,0,3,0,1.5029434255625165
6,5,1.0,0,0,0,3,0,1.5029434255625165
6,7,1.0,0,0,0,0,0,1.5322910783600268
7,6,1.0,0,0,0,0,0,1.5322910783600268
7,8,1.0,0,0,0,0,0,1.5334920685081423
8,7,1.0,0,0,0,0,0,1.5334920685081423
8,9,1.0,0,0,0,0,0,1.5317128746176896
9,8,1.0,0,0,0,0,0,1.5317128746176896
9,10,1.0,0,0,0,0,0,1.5317851840000292
10,9,1.0,0,0,0,0,0,1.5317851840000292
10,11,1.0,0,0,0,0,0,1.5325560247162358
11,10,1.0,0,0,0,0,0,1.5325560247162358
11,12,1.0,0,0,0,0,0,1.53071384211852
12,11,1.0,0,0,0,0,0,1.53071384211852
12,13,1.0,0,0,0,0,0,1.5328820488317558
13,12,1.0,0,0,0,0,0,1.5328820488317558
13,14,1.0,0,0,0,0,0,1.527499962579802
14,13,1.0,0,0,0,0,0,1.527499962579802
14,15,1.0,0,0,0,0,0,1.5098700180082802
15,14,1.0,0,0,0,0,0,1.5098700180082802
15,16,2.0,1,0,0,0,0,1.2228152524110791
16,15,2.0,1,0,0,0,0,1.2228152524110791
15,17,1.0,1,0,0,0,0,1.3614012868119807
17,15,1.0,1,0,0,0,0,1.3614012868119807
17,18,1.0,0,0,0,0,0,1.438293688382638
18,17,1.0,0,0,0,0,0,1.438293688382638
18,19,1.0,0,0,0,0,0,1.5346061417794323
19,18,1.0,0,0,0,0,0,1.5346061417794323
19,20,1.0,0,0,0,0,0,1.5331622907467033
20,19,1.0,0,0,0,0,0,1.5331622907467033
20,21,1.0,0,0,0,0,0,1.4207113144100545
21,20,1.0,0,0,0,0,0,1.4207113144100545
21,22,1.0,0,0,0,0,0,1.6047149703532857
22,21,1.0,0,0,0,0,0,1.6047149703532857
22,23,2.0,0,0,0,0,0,1.4917202084959418
23,22,2.0,0,0,0,0,0,1.4917202084959418
22,24,1.0,0,0,0,0,0,1.6009110359826249
24,22,1.0,0,0,0,0,0,1.6009110359826249
22,25,1.0,0,0,0,0,0,1.602924506631823
25,22,1.0,0,0,0,0,0,1.602924506631823
25,26,1.0,0,0,0,0,0,1.4206914247002682
26,25,1.0,0,0,0,0,0,1.4206914247002682
26,27,1.0,0,0,0,0,0,1.5292687327664514
27,26,1.0,0,0,0,0,0,1.5292687327664514
27,28,1.0,0,0,0,0,0,1.4629535103117077
28,27,1.0,0,0,0,0,0,1.4629535103117077
19,29,1.0,0,0,0,0,0,1.4462950967848678
29,19,1.0,0,0,0,0,0,1.4462950967848678
29,30,1.0,1,0,0,0,0,1.3606561190498616
30,29,1.0,1,0,0,0,0,1.3606561190498616
30,31,2.0,1,0,0,0,0,1.2231387670130227
31,30,2.0,1,0,0,0,0,1.2231387670130227
30,32,1.0,0,0,0,0,0,1.508035447320941
32,30,1.0,0,0,0,0,0,1.508035447320941
32,33,1.0,0,0,0,0,0,1.5266325198658843
33,32,1.0,0,0,0,0,0,1.5266325198658843
33,34,1.0,0,0,0,0,0,1.532127059080915
34,33,1.0,0,0,0,0,0,1.532127059080915
34,35,1.0,0,0,0,0,0,1.5313484567352496
35,34,1.0,0,0,0,0,0,1.5313484567352496
35,36,1.0,0,0,0,0,0,1.532951053608194
36,35,1.0,0,0,0,0,0,1.532951053608194
36,37,1.0,0,0,0,0,0,1.5319657993680404
37,36,1.0,0,0,0,0,0,1.5319657993680404
37,38,1.0,0,0,0,0,0,1.5317215590202766
38,37,1.0,0,0,0,0,0,1.5317215590202766
38,39,1.0,0,0,0,0,0,1.5326529058438478
39,38,1.0,0,0,0,0,0,1.5326529058438478
39,40,1.0,0,0,0,0,0,1.5318853269218327
40,39,1.0,0,0,0,0,0,1.5318853269218327
40,41,1.0,0,0,0,4,0,1.5028821476764296
41,40,1.0,0,0,0,4,0,1.5028821476764296
41,42,2.0,0,0,2,0,0,1.342931152746665
42,41,2.0,0,0,2,0,0,1.342931152746665
42,43,1.0,0,0,0,3,0,1.503192014544059
43,42,1.0,0,0,0,3,0,1.503192014544059
43,44,1.0,0,0,0,0,0,1.5315977190239374
44,43,1.0,0,0,0,0,0,1.5315977190239374
44,45,1.0,0,0,0,0,0,1.5307013430697505
45,44,1.0,0,0,0,0,0,1.5307013430697505
45,46,1.0,0,0,0,0,0,1.5204917682445074
46,45,1.0,0,0,0,0,0,1.5204917682445074
