atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278243,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057600655,0.024390243902439025
2,6,0,2,4,0,0,0,0,2,12.011,-0.05356864125486327,0.04878048780487805
3,6,0,2,4,0,0,0,0,2,12.011,-0.053315847237370526,0.07317073170731707
4,6,0,2,4,0,0,0,0,2,12.011,-0.053295196138035676,0.0975609756097561
5,6,0,2,4,0,0,0,0,2,12.011,-0.053011064901440766,0.12195121951219512
6,6,0,2,4,0,0,0,0,2,12.011,-0.049825017035991674,0.14634146341463414
7,6,0,2,4,0,0,0,0,2,12.011,-0.0350734673904721,0.17073170731707318
8,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.1951219512195122
9,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.21951219512195122
10,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444,0.24390243902439024
11,6,0,2,4,0,0,0,0,2,12.011,-0.049825017030737405,0.2682926829268293
12,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352471906,0.2926829268292683
13,6,0,2,4,0,0,0,0,2,12.011,-0.053295023864022184,0.3170731707317073
14,6,0,2,4,0,0,0,0,2,12.011,-0.053305787756645524,0.34146341463414637
15,6,0,2,4,0,0,0,0,2,12.011,-0.053305971319322555,0.36585365853658536
16,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727777437,0.3902439024390244
17,6,0,2,4,0,0,0,0,2,12.011,-0.05330597121777735,0.4146341463414634
18,6,0,2,4,0,0,0,0,2,12.011,-0.05330576107435888,0.43902439024390244
19,6,0,2,4,0,0,0,0,2,12.011,-0.05329166571213524,0.4634146341463415
20,6,0,2,4,0,0,0,0,2,12.011,-0.052812493042959416,0.4878048780487805
21,6,0,2,4,0,0,0,0,2,12.011,-0.044496077936315145,0.5121951219512195
22,6,0,2,4,0,0,0,0,2,12.011,0.0264765528518165,0.5365853658536586
23,6,0,3,3,0,0,0,0,0,12.011,0.21989207283979303,0.5609756097560976
24,8,0,1,3,0,0,0,0,0,15.999,-0.27513200731473714,0.5853658536585366
25,7,0,2,3,0,0,0,0,1,14.007,-0.3480887592649084,0.5853658536585366
26,6,0,3,4,0,0,1,1,1,12.011,0.08177399433033124,0.6097560975609756
27,6,0,2,4,0,0,0,0,2,12.011,0.07299893912976234,0.6341463414634146
28,8,0,2,4,0,0,0,0,0,15.999,-0.34762037025615145,0.6585365853658537
29,6,0,3,4,0,1,2,1,1,12.011,0.1862380142250809,0.6829268292682927
30,8,0,2,4,0,1,0,0,0,15.999,-0.34138449550769234,0.7073170731707317
31,6,0,3,4,0,1,2,1,1,12.011,0.11269233419823954,0.7317073170731707
32,6,0,2,4,0,0,0,0,2,12.011,0.07214473004254475,0.7560975609756098
33,8,0,1,4,0,0,0,0,1,15.999,-0.3935663177723411,0.7804878048780488
34,6,0,3,4,0,1,1,1,1,12.011,0.1178625930973918,0.7560975609756098
35,8,0,2,4,0,0,0,0,0,15.999,-0.34096587923322424,0.7804878048780488
36,6,0,3,4,0,1,2,1,1,12.011,0.18673230357903092,0.8048780487804879
37,8,0,2,4,0,1,0,0,0,15.999,-0.34138161319478516,0.8292682926829268
38,6,0,3,4,0,1,2,1,1,12.011,0.11228838668205322,0.8536585365853658
39,6,0,2,4,0,0,0,0,2,12.011,0.07213220456274412,0.8780487804878049
40,8,0,1,4,0,0,0,0,1,15.999,-0.39356651509080415,0.9024390243902439
41,6,0,3,4,0,1,1,1,1,12.011,0.11109641469960836,0.8780487804878049
42,8,0,1,4,0,0,0,0,1,15.999,-0.38749763316560615,0.9024390243902439
43,6,0,3,4,0,1,2,1,1,12.011,0.11334338603643229,0.8536585365853658
44,8,0,1,4,0,0,0,0,1,15.999,-0.3873949533853058,0.8780487804878049
45,6,0,3,4,0,1,2,1,1,12.011,0.1332677404665861,0.8292682926829268
46,8,0,1,4,0,0,0,0,1,15.999,-0.3849851034492053,0.8536585365853658
47,6,0,3,4,0,1,2,1,1,12.011,0.11374737527504422,0.7317073170731707
48,8,0,1,4,0,0,0,0,1,15.999,-0.3873821375298689,0.7560975609756098
49,6,0,3,4,0,1,1,1,1,12.011,0.1332649199442567,0.7073170731707317
50,8,0,1,4,0,0,0,0,1,15.999,-0.3849851419757993,0.7317073170731707
