atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06188591273721217,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.03792128052188181,0.023809523809523808
2,6,0,2,3,0,0,0,0,1,12.011,-0.08850169801815914,0.047619047619047616
3,6,0,2,3,0,0,0,0,1,12.011,-0.08476270749375747,0.07142857142857142
4,6,0,2,4,0,0,0,0,2,12.011,-0.016907502884977985,0.09523809523809523
5,6,0,2,3,0,0,0,0,1,12.011,-0.0844408768228585,0.11904761904761904
6,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523928351,0.14285714285714285
7,6,0,2,4,0,0,0,0,2,12.011,-0.016896067690804678,0.16666666666666666
8,6,0,2,3,0,0,0,0,1,12.011,-0.08444068375360139,0.19047619047619047
9,6,0,2,3,0,0,0,0,1,12.011,-0.08444068375360139,0.21428571428571427
10,6,0,2,4,0,0,0,0,2,12.011,-0.01689606769079498,0.23809523809523808
11,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523402892,0.2619047619047619
12,6,0,2,3,0,0,0,0,1,12.011,-0.0844408754091531,0.2857142857142857
13,6,0,2,4,0,0,0,0,2,12.011,-0.016907327115851963,0.30952380952380953
14,6,0,2,3,0,0,0,0,1,12.011,-0.08475223916903231,0.3333333333333333
15,6,0,2,3,0,0,0,0,1,12.011,-0.08821173650594126,0.35714285714285715
16,6,0,2,4,0,0,0,0,2,12.011,-0.03450404456334814,0.38095238095238093
17,6,0,2,4,0,0,0,0,2,12.011,-0.03930422303734627,0.40476190476190477
18,6,0,2,4,0,0,0,0,2,12.011,0.04581016560793743,0.42857142857142855
19,6,0,3,3,0,0,0,0,0,12.011,0.30577736195541144,0.4523809523809524
20,8,0,1,3,0,0,0,0,0,15.999,-0.2522841182227582,0.47619047619047616
21,8,0,2,3,0,0,0,0,0,15.999,-0.4562206868764839,0.47619047619047616
22,6,0,3,4,0,0,2,1,1,12.011,0.15940082925383492,0.5
23,6,0,2,4,0,0,0,0,2,12.011,0.1305543078860142,0.5238095238095238
24,8,0,2,3,0,0,0,0,0,15.999,-0.4616281938077122,0.5476190476190477
25,6,0,3,3,0,0,0,0,0,12.011,0.30541557297050537,0.5714285714285714
26,8,0,1,3,0,0,0,0,0,15.999,-0.2522976415584404,0.5952380952380952
27,6,0,2,4,0,0,0,0,2,12.011,0.045503081092636906,0.5952380952380952
28,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097698,0.6190476190476191
29,6,0,2,4,0,0,0,0,2,12.011,-0.0527478239612063,0.6428571428571429
30,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203832768,0.6666666666666666
31,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096483504,0.6904761904761905
32,6,0,2,4,0,0,0,0,2,12.011,-0.049825015426065926,0.7142857142857143
33,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364,0.7380952380952381
34,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828,0.7619047619047619
35,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.7857142857142857
36,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444,0.8095238095238095
37,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703074705,0.8333333333333334
38,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352997276,0.8571428571428571
39,6,0,2,4,0,0,0,0,2,12.011,-0.053295025240741124,0.8809523809523809
40,6,0,2,4,0,0,0,0,2,12.011,-0.053305960030673456,0.9047619047619048
41,6,0,2,4,0,0,0,0,2,12.011,-0.053316030800072294,0.9285714285714286
42,6,0,2,4,0,0,0,0,2,12.011,-0.05356864271905036,0.9523809523809523
43,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063182704,0.9761904761904762
44,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
45,6,0,2,4,0,0,0,0,2,12.011,0.09570182344906342,0.5238095238095238
46,8,0,2,4,0,0,0,0,0,15.999,-0.314376570427909,0.5476190476190477
47,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134,0.5714285714285714
48,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995,0.5952380952380952
49,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724,0.5952380952380952
50,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322,0.5952380952380952
51,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464,0.6190476190476191
52,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.6428571428571429
53,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.6666666666666666
54,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6904761904761905
55,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6904761904761905
56,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6904761904761905
