source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5195331573687014
1,0,1.0,0,0,0,0,0,1.5195331573687014
1,2,1.0,0,0,0,0,0,1.5306429682293352
2,1,1.0,0,0,0,0,0,1.5306429682293352
2,3,1.0,0,0,0,0,0,1.5325121040939809
3,2,1.0,0,0,0,0,0,1.5325121040939809
3,4,1.0,0,0,0,0,0,1.5325583208130855
4,3,1.0,0,0,0,0,0,1.5325583208130855
4,5,1.0,0,0,0,4,0,1.502766079423073
5,4,1.0,0,0,0,4,0,1.502766079423073
5,6,2.0,0,0,2,0,0,1.343276613257795
6,5,2.0,0,0,2,0,0,1.343276613257795
6,7,1.0,0,0,0,3,0,1.5023677081964395
7,6,1.0,0,0,0,3,0,1.5023677081964395
7,8,1.0,0,0,0,4,0,1.5019016784218362
8,7,1.0,0,0,0,4,0,1.5019016784218362
8,9,2.0,0,0,2,0,0,1.3437805213715095
9,8,2.0,0,0,2,0,0,1.3437805213715095
9,10,1.0,0,0,0,3,0,1.5025209215073418
10,9,1.0,0,0,0,3,0,1.5025209215073418
10,11,1.0,0,0,0,0,0,1.5328331632029577
11,10,1.0,0,0,0,0,0,1.5328331632029577
11,12,1.0,0,0,0,0,0,1.5335253650680312
12,11,1.0,0,0,0,0,0,1.5335253650680312
12,13,1.0,0,0,0,0,0,1.531344918039628
13,12,1.0,0,0,0,0,0,1.531344918039628
13,14,1.0,0,0,0,0,0,1.5328841084660834
14,13,1.0,0,0,0,0,0,1.5328841084660834
14,15,1.0,0,0,0,0,0,1.53316849427027
15,14,1.0,0,0,0,0,0,1.53316849427027
15,16,1.0,0,0,0,0,0,1.5280725593399582
16,15,1.0,0,0,0,0,0,1.5280725593399582
16,17,1.0,0,0,0,0,0,1.5103702504032126
17,16,1.0,0,0,0,0,0,1.5103702504032126
17,18,2.0,1,0,0,0,0,1.2224239571562332
18,17,2.0,1,0,0,0,0,1.2224239571562332
17,19,1.0,1,0,0,0,0,1.3608452122355923
19,17,1.0,1,0,0,0,0,1.3608452122355923
19,20,1.0,0,0,0,0,0,1.4445807139395956
20,19,1.0,0,0,0,0,0,1.4445807139395956
20,21,1.0,0,0,0,0,0,1.535240458015265
21,20,1.0,0,0,0,0,0,1.535240458015265
21,22,1.0,0,0,0,0,0,1.4385041990349905
22,21,1.0,0,0,0,0,0,1.4385041990349905
22,23,1.0,1,0,0,0,0,1.3624787324624048
23,22,1.0,1,0,0,0,0,1.3624787324624048
23,24,2.0,1,0,0,0,0,1.222793735128215
24,23,2.0,1,0,0,0,0,1.222793735128215
23,25,1.0,0,0,0,0,0,1.5092543551477142
25,23,1.0,0,0,0,0,0,1.5092543551477142
25,26,1.0,0,0,0,0,0,1.5271058467632637
26,25,1.0,0,0,0,0,0,1.5271058467632637
26,27,1.0,0,0,0,0,0,1.5306678746428666
27,26,1.0,0,0,0,0,0,1.5306678746428666
27,28,1.0,0,0,0,0,0,1.5319681742240225
28,27,1.0,0,0,0,0,0,1.5319681742240225
28,29,1.0,0,0,0,0,0,1.532573344258636
29,28,1.0,0,0,0,0,0,1.532573344258636
29,30,1.0,0,0,0,0,0,1.5316222836809306
30,29,1.0,0,0,0,0,0,1.5316222836809306
30,31,1.0,0,0,0,0,0,1.5316743013507208
31,30,1.0,0,0,0,0,0,1.5316743013507208
31,32,1.0,0,0,0,4,0,1.502561141819123
32,31,1.0,0,0,0,4,0,1.502561141819123
32,33,2.0,0,0,2,0,0,1.342851466918576
33,32,2.0,0,0,2,0,0,1.342851466918576
33,34,1.0,0,0,0,3,0,1.5033414260440312
34,33,1.0,0,0,0,3,0,1.5033414260440312
34,35,1.0,0,0,0,0,0,1.5324371335621434
35,34,1.0,0,0,0,0,0,1.5324371335621434
35,36,1.0,0,0,0,0,0,1.5340028089346633
36,35,1.0,0,0,0,0,0,1.5340028089346633
36,37,1.0,0,0,0,0,0,1.532114469433652
37,36,1.0,0,0,0,0,0,1.532114469433652
37,38,1.0,0,0,0,0,0,1.5305213549664989
38,37,1.0,0,0,0,0,0,1.5305213549664989
38,39,1.0,0,0,0,0,0,1.5201770287858476
39,38,1.0,0,0,0,0,0,1.5201770287858476
20,40,1.0,0,0,0,0,0,1.5350756069745668
40,20,1.0,0,0,0,0,0,1.5350756069745668
40,41,1.0,0,0,0,0,0,1.4214815241957617
41,40,1.0,0,0,0,0,0,1.4214815241957617
41,42,1.0,0,0,0,0,0,1.6036019003628805
42,41,1.0,0,0,0,0,0,1.6036019003628805
42,43,2.0,0,0,0,0,0,1.4914633574932887
43,42,2.0,0,0,0,0,0,1.4914633574932887
42,44,1.0,0,0,0,0,0,1.6025140897513237
44,42,1.0,0,0,0,0,0,1.6025140897513237
42,45,1.0,0,0,0,0,0,1.6033405535652507
45,42,1.0,0,0,0,0,0,1.6033405535652507
45,46,1.0,0,0,0,0,0,1.4244130122334155
46,45,1.0,0,0,0,0,0,1.4244130122334155
46,47,1.0,0,0,0,0,0,1.533789780276858
47,46,1.0,0,0,0,0,0,1.533789780276858
47,48,1.0,0,0,0,0,0,1.4368536482725922
48,47,1.0,0,0,0,0,0,1.4368536482725922
47,49,1.0,0,0,0,0,0,1.5308254146522693
49,47,1.0,0,0,0,0,0,1.5308254146522693
49,50,1.0,0,0,0,0,0,1.4233476090003883
50,49,1.0,0,0,0,0,0,1.4233476090003883
