source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5205764790944059
1,0,1.0,0,0,0,0,0,1.5205764790944059
1,2,1.0,0,0,0,0,0,1.5299975462590942
2,1,1.0,0,0,0,0,0,1.5299975462590942
2,3,1.0,0,0,0,0,0,1.5314676640435176
3,2,1.0,0,0,0,0,0,1.5314676640435176
3,4,1.0,0,0,0,0,0,1.531292687484225
4,3,1.0,0,0,0,0,0,1.531292687484225
4,5,1.0,0,0,0,0,0,1.531456903789299
5,4,1.0,0,0,0,0,0,1.531456903789299
5,6,1.0,0,0,0,0,0,1.5313996041932894
6,5,1.0,0,0,0,0,0,1.5313996041932894
6,7,1.0,0,0,0,0,0,1.5308111224837786
7,6,1.0,0,0,0,0,0,1.5308111224837786
7,8,1.0,0,0,0,4,0,1.503193812495997
8,7,1.0,0,0,0,4,0,1.503193812495997
8,9,2.0,0,0,2,0,0,1.3429239545176288
9,8,2.0,0,0,2,0,0,1.3429239545176288
9,10,1.0,0,0,0,3,0,1.5027962649929265
10,9,1.0,0,0,0,3,0,1.5027962649929265
10,11,1.0,0,0,0,0,0,1.5321284529352184
11,10,1.0,0,0,0,0,0,1.5321284529352184
11,12,1.0,0,0,0,0,0,1.5323080899095636
12,11,1.0,0,0,0,0,0,1.5323080899095636
12,13,1.0,0,0,0,0,0,1.5314023070667377
13,12,1.0,0,0,0,0,0,1.5314023070667377
13,14,1.0,0,0,0,0,0,1.5321331717859041
14,13,1.0,0,0,0,0,0,1.5321331717859041
14,15,1.0,0,0,0,0,0,1.5320559697133946
15,14,1.0,0,0,0,0,0,1.5320559697133946
15,16,1.0,0,0,0,0,0,1.5311874601743665
16,15,1.0,0,0,0,0,0,1.5311874601743665
16,17,1.0,0,0,0,0,0,1.5321531804137904
17,16,1.0,0,0,0,0,0,1.5321531804137904
17,18,1.0,0,0,0,0,0,1.5312950839703414
18,17,1.0,0,0,0,0,0,1.5312950839703414
18,19,1.0,0,0,0,0,0,1.5316930441704488
19,18,1.0,0,0,0,0,0,1.5316930441704488
19,20,1.0,0,0,0,0,0,1.5316161903090626
20,19,1.0,0,0,0,0,0,1.5316161903090626
20,21,1.0,0,0,0,0,0,1.5323006235885166
21,20,1.0,0,0,0,0,0,1.5323006235885166
21,22,1.0,0,0,0,0,0,1.5279037007640883
22,21,1.0,0,0,0,0,0,1.5279037007640883
22,23,1.0,0,0,0,0,0,1.51757377537037
23,22,1.0,0,0,0,0,0,1.51757377537037
23,24,2.0,1,0,0,0,0,1.2260027084108098
24,23,2.0,1,0,0,0,0,1.2260027084108098
23,25,1.0,1,0,0,0,0,1.3768446989723164
25,23,1.0,1,0,0,0,0,1.3768446989723164
25,26,1.0,0,0,0,0,0,1.4738883066058865
26,25,1.0,0,0,0,0,0,1.4738883066058865
26,27,1.0,0,0,0,0,0,1.5467836075785062
27,26,1.0,0,0,0,0,0,1.5467836075785062
27,28,1.0,0,0,0,0,0,1.4322860315172496
28,27,1.0,0,0,0,0,0,1.4322860315172496
28,29,1.0,0,0,0,0,0,1.4299420900046838
29,28,1.0,0,0,0,0,0,1.4299420900046838
29,30,1.0,0,1,0,0,0,1.4256021316525511
30,29,1.0,0,1,0,0,0,1.4256021316525511
30,31,1.0,0,1,0,0,0,1.4365253235760367
31,30,1.0,0,1,0,0,0,1.4365253235760367
31,32,1.0,0,0,0,0,0,1.537604603184693
32,31,1.0,0,0,0,0,0,1.537604603184693
32,33,1.0,0,0,0,0,0,1.4250222068296095
33,32,1.0,0,0,0,0,0,1.4250222068296095
31,34,1.0,0,1,0,0,0,1.5448138068569688
34,31,1.0,0,1,0,0,0,1.5448138068569688
34,35,1.0,0,0,0,0,0,1.4432675220755449
35,34,1.0,0,0,0,0,0,1.4432675220755449
35,36,1.0,0,0,0,0,0,1.4303556592033646
36,35,1.0,0,0,0,0,0,1.4303556592033646
36,37,1.0,0,1,0,0,0,1.4290049781990717
37,36,1.0,0,1,0,0,0,1.4290049781990717
37,38,1.0,0,1,0,0,0,1.438847813758563
38,37,1.0,0,1,0,0,0,1.438847813758563
38,39,1.0,0,0,0,0,0,1.53612489041626
39,38,1.0,0,0,0,0,0,1.53612489041626
39,40,1.0,0,0,0,0,0,1.427126509641341
40,39,1.0,0,0,0,0,0,1.427126509641341
38,41,1.0,0,1,0,0,0,1.541253291813733
41,38,1.0,0,1,0,0,0,1.541253291813733
41,42,1.0,0,0,0,0,0,1.434404218271194
42,41,1.0,0,0,0,0,0,1.434404218271194
41,43,1.0,0,1,0,0,0,1.5352890917583697
43,41,1.0,0,1,0,0,0,1.5352890917583697
43,44,1.0,0,0,0,0,0,1.4384624213570638
44,43,1.0,0,0,0,0,0,1.4384624213570638
43,45,1.0,0,1,0,0,0,1.5321175578860433
45,43,1.0,0,1,0,0,0,1.5321175578860433
45,46,1.0,0,0,0,0,0,1.437843562941851
46,45,1.0,0,0,0,0,0,1.437843562941851
34,47,1.0,0,1,0,0,0,1.5379495252600417
47,34,1.0,0,1,0,0,0,1.5379495252600417
47,48,1.0,0,0,0,0,0,1.4394107455813288
48,47,1.0,0,0,0,0,0,1.4394107455813288
47,49,1.0,0,1,0,0,0,1.532669917837437
49,47,1.0,0,1,0,0,0,1.532669917837437
49,50,1.0,0,0,0,0,0,1.4419310546072714
50,49,1.0,0,0,0,0,0,1.4419310546072714
26,51,1.0,0,0,0,0,0,1.555666474843385
51,26,1.0,0,0,0,0,0,1.555666474843385
51,52,1.0,0,0,0,0,0,1.431252987537264
52,51,1.0,0,0,0,0,0,1.431252987537264
51,53,1.0,0,0,0,4,0,1.5084861497762836
53,51,1.0,0,0,0,4,0,1.5084861497762836
53,54,2.0,0,0,3,0,0,1.3438084763071267
54,53,2.0,0,0,3,0,0,1.3438084763071267
54,55,1.0,0,0,0,4,0,1.5043093384058148
55,54,1.0,0,0,0,4,0,1.5043093384058148
55,56,1.0,0,0,0,0,0,1.5318933192631061
56,55,1.0,0,0,0,0,0,1.5318933192631061
56,57,1.0,0,0,0,0,0,1.5321938454614725
57,56,1.0,0,0,0,0,0,1.5321938454614725
57,58,1.0,0,0,0,0,0,1.5309698380352283
58,57,1.0,0,0,0,0,0,1.5309698380352283
58,59,1.0,0,0,0,0,0,1.53119409266662
59,58,1.0,0,0,0,0,0,1.53119409266662
59,60,1.0,0,0,0,0,0,1.53105087786218
60,59,1.0,0,0,0,0,0,1.53105087786218
60,61,1.0,0,0,0,0,0,1.5312770315427675
61,60,1.0,0,0,0,0,0,1.5312770315427675
61,62,1.0,0,0,0,0,0,1.5315793453216757
62,61,1.0,0,0,0,0,0,1.5315793453216757
62,63,1.0,0,0,0,0,0,1.5311141100972687
63,62,1.0,0,0,0,0,0,1.5311141100972687
63,64,1.0,0,0,0,0,0,1.5293984224835948
64,63,1.0,0,0,0,0,0,1.5293984224835948
64,65,1.0,0,0,0,0,0,1.520774743543252
65,64,1.0,0,0,0,0,0,1.520774743543252
49,29,1.0,0,1,0,0,0,1.542588976929591
29,49,1.0,0,1,0,0,0,1.542588976929591
45,36,1.0,0,1,0,0,0,1.543609764855836
36,45,1.0,0,1,0,0,0,1.543609764855836
