source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5208237844090544
1,0,1.0,0,0,0,0,0,1.5208237844090544
1,2,1.0,0,0,0,0,0,1.5301308640889713
2,1,1.0,0,0,0,0,0,1.5301308640889713
2,3,1.0,0,0,0,0,0,1.5309850295889382
3,2,1.0,0,0,0,0,0,1.5309850295889382
3,4,1.0,0,0,0,0,0,1.5333229129196
4,3,1.0,0,0,0,0,0,1.5333229129196
4,5,1.0,0,0,0,0,0,1.5326498882625768
5,4,1.0,0,0,0,0,0,1.5326498882625768
5,6,1.0,0,0,0,4,0,1.5023925398643767
6,5,1.0,0,0,0,4,0,1.5023925398643767
6,7,2.0,0,0,2,0,0,1.34300807403224
7,6,2.0,0,0,2,0,0,1.34300807403224
7,8,1.0,0,0,0,3,0,1.5025759356872004
8,7,1.0,0,0,0,3,0,1.5025759356872004
8,9,1.0,0,0,0,0,0,1.531975203867741
9,8,1.0,0,0,0,0,0,1.531975203867741
9,10,1.0,0,0,0,0,0,1.5325725856700516
10,9,1.0,0,0,0,0,0,1.5325725856700516
10,11,1.0,0,0,0,0,0,1.532371294800801
11,10,1.0,0,0,0,0,0,1.532371294800801
11,12,1.0,0,0,0,0,0,1.531800849699143
12,11,1.0,0,0,0,0,0,1.531800849699143
12,13,1.0,0,0,0,0,0,1.5321248566070849
13,12,1.0,0,0,0,0,0,1.5321248566070849
13,14,1.0,0,0,0,0,0,1.5276616973157406
14,13,1.0,0,0,0,0,0,1.5276616973157406
14,15,1.0,0,0,0,0,0,1.5093371000492786
15,14,1.0,0,0,0,0,0,1.5093371000492786
15,16,2.0,1,0,0,0,0,1.2230929283145315
16,15,2.0,1,0,0,0,0,1.2230929283145315
15,17,1.0,1,0,0,0,0,1.3612251228775993
17,15,1.0,1,0,0,0,0,1.3612251228775993
17,18,1.0,0,0,0,0,0,1.4370832119887318
18,17,1.0,0,0,0,0,0,1.4370832119887318
18,19,1.0,0,0,0,0,0,1.534132416539579
19,18,1.0,0,0,0,0,0,1.534132416539579
19,20,1.0,0,0,0,0,0,1.5334036842534184
20,19,1.0,0,0,0,0,0,1.5334036842534184
20,21,1.0,0,0,0,0,0,1.4218261831720853
21,20,1.0,0,0,0,0,0,1.4218261831720853
21,22,1.0,0,0,0,0,0,1.603545165137716
22,21,1.0,0,0,0,0,0,1.603545165137716
22,23,2.0,0,0,0,0,0,1.4922849761881436
23,22,2.0,0,0,0,0,0,1.4922849761881436
22,24,1.0,0,0,0,0,0,1.6006938001744202
24,22,1.0,0,0,0,0,0,1.6006938001744202
22,25,1.0,0,0,0,0,0,1.6028356597325533
25,22,1.0,0,0,0,0,0,1.6028356597325533
25,26,1.0,0,0,0,0,0,1.4197964039053965
26,25,1.0,0,0,0,0,0,1.4197964039053965
26,27,1.0,0,0,0,0,0,1.5296537085451212
27,26,1.0,0,0,0,0,0,1.5296537085451212
27,28,1.0,0,0,0,0,0,1.463778118493773
28,27,1.0,0,0,0,0,0,1.463778118493773
19,29,1.0,0,0,0,0,0,1.4471467858813474
29,19,1.0,0,0,0,0,0,1.4471467858813474
29,30,1.0,1,0,0,0,0,1.3605316485594767
30,29,1.0,1,0,0,0,0,1.3605316485594767
30,31,2.0,1,0,0,0,0,1.2224379641386232
31,30,2.0,1,0,0,0,0,1.2224379641386232
30,32,1.0,0,0,0,0,0,1.50901756693397
32,30,1.0,0,0,0,0,0,1.50901756693397
32,33,1.0,0,0,0,0,0,1.5276551305999315
33,32,1.0,0,0,0,0,0,1.5276551305999315
33,34,1.0,0,0,0,0,0,1.5317514016222895
34,33,1.0,0,0,0,0,0,1.5317514016222895
34,35,1.0,0,0,0,0,0,1.5312416262302198
35,34,1.0,0,0,0,0,0,1.5312416262302198
35,36,1.0,0,0,0,0,0,1.5309994989284712
36,35,1.0,0,0,0,0,0,1.5309994989284712
36,37,1.0,0,0,0,0,0,1.531941937080012
37,36,1.0,0,0,0,0,0,1.531941937080012
37,38,1.0,0,0,0,0,0,1.5323205304914347
38,37,1.0,0,0,0,0,0,1.5323205304914347
38,39,1.0,0,0,0,0,0,1.5306307890941206
39,38,1.0,0,0,0,0,0,1.5306307890941206
39,40,1.0,0,0,0,0,0,1.532203267790003
40,39,1.0,0,0,0,0,0,1.532203267790003
40,41,1.0,0,0,0,0,0,1.5306705824220017
41,40,1.0,0,0,0,0,0,1.5306705824220017
41,42,1.0,0,0,0,0,0,1.521186774446554
42,41,1.0,0,0,0,0,0,1.521186774446554
