source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5211940234967216
1,0,1.0,0,0,0,0,0,1.5211940234967216
1,2,1.0,0,0,0,0,0,1.5310406636528124
2,1,1.0,0,0,0,0,0,1.5310406636528124
2,3,1.0,0,0,0,0,0,1.5320542720383463
3,2,1.0,0,0,0,0,0,1.5320542720383463
3,4,1.0,0,0,0,4,0,1.502964976030838
4,3,1.0,0,0,0,4,0,1.502964976030838
4,5,2.0,0,0,2,0,0,1.343081874497595
5,4,2.0,0,0,2,0,0,1.343081874497595
5,6,1.0,0,0,0,3,0,1.502795225528464
6,5,1.0,0,0,0,3,0,1.502795225528464
6,7,1.0,0,0,0,0,0,1.5325123709904558
7,6,1.0,0,0,0,0,0,1.5325123709904558
7,8,1.0,0,0,0,0,0,1.5328389333233137
8,7,1.0,0,0,0,0,0,1.5328389333233137
8,9,1.0,0,0,0,0,0,1.5318786455800284
9,8,1.0,0,0,0,0,0,1.5318786455800284
9,10,1.0,0,0,0,0,0,1.5315276337343948
10,9,1.0,0,0,0,0,0,1.5315276337343948
10,11,1.0,0,0,0,0,0,1.5330354264961763
11,10,1.0,0,0,0,0,0,1.5330354264961763
11,12,1.0,0,0,0,0,0,1.5279834098029508
12,11,1.0,0,0,0,0,0,1.5279834098029508
12,13,1.0,0,0,0,0,0,1.5096836897206556
13,12,1.0,0,0,0,0,0,1.5096836897206556
13,14,2.0,1,0,0,0,0,1.223882730329102
14,13,2.0,1,0,0,0,0,1.223882730329102
13,15,1.0,1,0,0,0,0,1.3600164038641471
15,13,1.0,1,0,0,0,0,1.3600164038641471
15,16,1.0,0,0,0,0,0,1.4473225542721389
16,15,1.0,0,0,0,0,0,1.4473225542721389
16,17,1.0,0,0,0,0,0,1.5352764347830365
17,16,1.0,0,0,0,0,0,1.5352764347830365
17,18,1.0,0,0,0,0,0,1.438239218754961
18,17,1.0,0,0,0,0,0,1.438239218754961
18,19,1.0,1,0,0,0,0,1.3614866749374614
19,18,1.0,1,0,0,0,0,1.3614866749374614
19,20,2.0,1,0,0,0,0,1.2228591998914826
20,19,2.0,1,0,0,0,0,1.2228591998914826
19,21,1.0,0,0,0,0,0,1.508954213438152
21,19,1.0,0,0,0,0,0,1.508954213438152
21,22,1.0,0,0,0,0,0,1.5269907057942875
22,21,1.0,0,0,0,0,0,1.5269907057942875
22,23,1.0,0,0,0,0,0,1.5318634685084207
23,22,1.0,0,0,0,0,0,1.5318634685084207
23,24,1.0,0,0,0,0,0,1.5315627292767517
24,23,1.0,0,0,0,0,0,1.5315627292767517
24,25,1.0,0,0,0,0,0,1.5320485568506195
25,24,1.0,0,0,0,0,0,1.5320485568506195
25,26,1.0,0,0,0,0,0,1.5316100276030022
26,25,1.0,0,0,0,0,0,1.5316100276030022
26,27,1.0,0,0,0,0,0,1.5318391558876587
27,26,1.0,0,0,0,0,0,1.5318391558876587
27,28,1.0,0,0,0,0,0,1.5320303850008905
28,27,1.0,0,0,0,0,0,1.5320303850008905
28,29,1.0,0,0,0,0,0,1.5320807669055811
29,28,1.0,0,0,0,0,0,1.5320807669055811
29,30,1.0,0,0,0,0,0,1.5317851204765416
30,29,1.0,0,0,0,0,0,1.5317851204765416
30,31,1.0,0,0,0,0,0,1.5323665688496204
31,30,1.0,0,0,0,0,0,1.5323665688496204
31,32,1.0,0,0,0,0,0,1.5318546494088983
32,31,1.0,0,0,0,0,0,1.5318546494088983
32,33,1.0,0,0,0,0,0,1.5327725964247871
33,32,1.0,0,0,0,0,0,1.5327725964247871
33,34,1.0,0,0,0,0,0,1.5303336827746503
34,33,1.0,0,0,0,0,0,1.5303336827746503
34,35,1.0,0,0,0,0,0,1.5206752925501072
35,34,1.0,0,0,0,0,0,1.5206752925501072
16,36,1.0,0,0,0,0,0,1.534195907360282
36,16,1.0,0,0,0,0,0,1.534195907360282
36,37,1.0,0,0,0,0,0,1.4216466828629595
37,36,1.0,0,0,0,0,0,1.4216466828629595
37,38,1.0,0,0,0,0,0,1.603376709759745
38,37,1.0,0,0,0,0,0,1.603376709759745
38,39,2.0,0,0,0,0,0,1.4920359705523227
39,38,2.0,0,0,0,0,0,1.4920359705523227
38,40,1.0,0,0,0,0,0,1.6009795087630887
40,38,1.0,0,0,0,0,0,1.6009795087630887
38,41,1.0,0,0,0,0,0,1.6034485861234444
41,38,1.0,0,0,0,0,0,1.6034485861234444
41,42,1.0,0,0,0,0,0,1.4229709701502142
42,41,1.0,0,0,0,0,0,1.4229709701502142
42,43,1.0,0,0,0,0,0,1.5306498869707148
43,42,1.0,0,0,0,0,0,1.5306498869707148
43,44,1.0,0,0,0,0,0,1.4374469758197734
44,43,1.0,0,0,0,0,0,1.4374469758197734
43,45,1.0,0,0,0,0,0,1.531135673719837
45,43,1.0,0,0,0,0,0,1.531135673719837
45,46,1.0,0,0,0,0,0,1.4273409153593908
46,45,1.0,0,0,0,0,0,1.4273409153593908
