source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5203517387920897
1,0,1.0,0,0,0,0,0,1.5203517387920897
1,2,1.0,0,0,0,0,0,1.529961407023667
2,1,1.0,0,0,0,0,0,1.529961407023667
2,3,1.0,0,0,0,0,0,1.5313524854892397
3,2,1.0,0,0,0,0,0,1.5313524854892397
3,4,1.0,0,0,0,0,0,1.5316617671526256
4,3,1.0,0,0,0,0,0,1.5316617671526256
4,5,1.0,0,0,0,0,0,1.531147162444833
5,4,1.0,0,0,0,0,0,1.531147162444833
5,6,1.0,0,0,0,0,0,1.5320109082501632
6,5,1.0,0,0,0,0,0,1.5320109082501632
6,7,1.0,0,0,0,0,0,1.5309182849358152
7,6,1.0,0,0,0,0,0,1.5309182849358152
7,8,1.0,0,0,0,4,0,1.503706866998535
8,7,1.0,0,0,0,4,0,1.503706866998535
8,9,2.0,0,0,2,0,0,1.343078895582252
9,8,2.0,0,0,2,0,0,1.343078895582252
9,10,1.0,0,0,0,3,0,1.5028902241351323
10,9,1.0,0,0,0,3,0,1.5028902241351323
10,11,1.0,0,0,0,0,0,1.5317677871846338
11,10,1.0,0,0,0,0,0,1.5317677871846338
11,12,1.0,0,0,0,0,0,1.5331287250584535
12,11,1.0,0,0,0,0,0,1.5331287250584535
12,13,1.0,0,0,0,0,0,1.531959815909491
13,12,1.0,0,0,0,0,0,1.531959815909491
13,14,1.0,0,0,0,0,0,1.5309193008984436
14,13,1.0,0,0,0,0,0,1.5309193008984436
14,15,1.0,0,0,0,0,0,1.5323032840496125
15,14,1.0,0,0,0,0,0,1.5323032840496125
15,16,1.0,0,0,0,0,0,1.5277637874368337
16,15,1.0,0,0,0,0,0,1.5277637874368337
16,17,1.0,0,0,0,0,0,1.511083263241258
17,16,1.0,0,0,0,0,0,1.511083263241258
17,18,2.0,1,0,0,0,0,1.2240438695146778
18,17,2.0,1,0,0,0,0,1.2240438695146778
17,19,1.0,1,0,0,0,0,1.361382451737047
19,17,1.0,1,0,0,0,0,1.361382451737047
19,20,1.0,0,0,0,0,0,1.4407177035212857
20,19,1.0,0,0,0,0,0,1.4407177035212857
20,21,1.0,0,0,0,0,0,1.5356753654086728
21,20,1.0,0,0,0,0,0,1.5356753654086728
21,22,1.0,0,0,0,0,0,1.5312835771266813
22,21,1.0,0,0,0,0,0,1.5312835771266813
22,23,1.0,0,0,0,0,0,1.418150805458578
23,22,1.0,0,0,0,0,0,1.418150805458578
23,24,1.0,0,0,0,0,0,1.6175870928734106
24,23,1.0,0,0,0,0,0,1.6175870928734106
24,25,2.0,0,0,0,0,0,1.5054778072685164
