source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.521043869979935
1,0,1.0,0,0,0,0,0,1.521043869979935
1,2,1.0,0,0,0,0,0,1.5307705336904507
2,1,1.0,0,0,0,0,0,1.5307705336904507
2,3,1.0,0,0,0,0,0,1.5313143509921956
3,2,1.0,0,0,0,0,0,1.5313143509921956
3,4,1.0,0,0,0,0,0,1.5324309152034654
4,3,1.0,0,0,0,0,0,1.5324309152034654
4,5,1.0,0,0,0,0,0,1.532074039879941
5,4,1.0,0,0,0,0,0,1.532074039879941
5,6,1.0,0,0,0,0,0,1.5316067865021799
6,5,1.0,0,0,0,0,0,1.5316067865021799
6,7,1.0,0,0,0,0,0,1.5328432815063164
7,6,1.0,0,0,0,0,0,1.5328432815063164
7,8,1.0,0,0,0,0,0,1.5321830847031532
8,7,1.0,0,0,0,0,0,1.5321830847031532
8,9,1.0,0,0,0,0,0,1.5317753027868954
9,8,1.0,0,0,0,0,0,1.5317753027868954
9,10,1.0,0,0,0,0,0,1.5319109528401096
10,9,1.0,0,0,0,0,0,1.5319109528401096
10,11,1.0,0,0,0,0,0,1.5318943865556305
11,10,1.0,0,0,0,0,0,1.5318943865556305
11,12,1.0,0,0,0,0,0,1.5320169299547135
12,11,1.0,0,0,0,0,0,1.5320169299547135
12,13,1.0,0,0,0,0,0,1.532712336038009
13,12,1.0,0,0,0,0,0,1.532712336038009
13,14,1.0,0,0,0,0,0,1.5268807582841624
14,13,1.0,0,0,0,0,0,1.5268807582841624
14,15,1.0,0,0,0,0,0,1.5092568627958474
15,14,1.0,0,0,0,0,0,1.5092568627958474
15,16,2.0,1,0,0,0,0,1.2227323278409437
16,15,2.0,1,0,0,0,0,1.2227323278409437
15,17,1.0,1,0,0,0,0,1.3622277884639051
17,15,1.0,1,0,0,0,0,1.3622277884639051
17,18,1.0,0,0,0,0,0,1.436954627142561
18,17,1.0,0,0,0,0,0,1.436954627142561
18,19,1.0,0,0,0,0,0,1.5334707750915126
19,18,1.0,0,0,0,0,0,1.5334707750915126
19,20,1.0,0,0,0,0,0,1.5334759106351192
20,19,1.0,0,0,0,0,0,1.5334759106351192
20,21,1.0,0,0,0,0,0,1.4225180430619415
21,20,1.0,0,0,0,0,0,1.4225180430619415
21,22,1.0,0,0,0,0,0,1.6042226217042284
22,21,1.0,0,0,0,0,0,1.6042226217042284
22,23,2.0,0,0,0,0,0,1.4923649952789675
23,22,2.0,0,0,0,0,0,1.4923649952789675
22,24,1.0,0,0,0,0,0,1.6019265237857954
24,22,1.0,0,0,0,0,0,1.6019265237857954
22,25,1.0,0,0,0,0,0,1.603032052680709
25,22,1.0,0,0,0,0,0,1.603032052680709
25,26,1.0,0,0,0,0,0,1.4198611051190957
26,25,1.0,0,0,0,0,0,1.4198611051190957
26,27,1.0,0,0,0,0,0,1.530309949057965
27,26,1.0,0,0,0,0,0,1.530309949057965
27,28,1.0,0,0,0,0,0,1.464079305949974
28,27,1.0,0,0,0,0,0,1.464079305949974
19,29,1.0,0,0,0,0,0,1.4462901099683412
29,19,1.0,0,0,0,0,0,1.4462901099683412
29,30,1.0,1,0,0,0,0,1.361152015137213
30,29,1.0,1,0,0,0,0,1.361152015137213
30,31,2.0,1,0,0,0,0,1.2236232615884892
31,30,2.0,1,0,0,0,0,1.2236232615884892
30,32,1.0,0,0,0,0,0,1.5085266461406723
32,30,1.0,0,0,0,0,0,1.5085266461406723
32,33,1.0,0,0,0,0,0,1.526881053949297
33,32,1.0,0,0,0,0,0,1.526881053949297
33,34,1.0,0,0,0,0,0,1.5318883346888486
34,33,1.0,0,0,0,0,0,1.5318883346888486
34,35,1.0,0,0,0,0,0,1.5312148181981815
35,34,1.0,0,0,0,0,0,1.5312148181981815
35,36,1.0,0,0,0,0,0,1.5321802227122838
36,35,1.0,0,0,0,0,0,1.5321802227122838
36,37,1.0,0,0,0,0,0,1.5319438647568047
37,36,1.0,0,0,0,0,0,1.5319438647568047
37,38,1.0,0,0,0,0,0,1.5316572368751604
38,37,1.0,0,0,0,0,0,1.5316572368751604
38,39,1.0,0,0,0,0,0,1.531825109718583
39,38,1.0,0,0,0,0,0,1.531825109718583
39,40,1.0,0,0,0,0,0,1.5318415646419605
40,39,1.0,0,0,0,0,0,1.5318415646419605
40,41,1.0,0,0,0,0,0,1.5310637275930241
41,40,1.0,0,0,0,0,0,1.5310637275930241
41,42,1.0,0,0,0,0,0,1.5312066523049923
42,41,1.0,0,0,0,0,0,1.5312066523049923
42,43,1.0,0,0,0,0,0,1.5303670602748873
43,42,1.0,0,0,0,0,0,1.5303670602748873
43,44,1.0,0,0,0,0,0,1.5209336530031485
44,43,1.0,0,0,0,0,0,1.5209336530031485
