source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5206814112014961
1,0,1.0,0,0,0,0,0,1.5206814112014961
1,2,1.0,0,0,0,0,0,1.529115623821817
2,1,1.0,0,0,0,0,0,1.529115623821817
2,3,1.0,0,0,0,0,0,1.5311120201444368
3,2,1.0,0,0,0,0,0,1.5311120201444368
3,4,1.0,0,0,0,0,0,1.532118115705539
4,3,1.0,0,0,0,0,0,1.532118115705539
4,5,1.0,0,0,0,0,0,1.5310616881469552
5,4,1.0,0,0,0,0,0,1.5310616881469552
5,6,1.0,0,0,0,4,0,1.5028897395910328
6,5,1.0,0,0,0,4,0,1.5028897395910328
6,7,2.0,0,0,2,0,0,1.3428191226923614
7,6,2.0,0,0,2,0,0,1.3428191226923614
7,8,1.0,0,0,0,3,0,1.502935659895369
8,7,1.0,0,0,0,3,0,1.502935659895369
8,9,1.0,0,0,0,0,0,1.531836982361774
9,8,1.0,0,0,0,0,0,1.531836982361774
9,10,1.0,0,0,0,0,0,1.531911017765947
10,9,1.0,0,0,0,0,0,1.531911017765947
10,11,1.0,0,0,0,0,0,1.5317502134222802
11,10,1.0,0,0,0,0,0,1.5317502134222802
11,12,1.0,0,0,0,0,0,1.5317549445681842
12,11,1.0,0,0,0,0,0,1.5317549445681842
12,13,1.0,0,0,0,0,0,1.5323192457618242
13,12,1.0,0,0,0,0,0,1.5323192457618242
13,14,1.0,0,0,0,0,0,1.52803213549161
14,13,1.0,0,0,0,0,0,1.52803213549161
14,15,1.0,0,0,0,0,0,1.5105320451703732
15,14,1.0,0,0,0,0,0,1.5105320451703732
15,16,2.0,1,0,0,0,0,1.2243763527815368
16,15,2.0,1,0,0,0,0,1.2243763527815368
15,17,1.0,1,0,0,0,0,1.3591690933192477
17,15,1.0,1,0,0,0,0,1.3591690933192477
17,18,1.0,0,0,0,0,0,1.440004010861494
18,17,1.0,0,0,0,0,0,1.440004010861494
18,19,1.0,0,0,0,0,0,1.5349643385991496
19,18,1.0,0,0,0,0,0,1.5349643385991496
19,20,1.0,0,0,0,0,0,1.5327551935093515
20,19,1.0,0,0,0,0,0,1.5327551935093515
20,21,1.0,0,0,0,0,0,1.4192846679707967
21,20,1.0,0,0,0,0,0,1.4192846679707967
21,22,1.0,0,0,0,0,0,1.6167382449149195
22,21,1.0,0,0,0,0,0,1.6167382449149195
22,23,2.0,0,0,0,0,0,1.5035089920914815
23,22,2.0,0,0,0,0,0,1.5035089920914815
22,24,1.0,0,0,0,0,0,1.5047219636252978
24,22,1.0,0,0,0,0,0,1.5047219636252978
22,25,1.0,0,0,0,0,0,1.6252699289414145
25,22,1.0,0,0,0,0,0,1.6252699289414145
25,26,1.0,0,0,0,0,0,1.4146687642207645
26,25,1.0,0,0,0,0,0,1.4146687642207645
26,27,1.0,0,0,0,0,0,1.5344163750762894
27,26,1.0,0,0,0,0,0,1.5344163750762894
27,28,1.0,0,0,0,0,0,1.5553741049487195
28,27,1.0,0,0,0,0,0,1.5553741049487195
28,29,1.0,0,0,0,0,0,1.5215325694978892
29,28,1.0,0,0,0,0,0,1.5215325694978892
28,30,1.0,0,0,0,0,0,1.5242917857544502
30,28,1.0,0,0,0,0,0,1.5242917857544502
28,31,1.0,0,0,0,0,0,1.517957182211654
31,28,1.0,0,0,0,0,0,1.517957182211654
19,32,1.0,0,0,0,0,0,1.4473620179303475
32,19,1.0,0,0,0,0,0,1.4473620179303475
32,33,1.0,1,0,0,0,0,1.3580156674495352
33,32,1.0,1,0,0,0,0,1.3580156674495352
33,34,2.0,1,0,0,0,0,1.2234500198486544
34,33,2.0,1,0,0,0,0,1.2234500198486544
33,35,1.0,0,0,0,0,0,1.5104530455107443
35,33,1.0,0,0,0,0,0,1.5104530455107443
35,36,1.0,0,0,0,0,0,1.527949838445838
36,35,1.0,0,0,0,0,0,1.527949838445838
36,37,1.0,0,0,0,0,0,1.5321128594134479
37,36,1.0,0,0,0,0,0,1.5321128594134479
37,38,1.0,0,0,0,0,0,1.5301870755918525
38,37,1.0,0,0,0,0,0,1.5301870755918525
38,39,1.0,0,0,0,0,0,1.5314944813306446
39,38,1.0,0,0,0,0,0,1.5314944813306446
39,40,1.0,0,0,0,0,0,1.5327202728253937
40,39,1.0,0,0,0,0,0,1.5327202728253937
40,41,1.0,0,0,0,0,0,1.5322169993659862
41,40,1.0,0,0,0,0,0,1.5322169993659862
41,42,1.0,0,0,0,4,0,1.503081005628736
42,41,1.0,0,0,0,4,0,1.503081005628736
42,43,2.0,0,0,2,0,0,1.3429630872410785
43,42,2.0,0,0,2,0,0,1.3429630872410785
43,44,1.0,0,0,0,3,0,1.5024438399315536
44,43,1.0,0,0,0,3,0,1.5024438399315536
44,45,1.0,0,0,0,0,0,1.5306848915756284
45,44,1.0,0,0,0,0,0,1.5306848915756284
45,46,1.0,0,0,0,0,0,1.5324314039666054
46,45,1.0,0,0,0,0,0,1.5324314039666054
46,47,1.0,0,0,0,0,0,1.5312112377962024
47,46,1.0,0,0,0,0,0,1.5312112377962024
47,48,1.0,0,0,0,0,0,1.5312425321906995
48,47,1.0,0,0,0,0,0,1.5312425321906995
48,49,1.0,0,0,0,0,0,1.529912933922201
49,48,1.0,0,0,0,0,0,1.529912933922201
49,50,1.0,0,0,0,0,0,1.5204598744758524
50,49,1.0,0,0,0,0,0,1.5204598744758524
