source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520792098446306
1,0,1.0,0,0,0,0,0,1.520792098446306
1,2,1.0,0,0,0,0,0,1.5299925998003598
2,1,1.0,0,0,0,0,0,1.5299925998003598
2,3,1.0,0,0,0,0,0,1.5314170975001844
3,2,1.0,0,0,0,0,0,1.5314170975001844
3,4,1.0,0,0,0,0,0,1.533203485572701
4,3,1.0,0,0,0,0,0,1.533203485572701
4,5,1.0,0,0,0,0,0,1.5315510997733908
5,4,1.0,0,0,0,0,0,1.5315510997733908
5,6,1.0,0,0,0,4,0,1.503140509929215
6,5,1.0,0,0,0,4,0,1.503140509929215
6,7,2.0,0,0,2,0,0,1.3429547507205404
7,6,2.0,0,0,2,0,0,1.3429547507205404
7,8,1.0,0,0,0,3,0,1.502656861222855
8,7,1.0,0,0,0,3,0,1.502656861222855
8,9,1.0,0,0,0,0,0,1.5322737575496719
9,8,1.0,0,0,0,0,0,1.5322737575496719
9,10,1.0,0,0,0,0,0,1.533118865993686
10,9,1.0,0,0,0,0,0,1.533118865993686
10,11,1.0,0,0,0,0,0,1.5314786203540198
11,10,1.0,0,0,0,0,0,1.5314786203540198
11,12,1.0,0,0,0,0,0,1.531904779956365
12,11,1.0,0,0,0,0,0,1.531904779956365
12,13,1.0,0,0,0,0,0,1.5319730341820086
13,12,1.0,0,0,0,0,0,1.5319730341820086
13,14,1.0,0,0,0,0,0,1.5269814434220925
14,13,1.0,0,0,0,0,0,1.5269814434220925
14,15,1.0,0,0,0,0,0,1.508397583542818
15,14,1.0,0,0,0,0,0,1.508397583542818
15,16,2.0,1,0,0,0,0,1.2221746079044478
16,15,2.0,1,0,0,0,0,1.2221746079044478
15,17,1.0,1,0,0,0,0,1.3605976004312708
17,15,1.0,1,0,0,0,0,1.3605976004312708
17,18,1.0,0,0,0,0,0,1.4483331653018139
18,17,1.0,0,0,0,0,0,1.4483331653018139
18,19,1.0,0,0,0,0,0,1.5351716776359854
19,18,1.0,0,0,0,0,0,1.5351716776359854
19,20,1.0,0,0,0,0,0,1.42670910815844
20,19,1.0,0,0,0,0,0,1.42670910815844
18,21,1.0,0,0,0,0,0,1.5354681750593024
21,18,1.0,0,0,0,0,0,1.5354681750593024
21,22,1.0,0,0,0,0,0,1.4374749107696227
22,21,1.0,0,0,0,0,0,1.4374749107696227
22,23,1.0,1,0,0,0,0,1.3615471727170607
23,22,1.0,1,0,0,0,0,1.3615471727170607
23,24,2.0,1,0,0,0,0,1.222764003235722
24,23,2.0,1,0,0,0,0,1.222764003235722
23,25,1.0,0,0,0,0,0,1.5093084351451183
25,23,1.0,0,0,0,0,0,1.5093084351451183
25,26,1.0,0,0,0,0,0,1.527181299210125
26,25,1.0,0,0,0,0,0,1.527181299210125
26,27,1.0,0,0,0,0,0,1.5329292847618972
27,26,1.0,0,0,0,0,0,1.5329292847618972
27,28,1.0,0,0,0,0,0,1.5313645790112584
28,27,1.0,0,0,0,0,0,1.5313645790112584
28,29,1.0,0,0,0,0,0,1.5322042025372018
29,28,1.0,0,0,0,0,0,1.5322042025372018
29,30,1.0,0,0,0,0,0,1.5325428310101454
30,29,1.0,0,0,0,0,0,1.5325428310101454
30,31,1.0,0,0,0,0,0,1.5310552035073983
31,30,1.0,0,0,0,0,0,1.5310552035073983
31,32,1.0,0,0,0,0,0,1.5316085741921002
32,31,1.0,0,0,0,0,0,1.5316085741921002
32,33,1.0,0,0,0,0,0,1.5323054759418084
33,32,1.0,0,0,0,0,0,1.5323054759418084
33,34,1.0,0,0,0,0,0,1.5321882442932382
34,33,1.0,0,0,0,0,0,1.5321882442932382
34,35,1.0,0,0,0,0,0,1.5328454224075512
35,34,1.0,0,0,0,0,0,1.5328454224075512
35,36,1.0,0,0,0,0,0,1.5313934379585887
36,35,1.0,0,0,0,0,0,1.5313934379585887
36,37,1.0,0,0,0,0,0,1.532220378240973
37,36,1.0,0,0,0,0,0,1.532220378240973
37,38,1.0,0,0,0,0,0,1.530003468337942
38,37,1.0,0,0,0,0,0,1.530003468337942
38,39,1.0,0,0,0,0,0,1.521026999346883
39,38,1.0,0,0,0,0,0,1.521026999346883
