atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,8,0,1,4,0,0,0,0,1,15.999,-0.3923794543947481
1,6,0,2,4,0,0,0,0,2,12.011,0.08361129896610486
2,6,0,3,4,0,0,2,1,1,12.011,0.1586141779972045
3,8,0,2,3,0,0,0,0,0,15.999,-0.4562485491752163
4,6,0,3,3,0,0,0,0,0,12.011,0.3057654153359409
5,6,0,2,4,0,0,0,0,2,12.011,0.045516234977533515
6,6,0,2,4,0,0,0,0,2,12.011,-0.04278311762233265
7,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226165781
8,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203194392
9,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096471874
10,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592
11,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461365
12,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614781
13,6,0,2,3,0,0,0,0,1,12.011,-0.08853928216145976
14,6,0,2,4,0,0,0,0,2,12.011,-0.03507346876911375
15,6,0,2,4,0,0,0,0,2,12.011,-0.04982518931521081
16,6,0,2,4,0,0,0,0,2,12.011,-0.05302112295305338
17,6,0,2,4,0,0,0,0,2,12.011,-0.05355769374956196
18,6,0,2,4,0,0,0,0,2,12.011,-0.056171482041511185
19,6,0,1,4,0,0,0,0,3,12.011,-0.06538238175449311
20,8,0,1,3,0,0,0,0,0,15.999,-0.2522843403011638
21,6,0,2,4,0,0,0,0,2,12.011,0.1305273467518323
22,8,0,2,3,0,0,0,0,0,15.999,-0.46162865310438234
23,6,0,3,3,0,0,0,0,0,12.011,0.305415569803574
24,6,0,2,4,0,0,0,0,2,12.011,0.04550308107359519
25,6,0,2,4,0,0,0,0,2,12.011,-0.042783337970996115
26,6,0,2,4,0,0,0,0,2,12.011,-0.052748008993202374
27,6,0,2,4,0,0,0,0,2,12.011,-0.0532905709611763
28,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236085166
29,6,0,2,4,0,0,0,0,2,12.011,-0.05330597118459915
30,6,0,2,4,0,0,0,0,2,12.011,-0.053305972783275674
31,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789114885
32,6,0,2,4,0,0,0,0,2,12.011,-0.05330597279436938
33,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
34,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
35,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
36,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
37,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
38,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
39,8,0,1,3,0,0,0,0,0,15.999,-0.25229764157153045
