source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5206598614608606
1,0,1.0,0,0,0,0,0,1.5206598614608606
1,2,1.0,0,0,0,0,0,1.5299711182037055
2,1,1.0,0,0,0,0,0,1.5299711182037055
2,3,1.0,0,0,0,0,0,1.5325150899995592
3,2,1.0,0,0,0,0,0,1.5325150899995592
3,4,1.0,0,0,0,0,0,1.53250978881274
4,3,1.0,0,0,0,0,0,1.53250978881274
4,5,1.0,0,0,0,4,0,1.5029219940690997
5,4,1.0,0,0,0,4,0,1.5029219940690997
5,6,2.0,0,0,2,0,0,1.343794910020729
6,5,2.0,0,0,2,0,0,1.343794910020729
6,7,1.0,0,0,0,3,0,1.5012755806978286
7,6,1.0,0,0,0,3,0,1.5012755806978286
7,8,1.0,0,0,0,4,0,1.5028007798594787
8,7,1.0,0,0,0,4,0,1.5028007798594787
8,9,2.0,0,0,2,0,0,1.3437952274052793
9,8,2.0,0,0,2,0,0,1.3437952274052793
9,10,1.0,0,0,0,3,0,1.5030343303201472
10,9,1.0,0,0,0,3,0,1.5030343303201472
10,11,1.0,0,0,0,0,0,1.532482597777069
11,10,1.0,0,0,0,0,0,1.532482597777069
11,12,1.0,0,0,0,0,0,1.5331363090030743
12,11,1.0,0,0,0,0,0,1.5331363090030743
12,13,1.0,0,0,0,0,0,1.5316012585600258
13,12,1.0,0,0,0,0,0,1.5316012585600258
13,14,1.0,0,0,0,4,0,1.5036897423048932
14,13,1.0,0,0,0,4,0,1.5036897423048932
14,15,2.0,0,0,2,0,0,1.343182836350487
15,14,2.0,0,0,2,0,0,1.343182836350487
15,16,1.0,0,0,0,3,0,1.5031922647850293
16,15,1.0,0,0,0,3,0,1.5031922647850293
16,17,1.0,0,0,0,0,0,1.5325210974244199
17,16,1.0,0,0,0,0,0,1.5325210974244199
17,18,1.0,0,0,0,0,0,1.5279554206361454
18,17,1.0,0,0,0,0,0,1.5279554206361454
18,19,1.0,0,0,0,0,0,1.509724092142938
19,18,1.0,0,0,0,0,0,1.509724092142938
19,20,2.0,1,0,0,0,0,1.2238294753097974
20,19,2.0,1,0,0,0,0,1.2238294753097974
19,21,1.0,1,0,0,0,0,1.3598384451845262
21,19,1.0,1,0,0,0,0,1.3598384451845262
21,22,1.0,0,0,0,0,0,1.4480673564033528
22,21,1.0,0,0,0,0,0,1.4480673564033528
22,23,1.0,0,0,0,0,0,1.5332460975428543
23,22,1.0,0,0,0,0,0,1.5332460975428543
23,24,1.0,0,0,0,0,0,1.4398138656050112
24,23,1.0,0,0,0,0,0,1.4398138656050112
24,25,1.0,1,0,0,0,0,1.359515306384438
25,24,1.0,1,0,0,0,0,1.359515306384438
25,26,2.0,1,0,0,0,0,1.224145503872307
26,25,2.0,1,0,0,0,0,1.224145503872307
25,27,1.0,0,0,0,0,0,1.508609605358377
27,25,1.0,0,0,0,0,0,1.508609605358377
27,28,1.0,0,0,0,0,0,1.5261933811733583
28,27,1.0,0,0,0,0,0,1.5261933811733583
28,29,1.0,0,0,0,0,0,1.5317550954941281
29,28,1.0,0,0,0,0,0,1.5317550954941281
29,30,1.0,0,0,0,0,0,1.5316845965124029
30,29,1.0,0,0,0,0,0,1.5316845965124029
30,31,1.0,0,0,0,0,0,1.5318529994763819
31,30,1.0,0,0,0,0,0,1.5318529994763819
31,32,1.0,0,0,0,0,0,1.531144773742367
32,31,1.0,0,0,0,0,0,1.531144773742367
32,33,1.0,0,0,0,0,0,1.5313419046771453
33,32,1.0,0,0,0,0,0,1.5313419046771453
33,34,1.0,0,0,0,0,0,1.531239943399883
34,33,1.0,0,0,0,0,0,1.531239943399883
34,35,1.0,0,0,0,0,0,1.53149686654046
35,34,1.0,0,0,0,0,0,1.53149686654046
35,36,1.0,0,0,0,0,0,1.5308692388152128
36,35,1.0,0,0,0,0,0,1.5308692388152128
36,37,1.0,0,0,0,0,0,1.530896290435474
