atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831714015,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056160718138144945,0.023809523809523808
2,6,0,2,4,0,0,0,0,2,12.011,-0.05327372895608925,0.047619047619047616
3,6,0,2,4,0,0,0,0,2,12.011,-0.049834887801403216,0.07142857142857142
4,6,0,2,4,0,0,0,0,2,12.011,-0.03506238602438802,0.09523809523809523
5,6,0,2,3,0,0,0,0,1,12.011,-0.08822748279093615,0.11904761904761904
6,6,0,2,3,0,0,0,0,1,12.011,-0.0847524597925529,0.14285714285714285
7,6,0,2,4,0,0,0,0,2,12.011,-0.016907328725840734,0.16666666666666666
8,6,0,2,3,0,0,0,0,1,12.011,-0.0844408754150933,0.19047619047619047
9,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523404982,0.21428571428571427
10,6,0,2,4,0,0,0,0,2,12.011,-0.01689606769644117,0.23809523809523808
11,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523404982,0.2619047619047619
12,6,0,2,3,0,0,0,0,1,12.011,-0.08444087541509329,0.2857142857142857
13,6,0,2,4,0,0,0,0,2,12.011,-0.016907328725820642,0.30952380952380953
14,6,0,2,3,0,0,0,0,1,12.011,-0.08475245978156135,0.3333333333333333
15,6,0,2,3,0,0,0,0,1,12.011,-0.0882274797721132,0.35714285714285715
16,6,0,2,4,0,0,0,0,2,12.011,-0.03506199283972353,0.38095238095238093
17,6,0,2,4,0,0,0,0,2,12.011,-0.04980942638419389,0.40476190476190477
18,6,0,2,4,0,0,0,0,2,12.011,-0.05245310286515121,0.42857142857142855
19,6,0,2,4,0,0,0,0,2,12.011,-0.04277239044865801,0.4523809523809524
20,6,0,2,4,0,0,0,0,2,12.011,0.045503266619067076,0.47619047619047616
21,6,0,3,3,0,0,0,0,0,12.011,0.3054155745110919,0.5
22,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155193274,0.5238095238095238
23,8,0,2,3,0,0,0,0,0,15.999,-0.46162819380365666,0.5238095238095238
24,6,0,2,4,0,0,0,0,2,12.011,0.130554307879465,0.5476190476190477
25,6,0,3,4,0,0,2,1,1,12.011,0.1594008276640783,0.5714285714285714
26,6,0,2,4,0,0,0,0,2,12.011,0.09570182344250244,0.5952380952380952
27,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218,0.6190476190476191
28,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134,0.6428571428571429
29,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995,0.6666666666666666
30,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724,0.6666666666666666
31,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322,0.6666666666666666
32,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464,0.6904761904761905
33,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.7142857142857143
34,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.7380952380952381
35,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7619047619047619
36,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7619047619047619
37,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7619047619047619
38,8,0,2,3,0,0,0,0,0,15.999,-0.45622082289612587,0.5952380952380952
39,6,0,3,3,0,0,0,0,0,12.011,0.3057658044200656,0.6190476190476191
40,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973,0.6428571428571429
41,6,0,2,4,0,0,0,0,2,12.011,0.0455162383275295,0.6428571428571429
42,6,0,2,4,0,0,0,0,2,12.011,-0.042783119079342964,0.6666666666666666
43,6,0,2,4,0,0,0,0,2,12.011,-0.05274800729363024,0.6904761904761905
44,6,0,2,4,0,0,0,0,2,12.011,-0.05329057095479251,0.7142857142857143
45,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236084003,0.7380952380952381
46,6,0,2,4,0,0,0,0,2,12.011,-0.053305971184599135,0.7619047619047619
47,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278327566,0.7857142857142857
48,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789105247,0.8095238095238095
49,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789125355,0.8333333333333334
50,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.8571428571428571
51,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8809523809523809
52,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.9047619047619048
53,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9285714285714286
54,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9523809523809523
55,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9761904761904762
56,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
