atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06188591273721217,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.03792128052188181,0.023809523809523808
2,6,0,2,3,0,0,0,0,1,12.011,-0.08850169801815914,0.047619047619047616
3,6,0,2,3,0,0,0,0,1,12.011,-0.08476270749375747,0.07142857142857142
4,6,0,2,4,0,0,0,0,2,12.011,-0.016907502884977985,0.09523809523809523
5,6,0,2,3,0,0,0,0,1,12.011,-0.0844408768228585,0.11904761904761904
6,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523928351,0.14285714285714285
7,6,0,2,4,0,0,0,0,2,12.011,-0.016896067690804678,0.16666666666666666
8,6,0,2,3,0,0,0,0,1,12.011,-0.08444068375360139,0.19047619047619047
9,6,0,2,3,0,0,0,0,1,12.011,-0.08444068375360139,0.21428571428571427
10,6,0,2,4,0,0,0,0,2,12.011,-0.01689606769079499,0.23809523809523808
11,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523403934,0.2619047619047619
12,6,0,2,3,0,0,0,0,1,12.011,-0.08444087541509328,0.2857142857142857
13,6,0,2,4,0,0,0,0,2,12.011,-0.016907328725820642,0.30952380952380953
14,6,0,2,3,0,0,0,0,1,12.011,-0.08475245978156135,0.3333333333333333
15,6,0,2,3,0,0,0,0,1,12.011,-0.08822747977211319,0.35714285714285715
16,6,0,2,4,0,0,0,0,2,12.011,-0.03506199283971188,0.38095238095238093
17,6,0,2,4,0,0,0,0,2,12.011,-0.04980942637780939,0.40476190476190477
18,6,0,2,4,0,0,0,0,2,12.011,-0.05245310116557566,0.42857142857142855
19,6,0,2,4,0,0,0,0,2,12.011,-0.04277217155704812,0.4523809523809524
20,6,0,2,4,0,0,0,0,2,12.011,0.0455164238595573,0.47619047619047616
21,6,0,3,3,0,0,0,0,0,12.011,0.3057658059606678,0.5
22,8,0,1,3,0,0,0,0,0,15.999,-0.25228433700671143,0.5238095238095238
23,8,0,2,3,0,0,0,0,0,15.999,-0.45622082289205695,0.5238095238095238
24,6,0,3,4,0,0,2,1,1,12.011,0.15940082766408933,0.5476190476190477
25,6,0,2,4,0,0,0,0,2,12.011,0.13055430787945388,0.5714285714285714
26,8,0,2,3,0,0,0,0,0,15.999,-0.46162819380772513,0.5952380952380952
27,6,0,3,3,0,0,0,0,0,12.011,0.30541557297049465,0.6190476190476191
28,8,0,1,3,0,0,0,0,0,15.999,-0.2522976415584404,0.6428571428571429
29,6,0,2,4,0,0,0,0,2,12.011,0.045503081087020676,0.6428571428571429
30,6,0,2,4,0,0,0,0,2,12.011,-0.04278333797097075,0.6666666666666666
31,6,0,2,4,0,0,0,0,2,12.011,-0.052748008993202346,0.6904761904761905
32,6,0,2,4,0,0,0,0,2,12.011,-0.0532905709611763,0.7142857142857143
33,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236085166,0.7380952380952381
34,6,0,2,4,0,0,0,0,2,12.011,-0.05330597118459915,0.7619047619047619
35,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278327566,0.7857142857142857
36,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789105247,0.8095238095238095
37,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789125355,0.8333333333333334
38,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.8571428571428571
39,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8809523809523809
40,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.9047619047619048
41,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9285714285714286
42,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9523809523809523
43,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9761904761904762
44,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
45,6,0,2,4,0,0,0,0,2,12.011,0.09570182344250246,0.5714285714285714
46,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218,0.5952380952380952
47,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134,0.6190476190476191
48,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995,0.6428571428571429
49,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724,0.6428571428571429
50,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322,0.6428571428571429
51,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464,0.6666666666666666
52,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.6904761904761905
53,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.7142857142857143
54,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7380952380952381
55,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7380952380952381
56,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7380952380952381
