source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.524521816605624
1,0,1.0,0,0,0,0,0,1.524521816605624
1,2,1.0,0,0,0,4,0,1.5003610926211568
2,1,1.0,0,0,0,4,0,1.5003610926211568
2,3,2.0,0,0,2,0,0,1.3440018550259323
3,2,2.0,0,0,2,0,0,1.3440018550259323
3,4,1.0,0,0,0,3,0,1.5018682405991453
4,3,1.0,0,0,0,3,0,1.5018682405991453
4,5,1.0,0,0,0,4,0,1.5000613429558665
5,4,1.0,0,0,0,4,0,1.5000613429558665
5,6,2.0,0,0,2,0,0,1.339744874389584
6,5,2.0,0,0,2,0,0,1.339744874389584
6,7,1.0,0,0,0,3,0,1.5000884052067476
7,6,1.0,0,0,0,3,0,1.5000884052067476
7,8,1.0,0,0,0,4,0,1.504247036252965
8,7,1.0,0,0,0,4,0,1.504247036252965
8,9,2.0,0,0,2,0,0,1.3467952394270106
9,8,2.0,0,0,2,0,0,1.3467952394270106
9,10,1.0,0,0,0,3,0,1.5062662794151858
10,9,1.0,0,0,0,3,0,1.5062662794151858
10,11,1.0,0,0,0,0,0,1.531783188911283
11,10,1.0,0,0,0,0,0,1.531783188911283
11,12,1.0,0,0,0,0,0,1.5307257501527674
12,11,1.0,0,0,0,0,0,1.5307257501527674
12,13,1.0,0,0,0,0,0,1.5334953050759614
13,12,1.0,0,0,0,0,0,1.5334953050759614
13,14,1.0,0,0,0,0,0,1.5315568930693004
14,13,1.0,0,0,0,0,0,1.5315568930693004
14,15,1.0,0,0,0,0,0,1.5276845832284107
15,14,1.0,0,0,0,0,0,1.5276845832284107
15,16,1.0,0,0,0,0,0,1.5219727863316497
16,15,1.0,0,0,0,0,0,1.5219727863316497
16,17,1.0,0,0,0,0,0,1.5049638646354517
17,16,1.0,0,0,0,0,0,1.5049638646354517
17,18,2.0,1,0,0,0,0,1.2240272328538815
18,17,2.0,1,0,0,0,0,1.2240272328538815
17,19,1.0,1,0,0,0,0,1.3593208282721243
19,17,1.0,1,0,0,0,0,1.3593208282721243
19,20,1.0,0,0,0,0,0,1.4304251807682298
20,19,1.0,0,0,0,0,0,1.4304251807682298
20,21,1.0,0,0,0,0,0,1.5381180227426337
21,20,1.0,0,0,0,0,0,1.5381180227426337
21,22,1.0,0,0,0,0,0,1.5318710625110412
22,21,1.0,0,0,0,0,0,1.5318710625110412
22,23,1.0,0,0,0,0,0,1.4156609244392206
23,22,1.0,0,0,0,0,0,1.4156609244392206
23,24,1.0,0,0,0,0,0,1.6175569096475397
24,23,1.0,0,0,0,0,0,1.6175569096475397
24,25,2.0,0,0,0,0,0,1.502805218578489
25,24,2.0,0,0,0,0,0,1.502805218578489
24,26,1.0,0,0,0,0,0,1.5115102753763916
26,24,1.0,0,0,0,0,0,1.5115102753763916
24,27,1.0,0,0,0,0,0,1.6273395162124247
27,24,1.0,0,0,0,0,0,1.6273395162124247
27,28,1.0,0,0,0,0,0,1.406047124972393
28,27,1.0,0,0,0,0,0,1.406047124972393
28,29,1.0,0,0,0,0,0,1.531728707702663
29,28,1.0,0,0,0,0,0,1.531728707702663
29,30,1.0,0,0,0,0,0,1.5428392206071833
30,29,1.0,0,0,0,0,0,1.5428392206071833
30,31,1.0,0,0,0,0,0,1.5358181211595598
31,30,1.0,0,0,0,0,0,1.5358181211595598
30,32,1.0,0,0,0,0,0,1.5259956215445718
32,30,1.0,0,0,0,0,0,1.5259956215445718
30,33,1.0,0,0,0,0,0,1.5149209514610966
33,30,1.0,0,0,0,0,0,1.5149209514610966
21,34,1.0,0,0,0,0,0,1.445829405012544
34,21,1.0,0,0,0,0,0,1.445829405012544
34,35,1.0,1,0,0,0,0,1.3629722209328519
35,34,1.0,1,0,0,0,0,1.3629722209328519
35,36,2.0,1,0,0,0,0,1.2301376696342503
36,35,2.0,1,0,0,0,0,1.2301376696342503
35,37,1.0,0,0,0,0,0,1.5136689113161492
37,35,1.0,0,0,0,0,0,1.5136689113161492
37,38,1.0,0,0,0,0,0,1.5327221596366676
38,37,1.0,0,0,0,0,0,1.5327221596366676
38,39,1.0,0,0,0,0,0,1.53261714151736
39,38,1.0,0,0,0,0,0,1.53261714151736
39,40,1.0,0,0,0,0,0,1.5224900578494462
40,39,1.0,0,0,0,0,0,1.5224900578494462
40,41,1.0,0,0,0,0,0,1.5354195802509867
41,40,1.0,0,0,0,0,0,1.5354195802509867
41,42,1.0,0,0,0,0,0,1.5339325368662444
42,41,1.0,0,0,0,0,0,1.5339325368662444
42,43,1.0,0,0,0,0,0,1.53325732387917
43,42,1.0,0,0,0,0,0,1.53325732387917
43,44,1.0,0,0,0,4,0,1.5021615889613764
44,43,1.0,0,0,0,4,0,1.5021615889613764
44,45,2.0,0,0,2,0,0,1.3458698266726696
45,44,2.0,0,0,2,0,0,1.3458698266726696
45,46,1.0,0,0,0,3,0,1.5024053386040945
46,45,1.0,0,0,0,3,0,1.5024053386040945
46,47,1.0,0,0,0,4,0,1.5031928191369344
47,46,1.0,0,0,0,4,0,1.5031928191369344
47,48,2.0,0,0,2,0,0,1.3422445813903787
48,47,2.0,0,0,2,0,0,1.3422445813903787
48,49,1.0,0,0,0,3,0,1.5008226480176867
49,48,1.0,0,0,0,3,0,1.5008226480176867
49,50,1.0,0,0,0,4,0,1.501665123264979
50,49,1.0,0,0,0,4,0,1.501665123264979
50,51,2.0,0,0,2,0,0,1.3435665758093163
51,50,2.0,0,0,2,0,0,1.3435665758093163
51,52,1.0,0,0,0,3,0,1.5018766230150002
52,51,1.0,0,0,0,3,0,1.5018766230150002
52,53,1.0,0,0,0,0,0,1.5176621865287645
53,52,1.0,0,0,0,0,0,1.5176621865287645
