source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5205734485671298
1,0,1.0,0,0,0,0,0,1.5205734485671298
1,2,1.0,0,0,0,0,0,1.5291523747230822
2,1,1.0,0,0,0,0,0,1.5291523747230822
2,3,1.0,0,0,0,0,0,1.5315635561975203
3,2,1.0,0,0,0,0,0,1.5315635561975203
3,4,1.0,0,0,0,0,0,1.5307416366316025
4,3,1.0,0,0,0,0,0,1.5307416366316025
4,5,1.0,0,0,0,4,0,1.5032046833925352
5,4,1.0,0,0,0,4,0,1.5032046833925352
5,6,2.0,0,0,2,0,0,1.3440173094108379
6,5,2.0,0,0,2,0,0,1.3440173094108379
6,7,1.0,0,0,0,3,0,1.50209940337713
7,6,1.0,0,0,0,3,0,1.50209940337713
7,8,1.0,0,0,0,4,0,1.5026301169512732
8,7,1.0,0,0,0,4,0,1.5026301169512732
8,9,2.0,0,0,2,0,0,1.3437188207073114
9,8,2.0,0,0,2,0,0,1.3437188207073114
9,10,1.0,0,0,0,3,0,1.5006207061808838
10,9,1.0,0,0,0,3,0,1.5006207061808838
10,11,1.0,0,0,0,0,0,1.5346072762494698
11,10,1.0,0,0,0,0,0,1.5346072762494698
11,12,1.0,0,0,0,0,0,1.5347258001433997
12,11,1.0,0,0,0,0,0,1.5347258001433997
12,13,1.0,0,0,0,0,0,1.5307794236345906
13,12,1.0,0,0,0,0,0,1.5307794236345906
13,14,1.0,0,0,0,0,0,1.532758098256255
14,13,1.0,0,0,0,0,0,1.532758098256255
14,15,1.0,0,0,0,0,0,1.533201175778025
15,14,1.0,0,0,0,0,0,1.533201175778025
15,16,1.0,0,0,0,0,0,1.5315120612464046
16,15,1.0,0,0,0,0,0,1.5315120612464046
16,17,1.0,0,0,0,0,0,1.5332927826154918
17,16,1.0,0,0,0,0,0,1.5332927826154918
17,18,1.0,0,0,0,0,0,1.5294995466979397
18,17,1.0,0,0,0,0,0,1.5294995466979397
18,19,1.0,0,0,0,0,0,1.5121387928465007
19,18,1.0,0,0,0,0,0,1.5121387928465007
19,20,2.0,1,0,0,0,0,1.2228935619594323
20,19,2.0,1,0,0,0,0,1.2228935619594323
19,21,1.0,1,0,0,0,0,1.3603989079206902
21,19,1.0,1,0,0,0,0,1.3603989079206902
21,22,1.0,0,0,0,0,0,1.4473453955651094
22,21,1.0,0,0,0,0,0,1.4473453955651094
