source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5212629824747115
1,0,1.0,0,0,0,0,0,1.5212629824747115
1,2,1.0,0,0,0,0,0,1.5305470119227627
2,1,1.0,0,0,0,0,0,1.5305470119227627
2,3,1.0,0,0,0,0,0,1.5312514481912531
3,2,1.0,0,0,0,0,0,1.5312514481912531
3,4,1.0,0,0,0,0,0,1.5323410652414324
4,3,1.0,0,0,0,0,0,1.5323410652414324
4,5,1.0,0,0,0,0,0,1.5309312110747466
5,4,1.0,0,0,0,0,0,1.5309312110747466
5,6,1.0,0,0,0,0,0,1.5313727774354036
6,5,1.0,0,0,0,0,0,1.5313727774354036
6,7,1.0,0,0,0,0,0,1.5311186189125523
7,6,1.0,0,0,0,0,0,1.5311186189125523
7,8,1.0,0,0,0,0,0,1.5317575918171937
8,7,1.0,0,0,0,0,0,1.5317575918171937
8,9,1.0,0,0,0,0,0,1.5312436152517277
9,8,1.0,0,0,0,0,0,1.5312436152517277
9,10,1.0,0,0,0,4,0,1.5027309543587042
10,9,1.0,0,0,0,4,0,1.5027309543587042
10,11,2.0,0,0,2,0,0,1.343146202412906
11,10,2.0,0,0,2,0,0,1.343146202412906
11,12,1.0,0,0,0,3,0,1.5032271855028112
12,11,1.0,0,0,0,3,0,1.5032271855028112
12,13,1.0,0,0,0,0,0,1.5311404783247413
13,12,1.0,0,0,0,0,0,1.5311404783247413
13,14,1.0,0,0,0,0,0,1.5331665773943295
14,13,1.0,0,0,0,0,0,1.5331665773943295
14,15,1.0,0,0,0,0,0,1.531916515555499
15,14,1.0,0,0,0,0,0,1.531916515555499
15,16,1.0,0,0,0,0,0,1.532081188908255
16,15,1.0,0,0,0,0,0,1.532081188908255
16,17,1.0,0,0,0,0,0,1.5320663939111796
17,16,1.0,0,0,0,0,0,1.5320663939111796
17,18,1.0,0,0,0,0,0,1.531944058952722
18,17,1.0,0,0,0,0,0,1.531944058952722
18,19,1.0,0,0,0,0,0,1.5322813145989391
19,18,1.0,0,0,0,0,0,1.5322813145989391
19,20,1.0,0,0,0,0,0,1.5266230261857845
20,19,1.0,0,0,0,0,0,1.5266230261857845
20,21,1.0,0,0,0,0,0,1.509113940442156
21,20,1.0,0,0,0,0,0,1.509113940442156
21,22,2.0,1,0,0,0,0,1.223472956910127
22,21,2.0,1,0,0,0,0,1.223472956910127
21,23,1.0,1,0,0,0,0,1.3597404961230266
23,21,1.0,1,0,0,0,0,1.3597404961230266
23,24,1.0,0,0,0,0,0,1.4393638885322604
24,23,1.0,0,0,0,0,0,1.4393638885322604
24,25,1.0,0,0,0,0,0,1.5339514058543118
25,24,1.0,0,0,0,0,0,1.5339514058543118
25,26,1.0,0,0,0,0,0,1.5314997603755331
26,25,1.0,0,0,0,0,0,1.5314997603755331
26,27,1.0,0,0,0,0,0,1.4205227118742416
27,26,1.0,0,0,0,0,0,1.4205227118742416
27,28,1.0,0,0,0,0,0,1.6145790048538449
28,27,1.0,0,0,0,0,0,1.6145790048538449
28,29,2.0,0,0,0,0,0,1.5041524414623164
29,28,2.0,0,0,0,0,0,1.5041524414623164
28,30,1.0,0,0,0,0,0,1.5059242641476878
30,28,1.0,0,0,0,0,0,1.5059242641476878
28,31,1.0,0,0,0,0,0,1.6222880569253482
31,28,1.0,0,0,0,0,0,1.6222880569253482
31,32,1.0,0,0,0,0,0,1.415330575428061
32,31,1.0,0,0,0,0,0,1.415330575428061
32,33,1.0,0,0,0,0,0,1.5356193885877518
33,32,1.0,0,0,0,0,0,1.5356193885877518
33,34,1.0,0,0,0,0,0,1.55410739643868
34,33,1.0,0,0,0,0,0,1.55410739643868
34,35,1.0,0,0,0,0,0,1.5181097438052955
35,34,1.0,0,0,0,0,0,1.5181097438052955
34,36,1.0,0,0,0,0,0,1.523672766922557
36,34,1.0,0,0,0,0,0,1.523672766922557
34,37,1.0,0,0,0,0,0,1.524875080650248
37,34,1.0,0,0,0,0,0,1.524875080650248
25,38,1.0,0,0,0,0,0,1.4465918047452122
38,25,1.0,0,0,0,0,0,1.4465918047452122
38,39,1.0,1,0,0,0,0,1.358070791901495
39,38,1.0,1,0,0,0,0,1.358070791901495
39,40,2.0,1,0,0,0,0,1.2239368274046725
40,39,2.0,1,0,0,0,0,1.2239368274046725
39,41,1.0,0,0,0,0,0,1.5098500124629899
41,39,1.0,0,0,0,0,0,1.5098500124629899
41,42,1.0,0,0,0,0,0,1.5280005366069493
42,41,1.0,0,0,0,0,0,1.5280005366069493
42,43,1.0,0,0,0,0,0,1.532008990874861
43,42,1.0,0,0,0,0,0,1.532008990874861
43,44,1.0,0,0,0,0,0,1.531295578599697
44,43,1.0,0,0,0,0,0,1.531295578599697
44,45,1.0,0,0,0,0,0,1.5311506187013102
45,44,1.0,0,0,0,0,0,1.5311506187013102
45,46,1.0,0,0,0,0,0,1.5313596269573349
46,45,1.0,0,0,0,0,0,1.5313596269573349
46,47,1.0,0,0,0,0,0,1.5311975376491826
47,46,1.0,0,0,0,0,0,1.5311975376491826
47,48,1.0,0,0,0,0,0,1.5322000253413843
48,47,1.0,0,0,0,0,0,1.5322000253413843
48,49,1.0,0,0,0,0,0,1.5313907862312681
49,48,1.0,0,0,0,0,0,1.5313907862312681
49,50,1.0,0,0,0,0,0,1.530163245577899
50,49,1.0,0,0,0,0,0,1.530163245577899
50,51,1.0,0,0,0,0,0,1.5202808461443944
51,50,1.0,0,0,0,0,0,1.5202808461443944
